,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PASS_52_NAME,OBS_VALUE
0,2021,W02000105,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Somalia,0
1,2021,W02000105,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: South Africa,1
2,2021,W02000105,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Zimbabwe,0
3,2021,W02000105,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Other South and Eastern Africa,0
4,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia,7
5,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,0
6,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iran,0
7,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iraq,0
8,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Other Middle East,0
9,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,0
10,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: China,0
11,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),0
12,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Japan,0
13,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Other Eastern Asia,0
14,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,6
15,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Afghanistan,0
16,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Bangladesh,2
17,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: India,2
18,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Pakistan,0
19,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Sri Lanka,0
20,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Other Southern Asia,2
21,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,1
22,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Malaysia,0
23,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Philippines,1
24,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Singapore,0
25,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Other South-East Asia,0
26,2021,W02000105,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
27,2021,W02000105,2021 super output areas - middle layer,152,The Americas and the Caribbean,2
28,2021,W02000105,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America,1
29,2021,W02000105,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: Canada,0
30,2021,W02000105,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: United States,1
31,2021,W02000105,2021 super output areas - middle layer,152,The Americas and the Caribbean: Central America,0
32,2021,W02000105,2021 super output areas - middle layer,152,The Americas and the Caribbean: South America,0
33,2021,W02000105,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean,1
34,2021,W02000105,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Jamaica,0
35,2021,W02000105,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Other Caribbean,1
36,2021,W02000105,2021 super output areas - middle layer,152,Antarctica and Oceania,1
37,2021,W02000105,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia,1
38,2021,W02000105,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: Australia,1
39,2021,W02000105,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: New Zealand,0
40,2021,W02000105,2021 super output areas - middle layer,152,Antarctica and Oceania: Other Antarctica and Oceania,0
41,2021,W02000105,2021 super output areas - middle layer,152,British Overseas Territories,0
42,2021,W02000105,2021 super output areas - middle layer,152,No passport held,1736
43,2021,W02000106,2021 super output areas - middle layer,152,Total: All usual residents,6491
44,2021,W02000106,2021 super output areas - middle layer,152,Europe,5055
45,2021,W02000106,2021 super output areas - middle layer,152,Europe: United Kingdom,4902
46,2021,W02000106,2021 super output areas - middle layer,152,Europe: Ireland,29
47,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe,124
48,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries,122
49,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: France,12
50,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Germany,10
51,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Italy,4
52,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Portugal,1
53,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Spain,22
54,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Lithuania,0
55,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Poland,18
56,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Romania,28
57,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Other EU countries,27
58,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe,2
59,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Turkey,1
60,2021,W02000106,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Other Europe,1
61,2021,W02000106,2021 super output areas - middle layer,152,Africa,3
62,2021,W02000106,2021 super output areas - middle layer,152,Africa: North Africa,0
63,2021,W02000106,2021 super output areas - middle layer,152,Africa: Central and Western Africa,0
64,2021,W02000106,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Ghana,0
65,2021,W02000106,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Nigeria,0
66,2021,W02000106,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Other Central and Western Africa,0
67,2021,W02000106,2021 super output areas - middle layer,152,Africa: South and Eastern Africa,3
68,2021,W02000106,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Kenya,1
69,2021,W02000106,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Somalia,0
70,2021,W02000106,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: South Africa,2
71,2021,W02000106,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Zimbabwe,0
72,2021,W02000106,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Other South and Eastern Africa,0
73,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia,6
74,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,0
75,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iran,0
76,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iraq,0
77,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Other Middle East,0
78,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,2
79,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: China,1
80,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),0
81,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Japan,1
82,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Other Eastern Asia,0
83,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,3
84,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Afghanistan,0
85,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Bangladesh,1
86,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: India,1
87,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Pakistan,0
88,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Sri Lanka,1
89,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Other Southern Asia,0
90,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,1
91,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Malaysia,0
92,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Philippines,0
93,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Singapore,0
94,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Other South-East Asia,1
95,2021,W02000106,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
96,2021,W02000106,2021 super output areas - middle layer,152,The Americas and the Caribbean,13
97,2021,W02000106,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America,7
98,2021,W02000106,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: Canada,3
99,2021,W02000106,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: United States,4
100,2021,W02000106,2021 super output areas - middle layer,152,The Americas and the Caribbean: Central America,0
101,2021,W02000106,2021 super output areas - middle layer,152,The Americas and the Caribbean: South America,4
102,2021,W02000106,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean,2
103,2021,W02000106,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Jamaica,0
104,2021,W02000106,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Other Caribbean,2
105,2021,W02000106,2021 super output areas - middle layer,152,Antarctica and Oceania,6
106,2021,W02000106,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia,6
107,2021,W02000106,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: Australia,4
108,2021,W02000106,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: New Zealand,2
109,2021,W02000106,2021 super output areas - middle layer,152,Antarctica and Oceania: Other Antarctica and Oceania,0
110,2021,W02000106,2021 super output areas - middle layer,152,British Overseas Territories,0
111,2021,W02000106,2021 super output areas - middle layer,152,No passport held,1408
112,2021,W02000107,2021 super output areas - middle layer,152,Total: All usual residents,9779
113,2021,W02000107,2021 super output areas - middle layer,152,Europe,7320
114,2021,W02000107,2021 super output areas - middle layer,152,Europe: United Kingdom,7159
115,2021,W02000107,2021 super output areas - middle layer,152,Europe: Ireland,22
116,2021,W02000107,2021 super output areas - middle layer,152,Europe: Other Europe,139
117,2021,W02000107,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries,126
118,2021,W02000107,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: France,9
119,2021,W02000107,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Germany,11
