,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ARRUK_13_NAME,OBS_VALUE
0,2021,E02005137,2021 super output areas - middle layer,152,Arrived 1951 to 1960,17
1,2021,E02005137,2021 super output areas - middle layer,152,Arrived 1961 to 1970,22
2,2021,E02005137,2021 super output areas - middle layer,152,Arrived 1971 to 1980,39
3,2021,E02005137,2021 super output areas - middle layer,152,Arrived 1981 to 1990,33
4,2021,E02005137,2021 super output areas - middle layer,152,Arrived 1991 to 2000,86
5,2021,E02005137,2021 super output areas - middle layer,152,Arrived 2001 to 2010,236
6,2021,E02005137,2021 super output areas - middle layer,152,Arrived 2011 to 2013,62
7,2021,E02005137,2021 super output areas - middle layer,152,Arrived 2014 to 2016,44
8,2021,E02005137,2021 super output areas - middle layer,152,Arrived 2017 to 2019,69
9,2021,E02005137,2021 super output areas - middle layer,152,Arrived 2020 to 2021,17
10,2021,E02005138,2021 super output areas - middle layer,152,Total: All usual residents,9047
11,2021,E02005138,2021 super output areas - middle layer,152,Born in the UK,8469
12,2021,E02005138,2021 super output areas - middle layer,152,Arrived before 1951,16
13,2021,E02005138,2021 super output areas - middle layer,152,Arrived 1951 to 1960,37
14,2021,E02005138,2021 super output areas - middle layer,152,Arrived 1961 to 1970,59
15,2021,E02005138,2021 super output areas - middle layer,152,Arrived 1971 to 1980,39
16,2021,E02005138,2021 super output areas - middle layer,152,Arrived 1981 to 1990,51
17,2021,E02005138,2021 super output areas - middle layer,152,Arrived 1991 to 2000,61
18,2021,E02005138,2021 super output areas - middle layer,152,Arrived 2001 to 2010,149
19,2021,E02005138,2021 super output areas - middle layer,152,Arrived 2011 to 2013,37
20,2021,E02005138,2021 super output areas - middle layer,152,Arrived 2014 to 2016,49
21,2021,E02005138,2021 super output areas - middle layer,152,Arrived 2017 to 2019,53
22,2021,E02005138,2021 super output areas - middle layer,152,Arrived 2020 to 2021,27
23,2021,E02005139,2021 super output areas - middle layer,152,Total: All usual residents,8859
