,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESUK_6_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,10240
1,2021,E02002483,2021 super output areas - middle layer,152,Born in the UK,10023
2,2021,E02002483,2021 super output areas - middle layer,152,10 years or more,142
3,2021,E02002483,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",38
4,2021,E02002483,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",30
5,2021,E02002483,2021 super output areas - middle layer,152,Less than 2 years,7
6,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,10278
7,2021,E02002484,2021 super output areas - middle layer,152,Born in the UK,9895
8,2021,E02002484,2021 super output areas - middle layer,152,10 years or more,255
9,2021,E02002484,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",52
10,2021,E02002484,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",51
11,2021,E02002484,2021 super output areas - middle layer,152,Less than 2 years,25
12,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,8001
13,2021,E02002485,2021 super output areas - middle layer,152,Born in the UK,7654
14,2021,E02002485,2021 super output areas - middle layer,152,10 years or more,200
15,2021,E02002485,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",60
16,2021,E02002485,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",44
17,2021,E02002485,2021 super output areas - middle layer,152,Less than 2 years,43
18,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents,7125
19,2021,E02002489,2021 super output areas - middle layer,152,Born in the UK,6662
20,2021,E02002489,2021 super output areas - middle layer,152,10 years or more,250
21,2021,E02002489,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",72
22,2021,E02002489,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",72
23,2021,E02002489,2021 super output areas - middle layer,152,Less than 2 years,69
24,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents,5805
25,2021,E02002490,2021 super output areas - middle layer,152,Born in the UK,5394
26,2021,E02002490,2021 super output areas - middle layer,152,10 years or more,178
27,2021,E02002490,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",78
28,2021,E02002490,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",51
29,2021,E02002490,2021 super output areas - middle layer,152,Less than 2 years,104
30,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents,6471
31,2021,E02002491,2021 super output areas - middle layer,152,Born in the UK,6249
32,2021,E02002491,2021 super output areas - middle layer,152,10 years or more,134
33,2021,E02002491,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",22
34,2021,E02002491,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",59
35,2021,E02002491,2021 super output areas - middle layer,152,Less than 2 years,7
36,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents,6776
37,2021,E02002492,2021 super output areas - middle layer,152,Born in the UK,6585
38,2021,E02002492,2021 super output areas - middle layer,152,10 years or more,113
39,2021,E02002492,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",28
40,2021,E02002492,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",42
41,2021,E02002492,2021 super output areas - middle layer,152,Less than 2 years,8
42,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents,6751
43,2021,E02002493,2021 super output areas - middle layer,152,Born in the UK,6590
44,2021,E02002493,2021 super output areas - middle layer,152,10 years or more,123
45,2021,E02002493,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",17
46,2021,E02002493,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",8
47,2021,E02002493,2021 super output areas - middle layer,152,Less than 2 years,13
48,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents,7673
49,2021,E02002494,2021 super output areas - middle layer,152,Born in the UK,7506
50,2021,E02002494,2021 super output areas - middle layer,152,10 years or more,89
51,2021,E02002494,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",27
52,2021,E02002494,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",43
53,2021,E02002494,2021 super output areas - middle layer,152,Less than 2 years,8
54,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents,12689
55,2021,E02006909,2021 super output areas - middle layer,152,Born in the UK,12322
56,2021,E02006909,2021 super output areas - middle layer,152,10 years or more,288
57,2021,E02006909,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",33
58,2021,E02006909,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",24
59,2021,E02006909,2021 super output areas - middle layer,152,Less than 2 years,22
60,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents,10532
61,2021,E02007059,2021 super output areas - middle layer,152,Born in the UK,9793
62,2021,E02007059,2021 super output areas - middle layer,152,10 years or more,396
63,2021,E02007059,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",101
64,2021,E02007059,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",112
65,2021,E02007059,2021 super output areas - middle layer,152,Less than 2 years,130
66,2021,E02002496,2021 super output areas - middle layer,152,Total: All usual residents,11865
67,2021,E02002496,2021 super output areas - middle layer,152,Born in the UK,7140
68,2021,E02002496,2021 super output areas - middle layer,152,10 years or more,1646
69,2021,E02002496,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",691
70,2021,E02002496,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",709
71,2021,E02002496,2021 super output areas - middle layer,152,Less than 2 years,1679
72,2021,E02002497,2021 super output areas - middle layer,152,Total: All usual residents,6114
73,2021,E02002497,2021 super output areas - middle layer,152,Born in the UK,5207
74,2021,E02002497,2021 super output areas - middle layer,152,10 years or more,265
75,2021,E02002497,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",185
76,2021,E02002497,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",194
77,2021,E02002497,2021 super output areas - middle layer,152,Less than 2 years,263
78,2021,E02002498,2021 super output areas - middle layer,152,Total: All usual residents,8505
79,2021,E02002498,2021 super output areas - middle layer,152,Born in the UK,4844
80,2021,E02002498,2021 super output areas - middle layer,152,10 years or more,985
81,2021,E02002498,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",633
82,2021,E02002498,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",787
83,2021,E02002498,2021 super output areas - middle layer,152,Less than 2 years,1256
84,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents,7682
85,2021,E02002499,2021 super output areas - middle layer,152,Born in the UK,7320
86,2021,E02002499,2021 super output areas - middle layer,152,10 years or more,200
87,2021,E02002499,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",72
88,2021,E02002499,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",51
89,2021,E02002499,2021 super output areas - middle layer,152,Less than 2 years,39
90,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents,5906
91,2021,E02002500,2021 super output areas - middle layer,152,Born in the UK,4951
92,2021,E02002500,2021 super output areas - middle layer,152,10 years or more,518
93,2021,E02002500,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",163
94,2021,E02002500,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",129
95,2021,E02002500,2021 super output areas - middle layer,152,Less than 2 years,145
96,2021,E02002501,2021 super output areas - middle layer,152,Total: All usual residents,6266
97,2021,E02002501,2021 super output areas - middle layer,152,Born in the UK,5474
98,2021,E02002501,2021 super output areas - middle layer,152,10 years or more,460
99,2021,E02002501,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",182
100,2021,E02002501,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",91
101,2021,E02002501,2021 super output areas - middle layer,152,Less than 2 years,59
102,2021,E02002502,2021 super output areas - middle layer,152,Total: All usual residents,9791
103,2021,E02002502,2021 super output areas - middle layer,152,Born in the UK,9412
104,2021,E02002502,2021 super output areas - middle layer,152,10 years or more,201
105,2021,E02002502,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",81
106,2021,E02002502,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",43
107,2021,E02002502,2021 super output areas - middle layer,152,Less than 2 years,54
108,2021,E02002503,2021 super output areas - middle layer,152,Total: All usual residents,6836
109,2021,E02002503,2021 super output areas - middle layer,152,Born in the UK,6168
110,2021,E02002503,2021 super output areas - middle layer,152,10 years or more,399
111,2021,E02002503,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",121
112,2021,E02002503,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",87
113,2021,E02002503,2021 super output areas - middle layer,152,Less than 2 years,61
114,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents,9755
115,2021,E02002504,2021 super output areas - middle layer,152,Born in the UK,8255
116,2021,E02002504,2021 super output areas - middle layer,152,10 years or more,928
117,2021,E02002504,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",275
118,2021,E02002504,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",158
119,2021,E02002504,2021 super output areas - middle layer,152,Less than 2 years,139
120,2021,E02002505,2021 super output areas - middle layer,152,Total: All usual residents,6386
121,2021,E02002505,2021 super output areas - middle layer,152,Born in the UK,6159
122,2021,E02002505,2021 super output areas - middle layer,152,10 years or more,103
123,2021,E02002505,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",43
124,2021,E02002505,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",44
125,2021,E02002505,2021 super output areas - middle layer,152,Less than 2 years,37
126,2021,E02002506,2021 super output areas - middle layer,152,Total: All usual residents,5598
127,2021,E02002506,2021 super output areas - middle layer,152,Born in the UK,5002
128,2021,E02002506,2021 super output areas - middle layer,152,10 years or more,270
129,2021,E02002506,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",83
130,2021,E02002506,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",82
131,2021,E02002506,2021 super output areas - middle layer,152,Less than 2 years,161
132,2021,E02002507,2021 super output areas - middle layer,152,Total: All usual residents,6235
133,2021,E02002507,2021 super output areas - middle layer,152,Born in the UK,5795
134,2021,E02002507,2021 super output areas - middle layer,152,10 years or more,310
135,2021,E02002507,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",51
136,2021,E02002507,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",41
137,2021,E02002507,2021 super output areas - middle layer,152,Less than 2 years,38
138,2021,E02002508,2021 super output areas - middle layer,152,Total: All usual residents,5426
139,2021,E02002508,2021 super output areas - middle layer,152,Born in the UK,4965
140,2021,E02002508,2021 super output areas - middle layer,152,10 years or more,372
141,2021,E02002508,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",51
142,2021,E02002508,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",20
143,2021,E02002508,2021 super output areas - middle layer,152,Less than 2 years,18
144,2021,E02002509,2021 super output areas - middle layer,152,Total: All usual residents,5145
145,2021,E02002509,2021 super output areas - middle layer,152,Born in the UK,4812
146,2021,E02002509,2021 super output areas - middle layer,152,10 years or more,189
147,2021,E02002509,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",41
148,2021,E02002509,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",33
149,2021,E02002509,2021 super output areas - middle layer,152,Less than 2 years,70
150,2021,E02002510,2021 super output areas - middle layer,152,Total: All usual residents,7095
151,2021,E02002510,2021 super output areas - middle layer,152,Born in the UK,6800
152,2021,E02002510,2021 super output areas - middle layer,152,10 years or more,198
153,2021,E02002510,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",38
154,2021,E02002510,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",33
155,2021,E02002510,2021 super output areas - middle layer,152,Less than 2 years,26
