,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGEARRUK_18_NAME,OBS_VALUE
0,2021,E02006016,2021 super output areas - middle layer,152,Arrived in the UK: Aged 25 to 29 years,42
1,2021,E02006016,2021 super output areas - middle layer,152,Arrived in the UK: Aged 30 to 44 years,64
2,2021,E02006016,2021 super output areas - middle layer,152,Arrived in the UK: Aged 45 to 59 years,20
3,2021,E02006016,2021 super output areas - middle layer,152,Arrived in the UK: Aged 60 to 64 years,2
4,2021,E02006016,2021 super output areas - middle layer,152,Arrived in the UK: Aged 65 to 74 years,2
5,2021,E02006016,2021 super output areas - middle layer,152,Arrived in the UK: Aged 75 to 84 years,1
6,2021,E02006016,2021 super output areas - middle layer,152,Arrived in the UK: Aged 85 to 89 years,1
7,2021,E02006016,2021 super output areas - middle layer,152,Arrived in the UK: Aged 90 years and over,0
8,2021,E02006017,2021 super output areas - middle layer,152,Total: All usual residents,8069
9,2021,E02006017,2021 super output areas - middle layer,152,Born in the UK,7559
10,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK,510
11,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 0 to 4 years,106
12,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 5 to 7 years,36
13,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 8 to 9 years,11
14,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 10 to 14 years,42
15,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 15 years,8
16,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 16 to 17 years,29
17,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 18 to 19 years,25
18,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 20 to 24 years,62
19,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 25 to 29 years,57
20,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 30 to 44 years,91
21,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 45 to 59 years,27
22,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 60 to 64 years,8
23,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 65 to 74 years,8
24,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 75 to 84 years,0
25,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 85 to 89 years,0
26,2021,E02006017,2021 super output areas - middle layer,152,Arrived in the UK: Aged 90 years and over,0
27,2021,E02006018,2021 super output areas - middle layer,152,Total: All usual residents,12590
28,2021,E02006018,2021 super output areas - middle layer,152,Born in the UK,11839
29,2021,E02006018,2021 super output areas - middle layer,152,Arrived in the UK,751
30,2021,E02006018,2021 super output areas - middle layer,152,Arrived in the UK: Aged 0 to 4 years,164
31,2021,E02006018,2021 super output areas - middle layer,152,Arrived in the UK: Aged 5 to 7 years,36
32,2021,E02006018,2021 super output areas - middle layer,152,Arrived in the UK: Aged 8 to 9 years,19
33,2021,E02006018,2021 super output areas - middle layer,152,Arrived in the UK: Aged 10 to 14 years,37
