,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETHNIC_288_NAME,OBS_VALUE
0,2021,E02000308,2021 super output areas - middle layer,152,White: Swiss,1
1,2021,E02000308,2021 super output areas - middle layer,152,White: Turkish,118
2,2021,E02000308,2021 super output areas - middle layer,152,White: Turkish Cypriot,24
3,2021,E02000308,2021 super output areas - middle layer,152,White: Ukrainian,10
4,2021,E02000308,2021 super output areas - middle layer,152,White: White African,0
5,2021,E02000308,2021 super output areas - middle layer,152,White: White and North African or Middle Eastern,0
6,2021,E02000308,2021 super output areas - middle layer,152,White: White Caribbean,0
7,2021,E02000308,2021 super output areas - middle layer,152,White: Zimbabwean,0
8,2021,E02000308,2021 super output areas - middle layer,152,White: Any other ethnic group,12
9,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group,798
10,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Afghan,2
11,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: African unspecified,4
12,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: African Asian,1
13,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Albanian,16
14,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Algerian,0
15,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Arab,108
16,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Armenian,0
17,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Asian British,0
18,2021,E02000308,2021 super output areas - middle layer,152,"Other ethnic group: Bangladeshi, British Bangladeshi",0
19,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Black and Asian,1
20,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Brazilian,0
21,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Bulgarian,12
22,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Caribbean,2
23,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Caribbean Asian,3
24,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Chinese,1
25,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Colombian,3
26,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Cornish,1
27,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Cypriot (part not stated),10
28,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: Czech,0
29,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: East Asian/ East Asian unspecified,0
30,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: English,1
31,2021,E02000308,2021 super output areas - middle layer,152,Other ethnic group: English/Welsh/Scottish/Northern Irish/British,7
32,2021,E02000308,2021 super output areas - middle layer,152,"Other ethnic group: European Mixed, European unspecified, other European",25
