,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_MHHLANG_5_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4330
1,2021,E02002483,2021 super output areas - middle layer,152,One-person household,1183
2,2021,E02002483,2021 super output areas - middle layer,152,All household members have the same main language,3126
3,2021,E02002483,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",6
4,2021,E02002483,2021 super output areas - middle layer,152,Main language differs within partnerships,11
5,2021,E02002483,2021 super output areas - middle layer,152,Any other combination of multiple main languages,4
6,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4593
7,2021,E02002484,2021 super output areas - middle layer,152,One-person household,1655
8,2021,E02002484,2021 super output areas - middle layer,152,All household members have the same main language,2882
9,2021,E02002484,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",21
10,2021,E02002484,2021 super output areas - middle layer,152,Main language differs within partnerships,27
11,2021,E02002484,2021 super output areas - middle layer,152,Any other combination of multiple main languages,8
12,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3539
13,2021,E02002485,2021 super output areas - middle layer,152,One-person household,1202
14,2021,E02002485,2021 super output areas - middle layer,152,All household members have the same main language,2285
15,2021,E02002485,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",23
16,2021,E02002485,2021 super output areas - middle layer,152,Main language differs within partnerships,19
17,2021,E02002485,2021 super output areas - middle layer,152,Any other combination of multiple main languages,10
18,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3238
19,2021,E02002489,2021 super output areas - middle layer,152,One-person household,1459
20,2021,E02002489,2021 super output areas - middle layer,152,All household members have the same main language,1701
21,2021,E02002489,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",27
22,2021,E02002489,2021 super output areas - middle layer,152,Main language differs within partnerships,28
23,2021,E02002489,2021 super output areas - middle layer,152,Any other combination of multiple main languages,23
24,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2647
25,2021,E02002490,2021 super output areas - middle layer,152,One-person household,948
26,2021,E02002490,2021 super output areas - middle layer,152,All household members have the same main language,1650
27,2021,E02002490,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",30
28,2021,E02002490,2021 super output areas - middle layer,152,Main language differs within partnerships,8
29,2021,E02002490,2021 super output areas - middle layer,152,Any other combination of multiple main languages,11
30,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
31,2021,E02002491,2021 super output areas - middle layer,152,One-person household,966
32,2021,E02002491,2021 super output areas - middle layer,152,All household members have the same main language,1826
33,2021,E02002491,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",9
34,2021,E02002491,2021 super output areas - middle layer,152,Main language differs within partnerships,7
35,2021,E02002491,2021 super output areas - middle layer,152,Any other combination of multiple main languages,3
36,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2975
37,2021,E02002492,2021 super output areas - middle layer,152,One-person household,965
38,2021,E02002492,2021 super output areas - middle layer,152,All household members have the same main language,1979
39,2021,E02002492,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",8
40,2021,E02002492,2021 super output areas - middle layer,152,Main language differs within partnerships,14
41,2021,E02002492,2021 super output areas - middle layer,152,Any other combination of multiple main languages,9
42,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
43,2021,E02002493,2021 super output areas - middle layer,152,One-person household,827
44,2021,E02002493,2021 super output areas - middle layer,152,All household members have the same main language,2105
45,2021,E02002493,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",4
46,2021,E02002493,2021 super output areas - middle layer,152,Main language differs within partnerships,14
47,2021,E02002493,2021 super output areas - middle layer,152,Any other combination of multiple main languages,5
48,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3389
49,2021,E02002494,2021 super output areas - middle layer,152,One-person household,1127
50,2021,E02002494,2021 super output areas - middle layer,152,All household members have the same main language,2232
51,2021,E02002494,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",9
52,2021,E02002494,2021 super output areas - middle layer,152,Main language differs within partnerships,16
53,2021,E02002494,2021 super output areas - middle layer,152,Any other combination of multiple main languages,5
54,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5508
55,2021,E02006909,2021 super output areas - middle layer,152,One-person household,1411
56,2021,E02006909,2021 super output areas - middle layer,152,All household members have the same main language,4054
57,2021,E02006909,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",13
58,2021,E02006909,2021 super output areas - middle layer,152,Main language differs within partnerships,21
59,2021,E02006909,2021 super output areas - middle layer,152,Any other combination of multiple main languages,9
60,2021,E02007059,2021 super output areas - middle layer,152,Total: All households,4945
61,2021,E02007059,2021 super output areas - middle layer,152,One-person household,1873
62,2021,E02007059,2021 super output areas - middle layer,152,All household members have the same main language,2952
63,2021,E02007059,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",45
64,2021,E02007059,2021 super output areas - middle layer,152,Main language differs within partnerships,45
65,2021,E02007059,2021 super output areas - middle layer,152,Any other combination of multiple main languages,30
66,2021,E02002496,2021 super output areas - middle layer,152,Total: All households,4461
67,2021,E02002496,2021 super output areas - middle layer,152,One-person household,1962
68,2021,E02002496,2021 super output areas - middle layer,152,All household members have the same main language,1824
69,2021,E02002496,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",199
70,2021,E02002496,2021 super output areas - middle layer,152,Main language differs within partnerships,193
71,2021,E02002496,2021 super output areas - middle layer,152,Any other combination of multiple main languages,283
72,2021,E02002497,2021 super output areas - middle layer,152,Total: All households,2747
73,2021,E02002497,2021 super output areas - middle layer,152,One-person household,1067
