,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATIDUK_17_NAME,OBS_VALUE
0,2021,E02004974,2021 super output areas - middle layer,152,Total: All usual residents,9071
1,2021,E02004974,2021 super output areas - middle layer,152,British only identity,5251
2,2021,E02004974,2021 super output areas - middle layer,152,English only identity,959
3,2021,E02004974,2021 super output areas - middle layer,152,English and British only identity,812
4,2021,E02004974,2021 super output areas - middle layer,152,Welsh only identity,27
5,2021,E02004974,2021 super output areas - middle layer,152,Welsh and British only identity,13
6,2021,E02004974,2021 super output areas - middle layer,152,Any other combination of only UK identities,68
7,2021,E02004974,2021 super output areas - middle layer,152,Scottish only identity,19
8,2021,E02004974,2021 super output areas - middle layer,152,Scottish and British only identity,17
9,2021,E02004974,2021 super output areas - middle layer,152,Northern Irish only identity,15
10,2021,E02004974,2021 super output areas - middle layer,152,Northern Irish and British only identity,7
11,2021,E02004974,2021 super output areas - middle layer,152,Cornish only identity,0
12,2021,E02004974,2021 super output areas - middle layer,152,Cornish and British only identity,1
13,2021,E02004974,2021 super output areas - middle layer,152,Any other combination of only UK identities ,9
14,2021,E02004974,2021 super output areas - middle layer,152,Irish only identity,132
15,2021,E02004974,2021 super output areas - middle layer,152,Irish and at least one UK identity,14
16,2021,E02004974,2021 super output areas - middle layer,152,Other identity only,1416
17,2021,E02004974,2021 super output areas - middle layer,152,Other identity and at least one UK identity,379
18,2021,E02004974,2021 super output areas - middle layer,152,Non-UK identity only,1548
19,2021,E02004974,2021 super output areas - middle layer,152,UK identity and non-UK identity,393
20,2021,E02004975,2021 super output areas - middle layer,152,Total: All usual residents,8224
21,2021,E02004975,2021 super output areas - middle layer,152,British only identity,5334
22,2021,E02004975,2021 super output areas - middle layer,152,English only identity,741
23,2021,E02004975,2021 super output areas - middle layer,152,English and British only identity,681
24,2021,E02004975,2021 super output areas - middle layer,152,Welsh only identity,22
25,2021,E02004975,2021 super output areas - middle layer,152,Welsh and British only identity,14
26,2021,E02004975,2021 super output areas - middle layer,152,Any other combination of only UK identities,83
27,2021,E02004975,2021 super output areas - middle layer,152,Scottish only identity,32
28,2021,E02004975,2021 super output areas - middle layer,152,Scottish and British only identity,19
29,2021,E02004975,2021 super output areas - middle layer,152,Northern Irish only identity,12
30,2021,E02004975,2021 super output areas - middle layer,152,Northern Irish and British only identity,4
31,2021,E02004975,2021 super output areas - middle layer,152,Cornish only identity,1
32,2021,E02004975,2021 super output areas - middle layer,152,Cornish and British only identity,2
33,2021,E02004975,2021 super output areas - middle layer,152,Any other combination of only UK identities ,13
34,2021,E02004975,2021 super output areas - middle layer,152,Irish only identity,80
35,2021,E02004975,2021 super output areas - middle layer,152,Irish and at least one UK identity,19
36,2021,E02004975,2021 super output areas - middle layer,152,Other identity only,933
37,2021,E02004975,2021 super output areas - middle layer,152,Other identity and at least one UK identity,317
38,2021,E02004975,2021 super output areas - middle layer,152,Non-UK identity only,1013
39,2021,E02004975,2021 super output areas - middle layer,152,UK identity and non-UK identity,336
40,2021,E02004976,2021 super output areas - middle layer,152,Total: All usual residents,11414
41,2021,E02004976,2021 super output areas - middle layer,152,British only identity,5238
42,2021,E02004976,2021 super output areas - middle layer,152,English only identity,926
43,2021,E02004976,2021 super output areas - middle layer,152,English and British only identity,756
44,2021,E02004976,2021 super output areas - middle layer,152,Welsh only identity,17
45,2021,E02004976,2021 super output areas - middle layer,152,Welsh and British only identity,10
46,2021,E02004976,2021 super output areas - middle layer,152,Any other combination of only UK identities,86
47,2021,E02004976,2021 super output areas - middle layer,152,Scottish only identity,34
48,2021,E02004976,2021 super output areas - middle layer,152,Scottish and British only identity,17
49,2021,E02004976,2021 super output areas - middle layer,152,Northern Irish only identity,14
50,2021,E02004976,2021 super output areas - middle layer,152,Northern Irish and British only identity,7
51,2021,E02004976,2021 super output areas - middle layer,152,Cornish only identity,0
52,2021,E02004976,2021 super output areas - middle layer,152,Cornish and British only identity,0
53,2021,E02004976,2021 super output areas - middle layer,152,Any other combination of only UK identities ,14
54,2021,E02004976,2021 super output areas - middle layer,152,Irish only identity,142
55,2021,E02004976,2021 super output areas - middle layer,152,Irish and at least one UK identity,17
56,2021,E02004976,2021 super output areas - middle layer,152,Other identity only,3680
57,2021,E02004976,2021 super output areas - middle layer,152,Other identity and at least one UK identity,542
58,2021,E02004976,2021 super output areas - middle layer,152,Non-UK identity only,3822
59,2021,E02004976,2021 super output areas - middle layer,152,UK identity and non-UK identity,559
60,2021,E02004977,2021 super output areas - middle layer,152,Total: All usual residents,9159
61,2021,E02004977,2021 super output areas - middle layer,152,British only identity,4758
62,2021,E02004977,2021 super output areas - middle layer,152,English only identity,566
63,2021,E02004977,2021 super output areas - middle layer,152,English and British only identity,385
64,2021,E02004977,2021 super output areas - middle layer,152,Welsh only identity,18
65,2021,E02004977,2021 super output areas - middle layer,152,Welsh and British only identity,7
66,2021,E02004977,2021 super output areas - middle layer,152,Any other combination of only UK identities,37
67,2021,E02004977,2021 super output areas - middle layer,152,Scottish only identity,18
68,2021,E02004977,2021 super output areas - middle layer,152,Scottish and British only identity,7
69,2021,E02004977,2021 super output areas - middle layer,152,Northern Irish only identity,5
70,2021,E02004977,2021 super output areas - middle layer,152,Northern Irish and British only identity,3
71,2021,E02004977,2021 super output areas - middle layer,152,Cornish only identity,0
72,2021,E02004977,2021 super output areas - middle layer,152,Cornish and British only identity,0
73,2021,E02004977,2021 super output areas - middle layer,152,Any other combination of only UK identities ,4
74,2021,E02004977,2021 super output areas - middle layer,152,Irish only identity,104
75,2021,E02004977,2021 super output areas - middle layer,152,Irish and at least one UK identity,14
76,2021,E02004977,2021 super output areas - middle layer,152,Other identity only,2908
77,2021,E02004977,2021 super output areas - middle layer,152,Other identity and at least one UK identity,362
78,2021,E02004977,2021 super output areas - middle layer,152,Non-UK identity only,3012
79,2021,E02004977,2021 super output areas - middle layer,152,UK identity and non-UK identity,376
80,2021,E02004978,2021 super output areas - middle layer,152,Total: All usual residents,10297
81,2021,E02004978,2021 super output areas - middle layer,152,British only identity,5893
