,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATID_71_NAME,OBS_VALUE
0,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African: Nigerian,5
1,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African: Other Central and Western African,3
2,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African,4
3,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Kenyan,1
4,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Somali,0
5,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: South African,1
6,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Zimbabwean,0
7,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Other South and Eastern African,2
8,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian,49
9,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern,8
10,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern: Kurdish,3
11,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern: Iranian,1
12,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern: Iraqi,0
13,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Middle Eastern: Other Middle Eastern,4
14,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian,5
15,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian: Chinese,4
16,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian: Hong Kong Chinese,0
17,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian: Japanese,0
18,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Eastern Asian: Other Eastern Asian,1
19,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian,19
20,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Afghan,0
21,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Bangladeshi,1
22,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Indian,8
23,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Pakistani,0
24,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Sri Lankan,0
25,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Southern Asian: Other Southern Asian,10
26,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian,15
27,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Filipino,7
28,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Malaysian,1
29,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Singaporean,0
30,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: South-East Asian: Other South-East Asian,7
31,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Central Asian,0
32,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian: Asian not otherwise specified,2
33,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean,14
34,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American,9
35,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: Canadian,3
36,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: US Citizen,6
37,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: North American: Other North American,0
38,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Central American,0
39,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: South American,4
40,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean,1
41,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Jamaican,0
42,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: American and Caribbean: Caribbean: Other Caribbean,1
43,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian,3
44,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian,3
45,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: Australian,1
46,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: New Zealander,2
47,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Australasian: Other Australasian,0
48,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Antarctican and Oceanian: Other Oceanian,0
49,2021,E02003995,2021 super output areas - middle layer,152,Other identity only: Other,5
50,2021,E02003996,2021 super output areas - middle layer,152,Total: All usual residents,9337
51,2021,E02003996,2021 super output areas - middle layer,152,UK identity,8591
