,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELIGION_58_NAME,OBS_VALUE
0,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Chinese Religion,0
1,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Church of All Religion,0
2,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Confucianist,0
3,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Deist,0
4,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Druid,0
5,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Druze,0
6,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Eckankar,0
7,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Heathen,1
8,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Jain,1
9,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Mixed Religion,0
10,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Mysticism,0
11,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Native American Church,0
12,2021,E02001086,2021 super output areas - middle layer,152,Other religion: New Age,0
13,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Occult,0
14,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Other religions,8
15,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Own Belief System,0
16,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Pagan,10
17,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Pantheism,0
18,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Rastafarian,7
19,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Ravidassia,0
20,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Reconstructionist,0
21,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Satanism,1
22,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Scientology,0
23,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Shamanism,0
24,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Shintoism,0
25,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Spiritual,8
26,2021,E02001086,2021 super output areas - middle layer,152,Other religion: Spiritualist,5
