,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANG_9_NAME,OBS_VALUE
0,2021,W02000001,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8179
1,2021,W02000001,2021 super output areas - middle layer,152,Can understand spoken Welsh only,749
2,2021,W02000001,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3861
3,2021,W02000001,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,557
4,2021,W02000001,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,233
5,2021,W02000001,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,105
6,2021,W02000001,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,19
7,2021,W02000001,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,81
8,2021,W02000001,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,65
9,2021,W02000001,2021 super output areas - middle layer,152,No skills in Welsh,2509
10,2021,W02000002,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6231
11,2021,W02000002,2021 super output areas - middle layer,152,Can understand spoken Welsh only,527
12,2021,W02000002,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",2804
13,2021,W02000002,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,315
14,2021,W02000002,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,166
15,2021,W02000002,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,63
16,2021,W02000002,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,8
17,2021,W02000002,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,26
18,2021,W02000002,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,38
19,2021,W02000002,2021 super output areas - middle layer,152,No skills in Welsh,2284
20,2021,W02000003,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10270
21,2021,W02000003,2021 super output areas - middle layer,152,Can understand spoken Welsh only,1965
22,2021,W02000003,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",2943
23,2021,W02000003,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,837
24,2021,W02000003,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,443
25,2021,W02000003,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,194
26,2021,W02000003,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,19
27,2021,W02000003,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,111
28,2021,W02000003,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,50
29,2021,W02000003,2021 super output areas - middle layer,152,No skills in Welsh,3708
30,2021,W02000004,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7249
31,2021,W02000004,2021 super output areas - middle layer,152,Can understand spoken Welsh only,920
32,2021,W02000004,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",2832
33,2021,W02000004,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,501
34,2021,W02000004,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,232
35,2021,W02000004,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,108
36,2021,W02000004,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,19
37,2021,W02000004,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,55
38,2021,W02000004,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,23
39,2021,W02000004,2021 super output areas - middle layer,152,No skills in Welsh,2559
40,2021,W02000005,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8014
41,2021,W02000005,2021 super output areas - middle layer,152,Can understand spoken Welsh only,889
42,2021,W02000005,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3033
43,2021,W02000005,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,481
44,2021,W02000005,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,289
45,2021,W02000005,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,121
46,2021,W02000005,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,23
47,2021,W02000005,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,53
48,2021,W02000005,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,46
49,2021,W02000005,2021 super output areas - middle layer,152,No skills in Welsh,3079
50,2021,W02000006,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6805
51,2021,W02000006,2021 super output areas - middle layer,152,Can understand spoken Welsh only,546
52,2021,W02000006,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",4315
53,2021,W02000006,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,448
54,2021,W02000006,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,247
55,2021,W02000006,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,56
56,2021,W02000006,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,21
57,2021,W02000006,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,67
58,2021,W02000006,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,86
59,2021,W02000006,2021 super output areas - middle layer,152,No skills in Welsh,1019
60,2021,W02000007,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6683
61,2021,W02000007,2021 super output areas - middle layer,152,Can understand spoken Welsh only,602
62,2021,W02000007,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3162
