,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
0,2021,W02000001,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8180
1,2021,W02000001,2021 super output areas - middle layer,152,Cannot speak Welsh,3463
2,2021,W02000001,2021 super output areas - middle layer,152,Can speak Welsh,4717
3,2021,W02000002,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6231
4,2021,W02000002,2021 super output areas - middle layer,152,Cannot speak Welsh,2908
5,2021,W02000002,2021 super output areas - middle layer,152,Can speak Welsh,3323
6,2021,W02000003,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10270
7,2021,W02000003,2021 super output areas - middle layer,152,Cannot speak Welsh,5997
8,2021,W02000003,2021 super output areas - middle layer,152,Can speak Welsh,4273
9,2021,W02000004,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7249
10,2021,W02000004,2021 super output areas - middle layer,152,Cannot speak Welsh,3661
11,2021,W02000004,2021 super output areas - middle layer,152,Can speak Welsh,3588
12,2021,W02000005,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8012
13,2021,W02000005,2021 super output areas - middle layer,152,Cannot speak Welsh,4165
14,2021,W02000005,2021 super output areas - middle layer,152,Can speak Welsh,3847
15,2021,W02000006,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6807
16,2021,W02000006,2021 super output areas - middle layer,152,Cannot speak Welsh,1711
17,2021,W02000006,2021 super output areas - middle layer,152,Can speak Welsh,5096
18,2021,W02000007,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6683
19,2021,W02000007,2021 super output areas - middle layer,152,Cannot speak Welsh,2912
20,2021,W02000007,2021 super output areas - middle layer,152,Can speak Welsh,3771
21,2021,W02000008,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5829
22,2021,W02000008,2021 super output areas - middle layer,152,Cannot speak Welsh,2211
23,2021,W02000008,2021 super output areas - middle layer,152,Can speak Welsh,3618
24,2021,W02000009,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7825
25,2021,W02000009,2021 super output areas - middle layer,152,Cannot speak Welsh,2645
26,2021,W02000009,2021 super output areas - middle layer,152,Can speak Welsh,5180
27,2021,W02000010,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8466
28,2021,W02000010,2021 super output areas - middle layer,152,Cannot speak Welsh,6070
29,2021,W02000010,2021 super output areas - middle layer,152,Can speak Welsh,2396
30,2021,W02000011,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8090
31,2021,W02000011,2021 super output areas - middle layer,152,Cannot speak Welsh,3875
32,2021,W02000011,2021 super output areas - middle layer,152,Can speak Welsh,4215
33,2021,W02000012,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7961
34,2021,W02000012,2021 super output areas - middle layer,152,Cannot speak Welsh,2353
35,2021,W02000012,2021 super output areas - middle layer,152,Can speak Welsh,5608
36,2021,W02000013,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6240
37,2021,W02000013,2021 super output areas - middle layer,152,Cannot speak Welsh,1468
38,2021,W02000013,2021 super output areas - middle layer,152,Can speak Welsh,4772
39,2021,W02000014,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6563
40,2021,W02000014,2021 super output areas - middle layer,152,Cannot speak Welsh,2103
41,2021,W02000014,2021 super output areas - middle layer,152,Can speak Welsh,4460
42,2021,W02000015,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8178
43,2021,W02000015,2021 super output areas - middle layer,152,Cannot speak Welsh,1443
44,2021,W02000015,2021 super output areas - middle layer,152,Can speak Welsh,6735
45,2021,W02000016,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6181
46,2021,W02000016,2021 super output areas - middle layer,152,Cannot speak Welsh,1354
47,2021,W02000016,2021 super output areas - middle layer,152,Can speak Welsh,4827
48,2021,W02000017,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7355
49,2021,W02000017,2021 super output areas - middle layer,152,Cannot speak Welsh,1842
50,2021,W02000017,2021 super output areas - middle layer,152,Can speak Welsh,5513
51,2021,W02000018,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5884
52,2021,W02000018,2021 super output areas - middle layer,152,Cannot speak Welsh,1507
53,2021,W02000018,2021 super output areas - middle layer,152,Can speak Welsh,4377
54,2021,W02000019,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6506
55,2021,W02000019,2021 super output areas - middle layer,152,Cannot speak Welsh,2153
56,2021,W02000019,2021 super output areas - middle layer,152,Can speak Welsh,4353
57,2021,W02000020,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6316
58,2021,W02000020,2021 super output areas - middle layer,152,Cannot speak Welsh,1880
59,2021,W02000020,2021 super output areas - middle layer,152,Can speak Welsh,4436
60,2021,W02000021,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7559
61,2021,W02000021,2021 super output areas - middle layer,152,Cannot speak Welsh,1958
62,2021,W02000021,2021 super output areas - middle layer,152,Can speak Welsh,5601
63,2021,W02000022,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5437
64,2021,W02000022,2021 super output areas - middle layer,152,Cannot speak Welsh,2388
65,2021,W02000022,2021 super output areas - middle layer,152,Can speak Welsh,3049
66,2021,W02000023,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5165
67,2021,W02000023,2021 super output areas - middle layer,152,Cannot speak Welsh,1695
68,2021,W02000023,2021 super output areas - middle layer,152,Can speak Welsh,3470
69,2021,W02000024,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5557
70,2021,W02000024,2021 super output areas - middle layer,152,Cannot speak Welsh,1790
71,2021,W02000024,2021 super output areas - middle layer,152,Can speak Welsh,3767
72,2021,W02000025,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5997
73,2021,W02000025,2021 super output areas - middle layer,152,Cannot speak Welsh,2761
74,2021,W02000025,2021 super output areas - middle layer,152,Can speak Welsh,3236
