,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHDISABLED_4_NAME,OBS_VALUE
0,2021,E02003086,2021 super output areas - middle layer,152,Total: All households,2793
1,2021,E02003086,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1745
2,2021,E02003086,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,854
3,2021,E02003086,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,194
4,2021,E02003087,2021 super output areas - middle layer,152,Total: All households,4716
5,2021,E02003087,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,3024
6,2021,E02003087,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,1289
7,2021,E02003087,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,403
8,2021,E02003088,2021 super output areas - middle layer,152,Total: All households,3759
9,2021,E02003088,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2570
10,2021,E02003088,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,946
11,2021,E02003088,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,243
12,2021,E02003089,2021 super output areas - middle layer,152,Total: All households,2598
13,2021,E02003089,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1618
14,2021,E02003089,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,753
15,2021,E02003089,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,227
16,2021,E02006845,2021 super output areas - middle layer,152,Total: All households,3938
17,2021,E02006845,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2733
18,2021,E02006845,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,942
19,2021,E02006845,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,263
20,2021,E02006846,2021 super output areas - middle layer,152,Total: All households,3876
21,2021,E02006846,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2799
22,2021,E02006846,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,830
23,2021,E02006846,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,247
24,2021,E02003090,2021 super output areas - middle layer,152,Total: All households,3758
25,2021,E02003090,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2610
26,2021,E02003090,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,899
27,2021,E02003090,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,249
28,2021,E02003091,2021 super output areas - middle layer,152,Total: All households,2909
29,2021,E02003091,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1936
30,2021,E02003091,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,770
31,2021,E02003091,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,203
32,2021,E02003092,2021 super output areas - middle layer,152,Total: All households,3260
33,2021,E02003092,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2299
34,2021,E02003092,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,750
35,2021,E02003092,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,211
36,2021,E02003093,2021 super output areas - middle layer,152,Total: All households,2788
37,2021,E02003093,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1930
38,2021,E02003093,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,695
39,2021,E02003093,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,163
40,2021,E02003094,2021 super output areas - middle layer,152,Total: All households,3568
41,2021,E02003094,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2497
42,2021,E02003094,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,821
43,2021,E02003094,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,250
44,2021,E02003095,2021 super output areas - middle layer,152,Total: All households,3443
45,2021,E02003095,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2462
46,2021,E02003095,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,788
47,2021,E02003095,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,193
48,2021,E02003096,2021 super output areas - middle layer,152,Total: All households,2712
49,2021,E02003096,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1810
50,2021,E02003096,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,711
51,2021,E02003096,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,191
52,2021,E02003097,2021 super output areas - middle layer,152,Total: All households,2883
53,2021,E02003097,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1931
54,2021,E02003097,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,760
55,2021,E02003097,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,192
56,2021,E02003098,2021 super output areas - middle layer,152,Total: All households,4075
57,2021,E02003098,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,3154
58,2021,E02003098,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,720
59,2021,E02003098,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,201
60,2021,E02003099,2021 super output areas - middle layer,152,Total: All households,3188
61,2021,E02003099,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2054
62,2021,E02003099,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,880
63,2021,E02003099,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,254
64,2021,E02003101,2021 super output areas - middle layer,152,Total: All households,4345
65,2021,E02003101,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,3246
66,2021,E02003101,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,870
67,2021,E02003101,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,229
68,2021,E02003102,2021 super output areas - middle layer,152,Total: All households,2827
69,2021,E02003102,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1977
70,2021,E02003102,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,661
71,2021,E02003102,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,189
72,2021,E02003103,2021 super output areas - middle layer,152,Total: All households,2861
73,2021,E02003103,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1956
74,2021,E02003103,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,694
75,2021,E02003103,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,211
76,2021,E02003104,2021 super output areas - middle layer,152,Total: All households,3178
77,2021,E02003104,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,2155
78,2021,E02003104,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,842
79,2021,E02003104,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,181
80,2021,E02003105,2021 super output areas - middle layer,152,Total: All households,2600
81,2021,E02003105,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1777
82,2021,E02003105,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,647
83,2021,E02003105,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,176
84,2021,E02003107,2021 super output areas - middle layer,152,Total: All households,4591
85,2021,E02003107,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,3006
86,2021,E02003107,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,1265
87,2021,E02003107,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,320
88,2021,E02003108,2021 super output areas - middle layer,152,Total: All households,5039
89,2021,E02003108,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,3542
90,2021,E02003108,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,1175
91,2021,E02003108,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,322
92,2021,E02003109,2021 super output areas - middle layer,152,Total: All households,2441
93,2021,E02003109,2021 super output areas - middle layer,152,No people disabled under the Equality Act in household,1732
94,2021,E02003109,2021 super output areas - middle layer,152,1 person disabled under the Equality Act in household,561
95,2021,E02003109,2021 super output areas - middle layer,152,2 or more people disabled under the Equality Act in household,148
96,2021,E02003110,2021 super output areas - middle layer,152,Total: All households,4771
