,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ACCTYPE_9_NAME,OBS_VALUE
0,2021,E02004778,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",47
1,2021,E02004778,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",22
2,2021,E02004778,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",43
3,2021,E02004778,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,158
4,2021,E02006822,2021 super output areas - middle layer,152,Total,3811
5,2021,E02006822,2021 super output areas - middle layer,152,Detached,952
6,2021,E02006822,2021 super output areas - middle layer,152,Semi-detached,1632
7,2021,E02006822,2021 super output areas - middle layer,152,Terraced,885
8,2021,E02006822,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,305
9,2021,E02006822,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",22
10,2021,E02006822,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",3
11,2021,E02006822,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",12
12,2021,E02006822,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,0
13,2021,E02006830,2021 super output areas - middle layer,152,Total,2791
14,2021,E02006830,2021 super output areas - middle layer,152,Detached,458
15,2021,E02006830,2021 super output areas - middle layer,152,Semi-detached,738
16,2021,E02006830,2021 super output areas - middle layer,152,Terraced,835
17,2021,E02006830,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,740
18,2021,E02006830,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",0
19,2021,E02006830,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",2
20,2021,E02006830,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",17
21,2021,E02006830,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,1
22,2021,E02006831,2021 super output areas - middle layer,152,Total,2688
23,2021,E02006831,2021 super output areas - middle layer,152,Detached,1254
24,2021,E02006831,2021 super output areas - middle layer,152,Semi-detached,842
25,2021,E02006831,2021 super output areas - middle layer,152,Terraced,340
26,2021,E02006831,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,227
27,2021,E02006831,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",8
28,2021,E02006831,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",3
29,2021,E02006831,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",14
30,2021,E02006831,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,0
31,2021,E02004779,2021 super output areas - middle layer,152,Total,4862
32,2021,E02004779,2021 super output areas - middle layer,152,Detached,2529
33,2021,E02004779,2021 super output areas - middle layer,152,Semi-detached,1243
