,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_SEX_20_NAME,OBS_VALUE
0,2021,E02001324,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
1,2021,E02001325,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,48
2,2021,E02001325,2021 super output areas - middle layer,152,Resident,48
3,2021,E02001325,2021 super output areas - middle layer,152,Resident:Male,17
4,2021,E02001325,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
5,2021,E02001325,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
6,2021,E02001325,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
7,2021,E02001325,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,1
8,2021,E02001325,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,8
9,2021,E02001325,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,4
10,2021,E02001325,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,1
11,2021,E02001325,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,3
12,2021,E02001325,2021 super output areas - middle layer,152,Resident:Female,31
13,2021,E02001325,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
14,2021,E02001325,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
15,2021,E02001325,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
16,2021,E02001325,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
17,2021,E02001325,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,4
18,2021,E02001325,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,2
19,2021,E02001325,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,8
20,2021,E02001325,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,17
21,2021,E02001325,2021 super output areas - middle layer,152,Staff or owner,0
22,2021,E02001325,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
23,2021,E02001325,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
24,2021,E02001326,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,0
25,2021,E02001326,2021 super output areas - middle layer,152,Resident,0
26,2021,E02001326,2021 super output areas - middle layer,152,Resident:Male,0
27,2021,E02001326,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
28,2021,E02001326,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
29,2021,E02001326,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
30,2021,E02001326,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
31,2021,E02001326,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
32,2021,E02001326,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
33,2021,E02001326,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,0
34,2021,E02001326,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,0
35,2021,E02001326,2021 super output areas - middle layer,152,Resident:Female,0
36,2021,E02001326,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
37,2021,E02001326,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
38,2021,E02001326,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
39,2021,E02001326,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
40,2021,E02001326,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,0
41,2021,E02001326,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,0
42,2021,E02001326,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,0
43,2021,E02001326,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,0
44,2021,E02001326,2021 super output areas - middle layer,152,Staff or owner,0
45,2021,E02001326,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
46,2021,E02001326,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
47,2021,E02001327,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,0
48,2021,E02001327,2021 super output areas - middle layer,152,Resident,0
49,2021,E02001327,2021 super output areas - middle layer,152,Resident:Male,0
50,2021,E02001327,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
51,2021,E02001327,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
52,2021,E02001327,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
53,2021,E02001327,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
54,2021,E02001327,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
55,2021,E02001327,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
56,2021,E02001327,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,0
57,2021,E02001327,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,0
58,2021,E02001327,2021 super output areas - middle layer,152,Resident:Female,0
