,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COMEST_26_NAME,OBS_VALUE
0,2021,E02005534,2021 super output areas - middle layer,152,Other establishment: Other travel or temporary accommodation,0
1,2021,E02005534,2021 super output areas - middle layer,152,Other establishment: Religious,0
2,2021,E02005534,2021 super output areas - middle layer,152,Other establishment: Staff or worker accommodation or Other,7
3,2021,E02005534,2021 super output areas - middle layer,152,Establishment not stated,0
4,2021,E02005535,2021 super output areas - middle layer,152,Total,184
5,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment,183
6,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment:NHS,37
7,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: NHS: General hospital,0
8,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),37
9,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: NHS: Other hospital,0
10,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment:Local Authority,0
11,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Children's home (including secure units),0
12,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Care home with nursing,0
13,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Care home without nursing,0
14,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Other home,0
15,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment:Registered Social Landlord or Housing Association,0
16,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Registered Social Landlord or Housing Association: Home or hostel,0
17,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment:Other,146
18,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Other: Care home with nursing,91
19,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Other: Care home without nursing,55
20,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Other: Children's home (including secure units),0
21,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Other: Mental health hospital or unit (including secure units),0
22,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Other: Other hospital,0
23,2021,E02005535,2021 super output areas - middle layer,152,Medical and care establishment: Other: Other establishment,0
24,2021,E02005535,2021 super output areas - middle layer,152,Other establishment,0
25,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Defence,0
26,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Prison service,0
27,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Approved premises (probation or bail hostel),0
28,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Detention centres and other detention,0
29,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Education,0
30,2021,E02005535,2021 super output areas - middle layer,152,"Other establishment: Hotel, guest house, B&B or youth hostel",0
31,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Hostel or temporary shelter for the homeless,0
32,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Holiday accommodation,0
33,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Other travel or temporary accommodation,0
34,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Religious,0
35,2021,E02005535,2021 super output areas - middle layer,152,Other establishment: Staff or worker accommodation or Other,0
36,2021,E02005535,2021 super output areas - middle layer,152,Establishment not stated,1
37,2021,E02005536,2021 super output areas - middle layer,152,Total,111
38,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment,111
39,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment:NHS,0
40,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment: NHS: General hospital,0
41,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),0
42,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment: NHS: Other hospital,0
43,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment:Local Authority,0
44,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Children's home (including secure units),0
45,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Care home with nursing,0
46,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Care home without nursing,0
47,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment: Local Authority: Other home,0
48,2021,E02005536,2021 super output areas - middle layer,152,Medical and care establishment:Registered Social Landlord or Housing Association,0
