,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_BEDROOMS_6_NAME,OBS_VALUE
0,2021,E02000141,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,185
1,2021,E02000141,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,20
2,2021,E02000142,2021 super output areas - middle layer,152,Total: All households,3451
3,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1426
4,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1055
5,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,848
6,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,106
7,2021,E02000142,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,16
8,2021,E02000144,2021 super output areas - middle layer,152,Total: All households,4313
9,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1350
10,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1297
11,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1449
12,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,198
13,2021,E02000144,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,19
14,2021,E02000145,2021 super output areas - middle layer,152,Total: All households,3514
15,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,645
16,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1150
17,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1377
18,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,308
19,2021,E02000145,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,34
20,2021,E02000146,2021 super output areas - middle layer,152,Total: All households,4040
21,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1142
22,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1474
23,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1258
24,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,152
25,2021,E02000146,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,14
26,2021,E02000147,2021 super output areas - middle layer,152,Total: All households,3166
27,2021,E02000147,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1685
28,2021,E02000147,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,809
