,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TENURE_9_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4329
1,2021,E02002483,2021 super output areas - middle layer,152,Owned,3143
2,2021,E02002483,2021 super output areas - middle layer,152,Owned: Owns outright,1409
3,2021,E02002483,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,1734
4,2021,E02002483,2021 super output areas - middle layer,152,Shared ownership,52
5,2021,E02002483,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,52
6,2021,E02002483,2021 super output areas - middle layer,152,Social rented,575
7,2021,E02002483,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,226
8,2021,E02002483,2021 super output areas - middle layer,152,Social rented: Other social rented,349
9,2021,E02002483,2021 super output areas - middle layer,152,Private rented,559
10,2021,E02002483,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,480
11,2021,E02002483,2021 super output areas - middle layer,152,Private rented: Other private rented,79
12,2021,E02002483,2021 super output areas - middle layer,152,Lives rent free,0
13,2021,E02002483,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,1786
14,2021,E02002483,2021 super output areas - middle layer,152,Private rented or lives rent free,559
15,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4595
16,2021,E02002484,2021 super output areas - middle layer,152,Owned,1823
17,2021,E02002484,2021 super output areas - middle layer,152,Owned: Owns outright,914
18,2021,E02002484,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,909
19,2021,E02002484,2021 super output areas - middle layer,152,Shared ownership,26
20,2021,E02002484,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,26
21,2021,E02002484,2021 super output areas - middle layer,152,Social rented,2017
22,2021,E02002484,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,848
23,2021,E02002484,2021 super output areas - middle layer,152,Social rented: Other social rented,1169
24,2021,E02002484,2021 super output areas - middle layer,152,Private rented,717
25,2021,E02002484,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,624
26,2021,E02002484,2021 super output areas - middle layer,152,Private rented: Other private rented,93
27,2021,E02002484,2021 super output areas - middle layer,152,Lives rent free,12
28,2021,E02002484,2021 super output areas - middle layer,152,Owns with a mortgage or loan or shared ownership,935
29,2021,E02002484,2021 super output areas - middle layer,152,Private rented or lives rent free,729
30,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3540
31,2021,E02002485,2021 super output areas - middle layer,152,Owned,1562
32,2021,E02002485,2021 super output areas - middle layer,152,Owned: Owns outright,805
33,2021,E02002485,2021 super output areas - middle layer,152,Owned: Owns with a mortgage or loan,757
34,2021,E02002485,2021 super output areas - middle layer,152,Shared ownership,66
35,2021,E02002485,2021 super output areas - middle layer,152,Shared ownership: Shared ownership,66
36,2021,E02002485,2021 super output areas - middle layer,152,Social rented,1274
37,2021,E02002485,2021 super output areas - middle layer,152,Social rented: Rents from council or Local Authority,577
38,2021,E02002485,2021 super output areas - middle layer,152,Social rented: Other social rented,697
39,2021,E02002485,2021 super output areas - middle layer,152,Private rented,628
40,2021,E02002485,2021 super output areas - middle layer,152,Private rented: Private landlord or letting agency,545
41,2021,E02002485,2021 super output areas - middle layer,152,Private rented: Other private rented,83
42,2021,E02002485,2021 super output areas - middle layer,152,Lives rent free,10
