,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
0,2021,E02005879,2021 super output areas - middle layer,152,Total: All usual residents,258
1,2021,E02005879,2021 super output areas - middle layer,152,Armed forces base address,2
2,2021,E02005879,2021 super output areas - middle layer,152,Another address when working away from home,13
3,2021,E02005879,2021 super output areas - middle layer,152,Holiday home,39
4,2021,E02005879,2021 super output areas - middle layer,152,Student's term-time address,0
5,2021,E02005879,2021 super output areas - middle layer,152,Student's home address,1
6,2021,E02005879,2021 super output areas - middle layer,152,Another parent or guardian's address,130
7,2021,E02005879,2021 super output areas - middle layer,152,Partner's address,40
8,2021,E02005879,2021 super output areas - middle layer,152,Other,33
9,2021,E02005879,2021 super output areas - middle layer,152,Second address type not specified,0
10,2021,E02006835,2021 super output areas - middle layer,152,Total: All usual residents,231
11,2021,E02006835,2021 super output areas - middle layer,152,Armed forces base address,2
12,2021,E02006835,2021 super output areas - middle layer,152,Another address when working away from home,17
13,2021,E02006835,2021 super output areas - middle layer,152,Holiday home,55
14,2021,E02006835,2021 super output areas - middle layer,152,Student's term-time address,2
15,2021,E02006835,2021 super output areas - middle layer,152,Student's home address,3
16,2021,E02006835,2021 super output areas - middle layer,152,Another parent or guardian's address,95
17,2021,E02006835,2021 super output areas - middle layer,152,Partner's address,30
18,2021,E02006835,2021 super output areas - middle layer,152,Other,27
19,2021,E02006835,2021 super output areas - middle layer,152,Second address type not specified,0
20,2021,E02005880,2021 super output areas - middle layer,152,Total: All usual residents,179
21,2021,E02005880,2021 super output areas - middle layer,152,Armed forces base address,7
22,2021,E02005880,2021 super output areas - middle layer,152,Another address when working away from home,9
23,2021,E02005880,2021 super output areas - middle layer,152,Holiday home,33
24,2021,E02005880,2021 super output areas - middle layer,152,Student's term-time address,2
25,2021,E02005880,2021 super output areas - middle layer,152,Student's home address,3
26,2021,E02005880,2021 super output areas - middle layer,152,Another parent or guardian's address,91
27,2021,E02005880,2021 super output areas - middle layer,152,Partner's address,20
28,2021,E02005880,2021 super output areas - middle layer,152,Other,14
29,2021,E02005880,2021 super output areas - middle layer,152,Second address type not specified,0
30,2021,E02005881,2021 super output areas - middle layer,152,Total: All usual residents,186
31,2021,E02005881,2021 super output areas - middle layer,152,Armed forces base address,6
32,2021,E02005881,2021 super output areas - middle layer,152,Another address when working away from home,16
33,2021,E02005881,2021 super output areas - middle layer,152,Holiday home,25
34,2021,E02005881,2021 super output areas - middle layer,152,Student's term-time address,1
35,2021,E02005881,2021 super output areas - middle layer,152,Student's home address,1
36,2021,E02005881,2021 super output areas - middle layer,152,Another parent or guardian's address,93
37,2021,E02005881,2021 super output areas - middle layer,152,Partner's address,22
38,2021,E02005881,2021 super output areas - middle layer,152,Other,22
39,2021,E02005881,2021 super output areas - middle layer,152,Second address type not specified,0
40,2021,E02005882,2021 super output areas - middle layer,152,Total: All usual residents,249
41,2021,E02005882,2021 super output areas - middle layer,152,Armed forces base address,10
42,2021,E02005882,2021 super output areas - middle layer,152,Another address when working away from home,13
43,2021,E02005882,2021 super output areas - middle layer,152,Holiday home,50
