,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCC_105_NAME,OBS_VALUE
0,2021,E02006374,2021 super output areas - middle layer,152,323 Teaching and Childcare Associate Professionals,17
1,2021,E02006374,2021 super output areas - middle layer,152,324 Veterinary nurses,4
2,2021,E02006374,2021 super output areas - middle layer,152,331 Protective Service Occupations,54
3,2021,E02006374,2021 super output areas - middle layer,152,"341 Artistic, Literary and Media Occupations",50
4,2021,E02006374,2021 super output areas - middle layer,152,342 Design Occupations,8
5,2021,E02006374,2021 super output areas - middle layer,152,343 Sports and Fitness Occupations,28
6,2021,E02006374,2021 super output areas - middle layer,152,351 Transport Associate Professionals,15
7,2021,E02006374,2021 super output areas - middle layer,152,352 Legal Associate Professionals,1
8,2021,E02006374,2021 super output areas - middle layer,152,353 Finance Associate Professionals,33
9,2021,E02006374,2021 super output areas - middle layer,152,354 Business Associate Professionals,20
10,2021,E02006374,2021 super output areas - middle layer,152,"355 Sales, Marketing and Related Associate Professionals",116
11,2021,E02006374,2021 super output areas - middle layer,152,356 Public Services Associate Professionals,1
12,2021,E02006374,2021 super output areas - middle layer,152,"357 HR, Training and Other Vocational Associate Guidance Professionals",41
13,2021,E02006374,2021 super output areas - middle layer,152,358 Regulatory Associate Professionals,13
14,2021,E02006374,2021 super output areas - middle layer,152,411 Administrative Occupations: Government and Related Organisations,21
15,2021,E02006374,2021 super output areas - middle layer,152,412 Administrative Occupations: Finance,76
16,2021,E02006374,2021 super output areas - middle layer,152,413 Administrative Occupations: Records,39
17,2021,E02006374,2021 super output areas - middle layer,152,414 Administrative Occupations: Office Managers and Supervisors,39
18,2021,E02006374,2021 super output areas - middle layer,152,415 Other Administrative Occupations,105
19,2021,E02006374,2021 super output areas - middle layer,152,421 Secretarial and Related Occupations,93
20,2021,E02006374,2021 super output areas - middle layer,152,511 Agricultural and Related Trades,110
21,2021,E02006374,2021 super output areas - middle layer,152,"521 Metal Forming, Welding and Related Trades",4
22,2021,E02006374,2021 super output areas - middle layer,152,"522 Metal Machining, Fitting and Instrument Making Trades",17
23,2021,E02006374,2021 super output areas - middle layer,152,523 Vehicle Trades,32
24,2021,E02006374,2021 super output areas - middle layer,152,524 Electrical and Electronic Trades,71
25,2021,E02006374,2021 super output areas - middle layer,152,"525 Skilled Metal, Electrical and Electronic Trades Supervisors",1
26,2021,E02006374,2021 super output areas - middle layer,152,531 Construction and Building Trades,148
27,2021,E02006374,2021 super output areas - middle layer,152,532 Building Finishing Trades,25
28,2021,E02006374,2021 super output areas - middle layer,152,533 Construction and Building Trades Supervisors,4
29,2021,E02006374,2021 super output areas - middle layer,152,541 Textiles and Garments Trades,3
30,2021,E02006374,2021 super output areas - middle layer,152,542 Printing Trades,3
31,2021,E02006374,2021 super output areas - middle layer,152,543 Food Preparation and Hospitality Trades,41
32,2021,E02006374,2021 super output areas - middle layer,152,544 Other Skilled Trades,9
33,2021,E02006374,2021 super output areas - middle layer,152,611 Teaching and Childcare Support Occupations,68
34,2021,E02006374,2021 super output areas - middle layer,152,612 Animal Care and Control Services,30
35,2021,E02006374,2021 super output areas - middle layer,152,613 Caring Personal Services,119
36,2021,E02006374,2021 super output areas - middle layer,152,621 Leisure and Travel Services,15
37,2021,E02006374,2021 super output areas - middle layer,152,622 Hairdressers and Related Services,28
38,2021,E02006374,2021 super output areas - middle layer,152,623 Housekeeping and Related Services,15
39,2021,E02006374,2021 super output areas - middle layer,152,624 Cleaning and Housekeeping Managers and Supervisors,4
40,2021,E02006374,2021 super output areas - middle layer,152,625 Bed and Breakfast and Guest House Owners and Proprietors,1
41,2021,E02006374,2021 super output areas - middle layer,152,631 Community and Civil Enforcement Occupations,3
42,2021,E02006374,2021 super output areas - middle layer,152,711 Sales Assistants and Retail Cashiers,118
43,2021,E02006374,2021 super output areas - middle layer,152,712 Sales Related Occupations,9
44,2021,E02006374,2021 super output areas - middle layer,152,713 Shopkeepers and Sales Supervisors,29
45,2021,E02006374,2021 super output areas - middle layer,152,721 Customer Service Occupations,23
46,2021,E02006374,2021 super output areas - middle layer,152,722 Customer Service Supervisors,0
47,2021,E02006374,2021 super output areas - middle layer,152,811 Process Operatives,11
48,2021,E02006374,2021 super output areas - middle layer,152,812 Metal Working Machine Operatives,4
49,2021,E02006374,2021 super output areas - middle layer,152,813 Plant and Machine Operatives,6
50,2021,E02006374,2021 super output areas - middle layer,152,814 Assemblers and Routine Operatives,6
51,2021,E02006374,2021 super output areas - middle layer,152,815 Construction Operatives,16
52,2021,E02006374,2021 super output areas - middle layer,152,"816 Production, Factory and Assembly Supervisors",0
53,2021,E02006374,2021 super output areas - middle layer,152,821 Road Transport Drivers,65
54,2021,E02006374,2021 super output areas - middle layer,152,822 Mobile Machine Drivers and Operatives,11
55,2021,E02006374,2021 super output areas - middle layer,152,823 Other Drivers and Transport Operatives,4
56,2021,E02006374,2021 super output areas - middle layer,152,911 Elementary Agricultural Occupations,15
57,2021,E02006374,2021 super output areas - middle layer,152,912 Elementary Construction Occupations,26
58,2021,E02006374,2021 super output areas - middle layer,152,913 Elementary Process Plant Occupations,3
59,2021,E02006374,2021 super output areas - middle layer,152,921 Elementary Administration Occupations,17
60,2021,E02006374,2021 super output areas - middle layer,152,922 Elementary Cleaning Occupations,60
61,2021,E02006374,2021 super output areas - middle layer,152,923 Elementary Security Occupations,18
62,2021,E02006374,2021 super output areas - middle layer,152,924 Elementary Sales Occupations,8
63,2021,E02006374,2021 super output areas - middle layer,152,925 Elementary Storage Occupations,16
64,2021,E02006374,2021 super output areas - middle layer,152,926 Other Elementary Services Occupations,60
65,2021,E02006375,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3343
66,2021,E02006375,2021 super output areas - middle layer,152,111 Chief Executives and Senior Officials,25
67,2021,E02006375,2021 super output areas - middle layer,152,112 Production Managers and Directors,125
68,2021,E02006375,2021 super output areas - middle layer,152,113 Functional Managers and Directors,243
69,2021,E02006375,2021 super output areas - middle layer,152,"114 Directors in Logistics, Warehousing and Transport",3
70,2021,E02006375,2021 super output areas - middle layer,152,115 Managers and Directors in Retail and Wholesale,63
