,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_EASTAT_20_NAME,OBS_VALUE
0,2021,E02002128,2021 super output areas - middle layer,152,Economically inactive,2108
1,2021,E02002128,2021 super output areas - middle layer,152,Economically inactive: Retired,1351
2,2021,E02002128,2021 super output areas - middle layer,152,Economically inactive: Student,159
3,2021,E02002128,2021 super output areas - middle layer,152,Economically inactive: Looking after home or family,265
4,2021,E02002128,2021 super output areas - middle layer,152,Economically inactive: Long-term sick or disabled,223
5,2021,E02002128,2021 super output areas - middle layer,152,Economically inactive: Other,110
6,2021,E02002129,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5011
7,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students),2786
8,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment,2635
9,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Employee,2302
10,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Part-time,573
11,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Full-time,1729
12,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed with employees,69
13,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,13
14,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,56
15,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed without employees,264
16,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,92
17,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,172
18,2021,E02002129,2021 super output areas - middle layer,152,Economically active (excluding full-time students): Unemployed,151
19,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student,78
20,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment,57
21,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Employee,53
22,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Part-time,43
23,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Full-time,10
24,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed with employees,0
25,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
26,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
27,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed without employees,4
28,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
29,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
30,2021,E02002129,2021 super output areas - middle layer,152,Economically active and a full-time student: Unemployed,21
31,2021,E02002129,2021 super output areas - middle layer,152,Economically inactive,2147
32,2021,E02002129,2021 super output areas - middle layer,152,Economically inactive: Retired,1290
33,2021,E02002129,2021 super output areas - middle layer,152,Economically inactive: Student,200
34,2021,E02002129,2021 super output areas - middle layer,152,Economically inactive: Looking after home or family,252
35,2021,E02002129,2021 super output areas - middle layer,152,Economically inactive: Long-term sick or disabled,224
36,2021,E02002129,2021 super output areas - middle layer,152,Economically inactive: Other,181
37,2021,E02002130,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5144
38,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students),2794
39,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment,2571
40,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Employee,2208
41,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Part-time,671
42,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Full-time,1537
43,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed with employees,61
44,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,19
45,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,42
46,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed without employees,302
47,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,113
48,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,189
49,2021,E02002130,2021 super output areas - middle layer,152,Economically active (excluding full-time students): Unemployed,223
50,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student,104
51,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment,80
52,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Employee,79
53,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Part-time,52
54,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Full-time,27
55,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed with employees,1
56,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
57,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
58,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed without employees,0
59,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
60,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
61,2021,E02002130,2021 super output areas - middle layer,152,Economically active and a full-time student: Unemployed,24
62,2021,E02002130,2021 super output areas - middle layer,152,Economically inactive,2246
63,2021,E02002130,2021 super output areas - middle layer,152,Economically inactive: Retired,849
64,2021,E02002130,2021 super output areas - middle layer,152,Economically inactive: Student,337
65,2021,E02002130,2021 super output areas - middle layer,152,Economically inactive: Looking after home or family,476
66,2021,E02002130,2021 super output areas - middle layer,152,Economically inactive: Long-term sick or disabled,369
67,2021,E02002130,2021 super output areas - middle layer,152,Economically inactive: Other,215
68,2021,E02002131,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6525
69,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students),3726
70,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment,3591
71,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Employee,3024
72,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Part-time,830
73,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Full-time,2194
74,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed with employees,128
75,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,34
76,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,94
77,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed without employees,439
78,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,179
79,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,260
80,2021,E02002131,2021 super output areas - middle layer,152,Economically active (excluding full-time students): Unemployed,135
81,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student,107
82,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment,76
83,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Employee,76
84,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Part-time,60
85,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Full-time,16
86,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed with employees,0
87,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
88,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
89,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed without employees,0
90,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
91,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
92,2021,E02002131,2021 super output areas - middle layer,152,Economically active and a full-time student: Unemployed,31
93,2021,E02002131,2021 super output areas - middle layer,152,Economically inactive,2692
94,2021,E02002131,2021 super output areas - middle layer,152,Economically inactive: Retired,2008
95,2021,E02002131,2021 super output areas - middle layer,152,Economically inactive: Student,249
96,2021,E02002131,2021 super output areas - middle layer,152,Economically inactive: Looking after home or family,175
97,2021,E02002131,2021 super output areas - middle layer,152,Economically inactive: Long-term sick or disabled,151
98,2021,E02002131,2021 super output areas - middle layer,152,Economically inactive: Other,109
99,2021,E02002132,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4938
100,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students),2735
101,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment,2512
102,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Employee,2245
103,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Part-time,679
104,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Full-time,1566
105,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed with employees,49
106,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
107,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,42
108,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed without employees,218
109,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,77
110,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,141
111,2021,E02002132,2021 super output areas - middle layer,152,Economically active (excluding full-time students): Unemployed,223
112,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student,97
113,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment,65
114,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Employee,62
115,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Part-time,48
116,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Full-time,14
117,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed with employees,0
118,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
119,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
120,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed without employees,3
121,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
122,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
123,2021,E02002132,2021 super output areas - middle layer,152,Economically active and a full-time student: Unemployed,32
124,2021,E02002132,2021 super output areas - middle layer,152,Economically inactive,2106
125,2021,E02002132,2021 super output areas - middle layer,152,Economically inactive: Retired,1021
126,2021,E02002132,2021 super output areas - middle layer,152,Economically inactive: Student,244
127,2021,E02002132,2021 super output areas - middle layer,152,Economically inactive: Looking after home or family,341
128,2021,E02002132,2021 super output areas - middle layer,152,Economically inactive: Long-term sick or disabled,325
129,2021,E02002132,2021 super output areas - middle layer,152,Economically inactive: Other,175
130,2021,E02002133,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5718
131,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students),3177
132,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment,2922
133,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Employee,2469
134,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Part-time,608
135,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Employee: Full-time,1861
136,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed with employees,85
137,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,21
138,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,64
139,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Self-employed without employees,368
140,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,160
141,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,208
142,2021,E02002133,2021 super output areas - middle layer,152,Economically active (excluding full-time students): Unemployed,255
143,2021,E02002133,2021 super output areas - middle layer,152,Economically active and a full-time student,98
144,2021,E02002133,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment,73
