,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_STUDENT_3_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total,9672
1,2021,E02002483,2021 super output areas - middle layer,152,Student,1987
2,2021,E02002483,2021 super output areas - middle layer,152,Not a student,7685
3,2021,E02002484,2021 super output areas - middle layer,152,Total,9618
4,2021,E02002484,2021 super output areas - middle layer,152,Student,1967
5,2021,E02002484,2021 super output areas - middle layer,152,Not a student,7651
6,2021,E02002485,2021 super output areas - middle layer,152,Total,7520
7,2021,E02002485,2021 super output areas - middle layer,152,Student,1681
8,2021,E02002485,2021 super output areas - middle layer,152,Not a student,5839
9,2021,E02002489,2021 super output areas - middle layer,152,Total,6763
10,2021,E02002489,2021 super output areas - middle layer,152,Student,1564
11,2021,E02002489,2021 super output areas - middle layer,152,Not a student,5199
12,2021,E02002490,2021 super output areas - middle layer,152,Total,5445
13,2021,E02002490,2021 super output areas - middle layer,152,Student,1070
14,2021,E02002490,2021 super output areas - middle layer,152,Not a student,4375
15,2021,E02002491,2021 super output areas - middle layer,152,Total,6132
16,2021,E02002491,2021 super output areas - middle layer,152,Student,1334
17,2021,E02002491,2021 super output areas - middle layer,152,Not a student,4798
18,2021,E02002492,2021 super output areas - middle layer,152,Total,6390
19,2021,E02002492,2021 super output areas - middle layer,152,Student,1224
20,2021,E02002492,2021 super output areas - middle layer,152,Not a student,5166
21,2021,E02002493,2021 super output areas - middle layer,152,Total,6442
22,2021,E02002493,2021 super output areas - middle layer,152,Student,1042
23,2021,E02002493,2021 super output areas - middle layer,152,Not a student,5400
24,2021,E02002494,2021 super output areas - middle layer,152,Total,7080
25,2021,E02002494,2021 super output areas - middle layer,152,Student,1618
26,2021,E02002494,2021 super output areas - middle layer,152,Not a student,5462
27,2021,E02006909,2021 super output areas - middle layer,152,Total,12212
28,2021,E02006909,2021 super output areas - middle layer,152,Student,1875
29,2021,E02006909,2021 super output areas - middle layer,152,Not a student,10337
30,2021,E02007059,2021 super output areas - middle layer,152,Total,10085
31,2021,E02007059,2021 super output areas - middle layer,152,Student,1826
32,2021,E02007059,2021 super output areas - middle layer,152,Not a student,8259
33,2021,E02002496,2021 super output areas - middle layer,152,Total,11207
34,2021,E02002496,2021 super output areas - middle layer,152,Student,4625
35,2021,E02002496,2021 super output areas - middle layer,152,Not a student,6582
36,2021,E02002497,2021 super output areas - middle layer,152,Total,5675
37,2021,E02002497,2021 super output areas - middle layer,152,Student,1464
38,2021,E02002497,2021 super output areas - middle layer,152,Not a student,4211
39,2021,E02002498,2021 super output areas - middle layer,152,Total,7891
