,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_UKFORCEVET_6_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8176
1,2021,E02002483,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,337
2,2021,E02002483,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,67
3,2021,E02002483,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,13
4,2021,E02002483,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7759
5,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8122
6,2021,E02002484,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,324
7,2021,E02002484,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,66
8,2021,E02002484,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,13
9,2021,E02002484,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7719
10,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6231
11,2021,E02002485,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,215
12,2021,E02002485,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,64
13,2021,E02002485,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,15
14,2021,E02002485,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5937
15,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5762
16,2021,E02002489,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,217
17,2021,E02002489,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,40
18,2021,E02002489,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,10
19,2021,E02002489,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5495
20,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4614
21,2021,E02002490,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,177
22,2021,E02002490,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,40
23,2021,E02002490,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,10
24,2021,E02002490,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4387
25,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5124
26,2021,E02002491,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,239
27,2021,E02002491,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,53
28,2021,E02002491,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,9
29,2021,E02002491,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4823
30,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5476
31,2021,E02002492,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,236
32,2021,E02002492,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,45
33,2021,E02002492,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,19
34,2021,E02002492,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5176
35,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5687
36,2021,E02002493,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,262
37,2021,E02002493,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,62
38,2021,E02002493,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,8
39,2021,E02002493,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5355
40,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5839
41,2021,E02002494,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,236
42,2021,E02002494,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,43
43,2021,E02002494,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,12
44,2021,E02002494,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5548
45,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,10826
46,2021,E02006909,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,417
47,2021,E02006909,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,102
48,2021,E02006909,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,25
49,2021,E02006909,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,10282
50,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8830
51,2021,E02007059,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,371
52,2021,E02007059,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,73
53,2021,E02007059,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,25
54,2021,E02007059,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,8361
55,2021,E02002496,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,9749
