,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_ETHPUK11_NAME,OBS_VALUE
0,2001,E02001381,2001 super output areas - middle layer,305,Mixed: White and Asian,38
1,2001,E02001381,2001 super output areas - middle layer,305,Mixed: Other,96
2,2001,E02001381,2001 super output areas - middle layer,305,Asian/Asian British,143
3,2001,E02001381,2001 super output areas - middle layer,305,Asian/Asian British: Indian,39
4,2001,E02001381,2001 super output areas - middle layer,305,Asian/Asian British: Pakistani,40
5,2001,E02001381,2001 super output areas - middle layer,305,Asian/Asian British: Bangladeshi,24
6,2001,E02001381,2001 super output areas - middle layer,305,Asian/Asian British: Other,40
7,2001,E02001381,2001 super output areas - middle layer,305,Black/Black British,295
8,2001,E02001381,2001 super output areas - middle layer,305,Black/Black British: Black Caribbean,87
9,2001,E02001381,2001 super output areas - middle layer,305,Black/Black British: Black African,150
10,2001,E02001381,2001 super output areas - middle layer,305,Black/Black British: Other,58
11,2001,E02001381,2001 super output areas - middle layer,305,Chinese/Other,250
12,2001,E02001381,2001 super output areas - middle layer,305,Chinese/Other: Chinese,181
13,2001,E02001381,2001 super output areas - middle layer,305,Chinese/Other: Other,69
14,2001,E02001382,2001 super output areas - middle layer,305,All categories: Ethnic group,7320
15,2001,E02001382,2001 super output areas - middle layer,305,White,6990
16,2001,E02001382,2001 super output areas - middle layer,305,White: British,6870
17,2001,E02001382,2001 super output areas - middle layer,305,White: Irish,47
18,2001,E02001382,2001 super output areas - middle layer,305,White: Other,73
19,2001,E02001382,2001 super output areas - middle layer,305,Mixed,65
20,2001,E02001382,2001 super output areas - middle layer,305,Mixed: White and Black Caribbean,12
21,2001,E02001382,2001 super output areas - middle layer,305,Mixed: White and Black African,17
22,2001,E02001382,2001 super output areas - middle layer,305,Mixed: White and Asian,19
23,2001,E02001382,2001 super output areas - middle layer,305,Mixed: Other,17
24,2001,E02001382,2001 super output areas - middle layer,305,Asian/Asian British,82
25,2001,E02001382,2001 super output areas - middle layer,305,Asian/Asian British: Indian,39
