,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_RELPUK11_NAME,OBS_VALUE
0,2001,E02003496,2001 super output areas - middle layer,305,All categories: Religion,7396
1,2001,E02003496,2001 super output areas - middle layer,305,Christian,5259
2,2001,E02003496,2001 super output areas - middle layer,305,Buddhist,13
3,2001,E02003496,2001 super output areas - middle layer,305,Hindu,29
4,2001,E02003496,2001 super output areas - middle layer,305,Jewish,42
5,2001,E02003496,2001 super output areas - middle layer,305,Muslim,137
6,2001,E02003496,2001 super output areas - middle layer,305,Sikh,7
7,2001,E02003496,2001 super output areas - middle layer,305,Other religion,70
8,2001,E02003496,2001 super output areas - middle layer,305,No religion,1115
9,2001,E02003496,2001 super output areas - middle layer,305,Religion not stated,724
10,2001,E02003497,2001 super output areas - middle layer,305,All categories: Religion,6976
11,2001,E02003497,2001 super output areas - middle layer,305,Christian,4773
12,2001,E02003497,2001 super output areas - middle layer,305,Buddhist,26
13,2001,E02003497,2001 super output areas - middle layer,305,Hindu,75
14,2001,E02003497,2001 super output areas - middle layer,305,Jewish,307
15,2001,E02003497,2001 super output areas - middle layer,305,Muslim,254
16,2001,E02003497,2001 super output areas - middle layer,305,Sikh,21
17,2001,E02003497,2001 super output areas - middle layer,305,Other religion,61
18,2001,E02003497,2001 super output areas - middle layer,305,No religion,982
19,2001,E02003497,2001 super output areas - middle layer,305,Religion not stated,477
20,2001,E02003498,2001 super output areas - middle layer,305,All categories: Religion,7459
21,2001,E02003498,2001 super output areas - middle layer,305,Christian,4846
22,2001,E02003498,2001 super output areas - middle layer,305,Buddhist,18
23,2001,E02003498,2001 super output areas - middle layer,305,Hindu,33
24,2001,E02003498,2001 super output areas - middle layer,305,Jewish,28
25,2001,E02003498,2001 super output areas - middle layer,305,Muslim,140
26,2001,E02003498,2001 super output areas - middle layer,305,Sikh,8
27,2001,E02003498,2001 super output areas - middle layer,305,Other religion,37
28,2001,E02003498,2001 super output areas - middle layer,305,No religion,1684
29,2001,E02003498,2001 super output areas - middle layer,305,Religion not stated,665
30,2001,E02003499,2001 super output areas - middle layer,305,All categories: Religion,7729
31,2001,E02003499,2001 super output areas - middle layer,305,Christian,5047
32,2001,E02003499,2001 super output areas - middle layer,305,Buddhist,14
33,2001,E02003499,2001 super output areas - middle layer,305,Hindu,23
34,2001,E02003499,2001 super output areas - middle layer,305,Jewish,17
35,2001,E02003499,2001 super output areas - middle layer,305,Muslim,112
36,2001,E02003499,2001 super output areas - middle layer,305,Sikh,3
37,2001,E02003499,2001 super output areas - middle layer,305,Other religion,38
38,2001,E02003499,2001 super output areas - middle layer,305,No religion,1752
39,2001,E02003499,2001 super output areas - middle layer,305,Religion not stated,723
40,2001,E02003500,2001 super output areas - middle layer,305,All categories: Religion,7563
41,2001,E02003500,2001 super output areas - middle layer,305,Christian,4041
42,2001,E02003500,2001 super output areas - middle layer,305,Buddhist,58
43,2001,E02003500,2001 super output areas - middle layer,305,Hindu,24
44,2001,E02003500,2001 super output areas - middle layer,305,Jewish,25
45,2001,E02003500,2001 super output areas - middle layer,305,Muslim,70
46,2001,E02003500,2001 super output areas - middle layer,305,Sikh,8
47,2001,E02003500,2001 super output areas - middle layer,305,Other religion,58
48,2001,E02003500,2001 super output areas - middle layer,305,No religion,2654
49,2001,E02003500,2001 super output areas - middle layer,305,Religion not stated,625
50,2001,E02003501,2001 super output areas - middle layer,305,All categories: Religion,7546
51,2001,E02003501,2001 super output areas - middle layer,305,Christian,4403
52,2001,E02003501,2001 super output areas - middle layer,305,Buddhist,64
53,2001,E02003501,2001 super output areas - middle layer,305,Hindu,57
54,2001,E02003501,2001 super output areas - middle layer,305,Jewish,154
55,2001,E02003501,2001 super output areas - middle layer,305,Muslim,126
56,2001,E02003501,2001 super output areas - middle layer,305,Sikh,5
57,2001,E02003501,2001 super output areas - middle layer,305,Other religion,74
58,2001,E02003501,2001 super output areas - middle layer,305,No religion,1950
59,2001,E02003501,2001 super output areas - middle layer,305,Religion not stated,713
60,2001,E02003502,2001 super output areas - middle layer,305,All categories: Religion,7526
61,2001,E02003502,2001 super output areas - middle layer,305,Christian,5266
62,2001,E02003502,2001 super output areas - middle layer,305,Buddhist,12
63,2001,E02003502,2001 super output areas - middle layer,305,Hindu,16
64,2001,E02003502,2001 super output areas - middle layer,305,Jewish,45
65,2001,E02003502,2001 super output areas - middle layer,305,Muslim,70
66,2001,E02003502,2001 super output areas - middle layer,305,Sikh,0
67,2001,E02003502,2001 super output areas - middle layer,305,Other religion,56
68,2001,E02003502,2001 super output areas - middle layer,305,No religion,1435
69,2001,E02003502,2001 super output areas - middle layer,305,Religion not stated,626
70,2001,E02003503,2001 super output areas - middle layer,305,All categories: Religion,8469
71,2001,E02003503,2001 super output areas - middle layer,305,Christian,6142
72,2001,E02003503,2001 super output areas - middle layer,305,Buddhist,16
73,2001,E02003503,2001 super output areas - middle layer,305,Hindu,46
74,2001,E02003503,2001 super output areas - middle layer,305,Jewish,79
75,2001,E02003503,2001 super output areas - middle layer,305,Muslim,100
76,2001,E02003503,2001 super output areas - middle layer,305,Sikh,12
77,2001,E02003503,2001 super output areas - middle layer,305,Other religion,28
78,2001,E02003503,2001 super output areas - middle layer,305,No religion,1381
79,2001,E02003503,2001 super output areas - middle layer,305,Religion not stated,665
80,2001,E02003504,2001 super output areas - middle layer,305,All categories: Religion,7400
81,2001,E02003504,2001 super output areas - middle layer,305,Christian,3385
82,2001,E02003504,2001 super output areas - middle layer,305,Buddhist,74
83,2001,E02003504,2001 super output areas - middle layer,305,Hindu,46
84,2001,E02003504,2001 super output areas - middle layer,305,Jewish,50
85,2001,E02003504,2001 super output areas - middle layer,305,Muslim,120
86,2001,E02003504,2001 super output areas - middle layer,305,Sikh,8
87,2001,E02003504,2001 super output areas - middle layer,305,Other religion,65
88,2001,E02003504,2001 super output areas - middle layer,305,No religion,2936
89,2001,E02003504,2001 super output areas - middle layer,305,Religion not stated,716
90,2001,E02003505,2001 super output areas - middle layer,305,All categories: Religion,7629
91,2001,E02003505,2001 super output areas - middle layer,305,Christian,3268
92,2001,E02003505,2001 super output areas - middle layer,305,Buddhist,81
93,2001,E02003505,2001 super output areas - middle layer,305,Hindu,61
94,2001,E02003505,2001 super output areas - middle layer,305,Jewish,66
95,2001,E02003505,2001 super output areas - middle layer,305,Muslim,90
96,2001,E02003505,2001 super output areas - middle layer,305,Sikh,20
97,2001,E02003505,2001 super output areas - middle layer,305,Other religion,123
