,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_CARER_NAME,OBS_VALUE
0,2001,E02005892,2001 super output areas - middle layer,305,All people,8819
1,2001,E02005892,2001 super output areas - middle layer,305,People with limiting long-term illness,1730
2,2001,E02005892,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,725
3,2001,E02005892,2001 super output areas - middle layer,305,People whose health was good,6041
4,2001,E02005892,2001 super output areas - middle layer,305,People whose health was fairly good,2019
5,2001,E02005892,2001 super output areas - middle layer,305,People whose health was not good,759
6,2001,E02005892,2001 super output areas - middle layer,305,All people who provide unpaid care,1222
7,2001,E02005892,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,926
8,2001,E02005892,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,98
9,2001,E02005892,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,198
10,2001,E02005893,2001 super output areas - middle layer,305,All people,10098
11,2001,E02005893,2001 super output areas - middle layer,305,People with limiting long-term illness,2452
12,2001,E02005893,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,1211
13,2001,E02005893,2001 super output areas - middle layer,305,People whose health was good,6227
14,2001,E02005893,2001 super output areas - middle layer,305,People whose health was fairly good,2646
15,2001,E02005893,2001 super output areas - middle layer,305,People whose health was not good,1225
16,2001,E02005893,2001 super output areas - middle layer,305,All people who provide unpaid care,1146
17,2001,E02005893,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,645
18,2001,E02005893,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,165
19,2001,E02005893,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,336
20,2001,E02005894,2001 super output areas - middle layer,305,All people,8428
21,2001,E02005894,2001 super output areas - middle layer,305,People with limiting long-term illness,2016
22,2001,E02005894,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,929
23,2001,E02005894,2001 super output areas - middle layer,305,People whose health was good,5364
24,2001,E02005894,2001 super output areas - middle layer,305,People whose health was fairly good,2037
25,2001,E02005894,2001 super output areas - middle layer,305,People whose health was not good,1027
26,2001,E02005894,2001 super output areas - middle layer,305,All people who provide unpaid care,1062
27,2001,E02005894,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,642
28,2001,E02005894,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,141
29,2001,E02005894,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,279
30,2001,E02005895,2001 super output areas - middle layer,305,All people,7667
31,2001,E02005895,2001 super output areas - middle layer,305,People with limiting long-term illness,1339
32,2001,E02005895,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,627
33,2001,E02005895,2001 super output areas - middle layer,305,People whose health was good,5362
34,2001,E02005895,2001 super output areas - middle layer,305,People whose health was fairly good,1706
35,2001,E02005895,2001 super output areas - middle layer,305,People whose health was not good,599
36,2001,E02005895,2001 super output areas - middle layer,305,All people who provide unpaid care,884
37,2001,E02005895,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,640
38,2001,E02005895,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,95
39,2001,E02005895,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,149
40,2001,E02005896,2001 super output areas - middle layer,305,All people,6522
41,2001,E02005896,2001 super output areas - middle layer,305,People with limiting long-term illness,1249
42,2001,E02005896,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,466
43,2001,E02005896,2001 super output areas - middle layer,305,People whose health was good,4424
44,2001,E02005896,2001 super output areas - middle layer,305,People whose health was fairly good,1520
45,2001,E02005896,2001 super output areas - middle layer,305,People whose health was not good,578
46,2001,E02005896,2001 super output areas - middle layer,305,All people who provide unpaid care,814
47,2001,E02005896,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,617
48,2001,E02005896,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,66
