,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2001,W02000055,2001 super output areas - middle layer,305,Economically Inactive,1212
1,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Retired,625
2,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Student (including full-time students),160
3,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Looking after home or family,164
4,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Long-term sick or disabled,172
5,2001,W02000055,2001 super output areas - middle layer,305,Economically inactive: Other,91
6,2001,W02000055,2001 super output areas - middle layer,305,Unemployed: Age 16 to 24,23
7,2001,W02000055,2001 super output areas - middle layer,305,Unemployed: Age 50 to 74,16
8,2001,W02000055,2001 super output areas - middle layer,305,Unemployed: Never worked,4
9,2001,W02000055,2001 super output areas - middle layer,305,Long-term unemployed,33
10,2001,W02000056,2001 super output areas - middle layer,305,All usual residents aged 16 to 74,3826
11,2001,W02000056,2001 super output areas - middle layer,305,Economically active,2637
12,2001,W02000056,2001 super output areas - middle layer,305,Economically active: In employment,2460
13,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Employee: Part-time,417
14,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Employee: Full-time,1367
15,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Self-employed,676
16,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Unemployed,109
17,2001,W02000056,2001 super output areas - middle layer,305,Economically active: Full-time student,68
18,2001,W02000056,2001 super output areas - middle layer,305,Economically Inactive,1189
19,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Retired,525
20,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Student (including full-time students),158
21,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Looking after home or family,224
22,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Long-term sick or disabled,186
23,2001,W02000056,2001 super output areas - middle layer,305,Economically inactive: Other,96
24,2001,W02000056,2001 super output areas - middle layer,305,Unemployed: Age 16 to 24,23
25,2001,W02000056,2001 super output areas - middle layer,305,Unemployed: Age 50 to 74,30
26,2001,W02000056,2001 super output areas - middle layer,305,Unemployed: Never worked,5
27,2001,W02000056,2001 super output areas - middle layer,305,Long-term unemployed,29
28,2001,W02000057,2001 super output areas - middle layer,305,All usual residents aged 16 to 74,4338
29,2001,W02000057,2001 super output areas - middle layer,305,Economically active,2834
30,2001,W02000057,2001 super output areas - middle layer,305,Economically active: In employment,2614
31,2001,W02000057,2001 super output areas - middle layer,305,Economically active: Employee: Part-time,534
32,2001,W02000057,2001 super output areas - middle layer,305,Economically active: Employee: Full-time,1484
33,2001,W02000057,2001 super output areas - middle layer,305,Economically active: Self-employed,596
34,2001,W02000057,2001 super output areas - middle layer,305,Economically active: Unemployed,144
35,2001,W02000057,2001 super output areas - middle layer,305,Economically active: Full-time student,76
36,2001,W02000057,2001 super output areas - middle layer,305,Economically Inactive,1504
37,2001,W02000057,2001 super output areas - middle layer,305,Economically inactive: Retired,699
38,2001,W02000057,2001 super output areas - middle layer,305,Economically inactive: Student (including full-time students),164
39,2001,W02000057,2001 super output areas - middle layer,305,Economically inactive: Looking after home or family,251
40,2001,W02000057,2001 super output areas - middle layer,305,Economically inactive: Long-term sick or disabled,268
41,2001,W02000057,2001 super output areas - middle layer,305,Economically inactive: Other,122
42,2001,W02000057,2001 super output areas - middle layer,305,Unemployed: Age 16 to 24,42
43,2001,W02000057,2001 super output areas - middle layer,305,Unemployed: Age 50 to 74,36
44,2001,W02000057,2001 super output areas - middle layer,305,Unemployed: Never worked,9
45,2001,W02000057,2001 super output areas - middle layer,305,Long-term unemployed,36
46,2001,W02000058,2001 super output areas - middle layer,305,All usual residents aged 16 to 74,4205
47,2001,W02000058,2001 super output areas - middle layer,305,Economically active,2521
48,2001,W02000058,2001 super output areas - middle layer,305,Economically active: In employment,2311
49,2001,W02000058,2001 super output areas - middle layer,305,Economically active: Employee: Part-time,480
50,2001,W02000058,2001 super output areas - middle layer,305,Economically active: Employee: Full-time,1433
51,2001,W02000058,2001 super output areas - middle layer,305,Economically active: Self-employed,398
52,2001,W02000058,2001 super output areas - middle layer,305,Economically active: Unemployed,131
53,2001,W02000058,2001 super output areas - middle layer,305,Economically active: Full-time student,79
54,2001,W02000058,2001 super output areas - middle layer,305,Economically Inactive,1684
55,2001,W02000058,2001 super output areas - middle layer,305,Economically inactive: Retired,695
56,2001,W02000058,2001 super output areas - middle layer,305,Economically inactive: Student (including full-time students),120
57,2001,W02000058,2001 super output areas - middle layer,305,Economically inactive: Looking after home or family,294
58,2001,W02000058,2001 super output areas - middle layer,305,Economically inactive: Long-term sick or disabled,449
59,2001,W02000058,2001 super output areas - middle layer,305,Economically inactive: Other,126
60,2001,W02000058,2001 super output areas - middle layer,305,Unemployed: Age 16 to 24,33
61,2001,W02000058,2001 super output areas - middle layer,305,Unemployed: Age 50 to 74,27
62,2001,W02000058,2001 super output areas - middle layer,305,Unemployed: Never worked,11
63,2001,W02000058,2001 super output areas - middle layer,305,Long-term unemployed,42
64,2001,W02000059,2001 super output areas - middle layer,305,All usual residents aged 16 to 74,4808
65,2001,W02000059,2001 super output areas - middle layer,305,Economically active,3022
66,2001,W02000059,2001 super output areas - middle layer,305,Economically active: In employment,2794
67,2001,W02000059,2001 super output areas - middle layer,305,Economically active: Employee: Part-time,545
68,2001,W02000059,2001 super output areas - middle layer,305,Economically active: Employee: Full-time,1873
