,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_NSSEC_NAME,OBS_VALUE
0,2001,E02005551,2001 super output areas - middle layer,305,Higher professional occupations,78
1,2001,E02005551,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",530
2,2001,E02005551,2001 super output areas - middle layer,305,Intermediate occupations,197
3,2001,E02005551,2001 super output areas - middle layer,305,Small employers and own account workers,405
4,2001,E02005551,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,222
5,2001,E02005551,2001 super output areas - middle layer,305,Semi-routine occupations,461
6,2001,E02005551,2001 super output areas - middle layer,305,Routine occupations,303
7,2001,E02005551,2001 super output areas - middle layer,305,Never worked,110
8,2001,E02005551,2001 super output areas - middle layer,305,Long-term unemployed,34
9,2001,E02005551,2001 super output areas - middle layer,305,Full-time students,129
10,2001,E02005551,2001 super output areas - middle layer,305,Not classifiable for other reasons,1254
11,2001,E02005552,2001 super output areas - middle layer,305,All categories: NS-SeC,5630
12,2001,E02005552,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,104
13,2001,E02005552,2001 super output areas - middle layer,305,Higher professional occupations,184
14,2001,E02005552,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",795
15,2001,E02005552,2001 super output areas - middle layer,305,Intermediate occupations,299
16,2001,E02005552,2001 super output areas - middle layer,305,Small employers and own account workers,725
17,2001,E02005552,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,383
18,2001,E02005552,2001 super output areas - middle layer,305,Semi-routine occupations,696
19,2001,E02005552,2001 super output areas - middle layer,305,Routine occupations,589
20,2001,E02005552,2001 super output areas - middle layer,305,Never worked,106
21,2001,E02005552,2001 super output areas - middle layer,305,Long-term unemployed,40
22,2001,E02005552,2001 super output areas - middle layer,305,Full-time students,281
23,2001,E02005552,2001 super output areas - middle layer,305,Not classifiable for other reasons,1428
24,2001,E02005553,2001 super output areas - middle layer,305,All categories: NS-SeC,6010
25,2001,E02005553,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,110
26,2001,E02005553,2001 super output areas - middle layer,305,Higher professional occupations,123
27,2001,E02005553,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",832
28,2001,E02005553,2001 super output areas - middle layer,305,Intermediate occupations,395
29,2001,E02005553,2001 super output areas - middle layer,305,Small employers and own account workers,612
30,2001,E02005553,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,446
31,2001,E02005553,2001 super output areas - middle layer,305,Semi-routine occupations,865
32,2001,E02005553,2001 super output areas - middle layer,305,Routine occupations,556
33,2001,E02005553,2001 super output areas - middle layer,305,Never worked,65
34,2001,E02005553,2001 super output areas - middle layer,305,Long-term unemployed,30
35,2001,E02005553,2001 super output areas - middle layer,305,Full-time students,200
36,2001,E02005553,2001 super output areas - middle layer,305,Not classifiable for other reasons,1776
37,2001,E02005554,2001 super output areas - middle layer,305,All categories: NS-SeC,4812
38,2001,E02005554,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,108
39,2001,E02005554,2001 super output areas - middle layer,305,Higher professional occupations,129
40,2001,E02005554,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",808
41,2001,E02005554,2001 super output areas - middle layer,305,Intermediate occupations,378
42,2001,E02005554,2001 super output areas - middle layer,305,Small employers and own account workers,464
43,2001,E02005554,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,352
44,2001,E02005554,2001 super output areas - middle layer,305,Semi-routine occupations,664
45,2001,E02005554,2001 super output areas - middle layer,305,Routine occupations,392
46,2001,E02005554,2001 super output areas - middle layer,305,Never worked,44
47,2001,E02005554,2001 super output areas - middle layer,305,Long-term unemployed,31
48,2001,E02005554,2001 super output areas - middle layer,305,Full-time students,169
49,2001,E02005554,2001 super output areas - middle layer,305,Not classifiable for other reasons,1273
50,2001,E02005555,2001 super output areas - middle layer,305,All categories: NS-SeC,4594
51,2001,E02005555,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,179
52,2001,E02005555,2001 super output areas - middle layer,305,Higher professional occupations,227
53,2001,E02005555,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",1053
54,2001,E02005555,2001 super output areas - middle layer,305,Intermediate occupations,474
55,2001,E02005555,2001 super output areas - middle layer,305,Small employers and own account workers,336
56,2001,E02005555,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,338
57,2001,E02005555,2001 super output areas - middle layer,305,Semi-routine occupations,584
58,2001,E02005555,2001 super output areas - middle layer,305,Routine occupations,246
59,2001,E02005555,2001 super output areas - middle layer,305,Never worked,30
60,2001,E02005555,2001 super output areas - middle layer,305,Long-term unemployed,17
61,2001,E02005555,2001 super output areas - middle layer,305,Full-time students,233
62,2001,E02005555,2001 super output areas - middle layer,305,Not classifiable for other reasons,877
63,2001,E02005556,2001 super output areas - middle layer,305,All categories: NS-SeC,5463
64,2001,E02005556,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,117
65,2001,E02005556,2001 super output areas - middle layer,305,Higher professional occupations,138
66,2001,E02005556,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",990
67,2001,E02005556,2001 super output areas - middle layer,305,Intermediate occupations,543
68,2001,E02005556,2001 super output areas - middle layer,305,Small employers and own account workers,286
69,2001,E02005556,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,560
70,2001,E02005556,2001 super output areas - middle layer,305,Semi-routine occupations,939
71,2001,E02005556,2001 super output areas - middle layer,305,Routine occupations,683
72,2001,E02005556,2001 super output areas - middle layer,305,Never worked,53
73,2001,E02005556,2001 super output areas - middle layer,305,Long-term unemployed,26
74,2001,E02005556,2001 super output areas - middle layer,305,Full-time students,269
75,2001,E02005556,2001 super output areas - middle layer,305,Not classifiable for other reasons,859
76,2001,E02005557,2001 super output areas - middle layer,305,All categories: NS-SeC,3694
77,2001,E02005557,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,31
78,2001,E02005557,2001 super output areas - middle layer,305,Higher professional occupations,35
79,2001,E02005557,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",311
80,2001,E02005557,2001 super output areas - middle layer,305,Intermediate occupations,169
81,2001,E02005557,2001 super output areas - middle layer,305,Small employers and own account workers,185
82,2001,E02005557,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,327
83,2001,E02005557,2001 super output areas - middle layer,305,Semi-routine occupations,728
84,2001,E02005557,2001 super output areas - middle layer,305,Routine occupations,694
85,2001,E02005557,2001 super output areas - middle layer,305,Never worked,156
86,2001,E02005557,2001 super output areas - middle layer,305,Long-term unemployed,63
87,2001,E02005557,2001 super output areas - middle layer,305,Full-time students,172
88,2001,E02005557,2001 super output areas - middle layer,305,Not classifiable for other reasons,823
89,2001,E02005558,2001 super output areas - middle layer,305,All categories: NS-SeC,4905
90,2001,E02005558,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,84
91,2001,E02005558,2001 super output areas - middle layer,305,Higher professional occupations,109
92,2001,E02005558,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",753
93,2001,E02005558,2001 super output areas - middle layer,305,Intermediate occupations,389
94,2001,E02005558,2001 super output areas - middle layer,305,Small employers and own account workers,485
95,2001,E02005558,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,489
96,2001,E02005558,2001 super output areas - middle layer,305,Semi-routine occupations,735
97,2001,E02005558,2001 super output areas - middle layer,305,Routine occupations,582
98,2001,E02005558,2001 super output areas - middle layer,305,Never worked,80
99,2001,E02005558,2001 super output areas - middle layer,305,Long-term unemployed,28
100,2001,E02005558,2001 super output areas - middle layer,305,Full-time students,185
101,2001,E02005558,2001 super output areas - middle layer,305,Not classifiable for other reasons,986
102,2001,E02005559,2001 super output areas - middle layer,305,All categories: NS-SeC,4556
103,2001,E02005559,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,69
104,2001,E02005559,2001 super output areas - middle layer,305,Higher professional occupations,102
105,2001,E02005559,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",675
106,2001,E02005559,2001 super output areas - middle layer,305,Intermediate occupations,326
107,2001,E02005559,2001 super output areas - middle layer,305,Small employers and own account workers,282
108,2001,E02005559,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,421
109,2001,E02005559,2001 super output areas - middle layer,305,Semi-routine occupations,773
110,2001,E02005559,2001 super output areas - middle layer,305,Routine occupations,585
111,2001,E02005559,2001 super output areas - middle layer,305,Never worked,106
112,2001,E02005559,2001 super output areas - middle layer,305,Long-term unemployed,53
113,2001,E02005559,2001 super output areas - middle layer,305,Full-time students,250
114,2001,E02005559,2001 super output areas - middle layer,305,Not classifiable for other reasons,914
115,2001,E02005560,2001 super output areas - middle layer,305,All categories: NS-SeC,5127
116,2001,E02005560,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,88
117,2001,E02005560,2001 super output areas - middle layer,305,Higher professional occupations,185
118,2001,E02005560,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",898
119,2001,E02005560,2001 super output areas - middle layer,305,Intermediate occupations,429
120,2001,E02005560,2001 super output areas - middle layer,305,Small employers and own account workers,234
121,2001,E02005560,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,478
122,2001,E02005560,2001 super output areas - middle layer,305,Semi-routine occupations,876
123,2001,E02005560,2001 super output areas - middle layer,305,Routine occupations,698
124,2001,E02005560,2001 super output areas - middle layer,305,Never worked,132
125,2001,E02005560,2001 super output areas - middle layer,305,Long-term unemployed,54
126,2001,E02005560,2001 super output areas - middle layer,305,Full-time students,274
127,2001,E02005560,2001 super output areas - middle layer,305,Not classifiable for other reasons,781
128,2001,E02005561,2001 super output areas - middle layer,305,All categories: NS-SeC,5753
129,2001,E02005561,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,86
130,2001,E02005561,2001 super output areas - middle layer,305,Higher professional occupations,139
131,2001,E02005561,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",785
132,2001,E02005561,2001 super output areas - middle layer,305,Intermediate occupations,360
133,2001,E02005561,2001 super output areas - middle layer,305,Small employers and own account workers,381
134,2001,E02005561,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,508
135,2001,E02005561,2001 super output areas - middle layer,305,Semi-routine occupations,960
136,2001,E02005561,2001 super output areas - middle layer,305,Routine occupations,892
137,2001,E02005561,2001 super output areas - middle layer,305,Never worked,197
138,2001,E02005561,2001 super output areas - middle layer,305,Long-term unemployed,66
139,2001,E02005561,2001 super output areas - middle layer,305,Full-time students,184
140,2001,E02005561,2001 super output areas - middle layer,305,Not classifiable for other reasons,1195
141,2001,E02005562,2001 super output areas - middle layer,305,All categories: NS-SeC,4993
142,2001,E02005562,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,137
143,2001,E02005562,2001 super output areas - middle layer,305,Higher professional occupations,206
144,2001,E02005562,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",835
145,2001,E02005562,2001 super output areas - middle layer,305,Intermediate occupations,355
146,2001,E02005562,2001 super output areas - middle layer,305,Small employers and own account workers,544
147,2001,E02005562,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,401
148,2001,E02005562,2001 super output areas - middle layer,305,Semi-routine occupations,686
149,2001,E02005562,2001 super output areas - middle layer,305,Routine occupations,477
150,2001,E02005562,2001 super output areas - middle layer,305,Never worked,85
151,2001,E02005562,2001 super output areas - middle layer,305,Long-term unemployed,29
152,2001,E02005562,2001 super output areas - middle layer,305,Full-time students,194
153,2001,E02005562,2001 super output areas - middle layer,305,Not classifiable for other reasons,1044
154,2001,E02005563,2001 super output areas - middle layer,305,All categories: NS-SeC,5165
155,2001,E02005563,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,111
156,2001,E02005563,2001 super output areas - middle layer,305,Higher professional occupations,94
157,2001,E02005563,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",753
158,2001,E02005563,2001 super output areas - middle layer,305,Intermediate occupations,373
159,2001,E02005563,2001 super output areas - middle layer,305,Small employers and own account workers,630
160,2001,E02005563,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,450
161,2001,E02005563,2001 super output areas - middle layer,305,Semi-routine occupations,664
162,2001,E02005563,2001 super output areas - middle layer,305,Routine occupations,620
163,2001,E02005563,2001 super output areas - middle layer,305,Never worked,114
164,2001,E02005563,2001 super output areas - middle layer,305,Long-term unemployed,37
165,2001,E02005563,2001 super output areas - middle layer,305,Full-time students,215
166,2001,E02005563,2001 super output areas - middle layer,305,Not classifiable for other reasons,1104
167,2001,E02005564,2001 super output areas - middle layer,305,All categories: NS-SeC,7069
168,2001,E02005564,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,337
169,2001,E02005564,2001 super output areas - middle layer,305,Higher professional occupations,244
170,2001,E02005564,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",1524
171,2001,E02005564,2001 super output areas - middle layer,305,Intermediate occupations,798
172,2001,E02005564,2001 super output areas - middle layer,305,Small employers and own account workers,496
173,2001,E02005564,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,669
174,2001,E02005564,2001 super output areas - middle layer,305,Semi-routine occupations,775
175,2001,E02005564,2001 super output areas - middle layer,305,Routine occupations,589
176,2001,E02005564,2001 super output areas - middle layer,305,Never worked,50
177,2001,E02005564,2001 super output areas - middle layer,305,Long-term unemployed,40
178,2001,E02005564,2001 super output areas - middle layer,305,Full-time students,242
179,2001,E02005564,2001 super output areas - middle layer,305,Not classifiable for other reasons,1305
180,2001,E02005565,2001 super output areas - middle layer,305,All categories: NS-SeC,4583
181,2001,E02005565,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,93
182,2001,E02005565,2001 super output areas - middle layer,305,Higher professional occupations,137
183,2001,E02005565,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",728
184,2001,E02005565,2001 super output areas - middle layer,305,Intermediate occupations,356
185,2001,E02005565,2001 super output areas - middle layer,305,Small employers and own account workers,465
186,2001,E02005565,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,422
187,2001,E02005565,2001 super output areas - middle layer,305,Semi-routine occupations,702
188,2001,E02005565,2001 super output areas - middle layer,305,Routine occupations,524
189,2001,E02005565,2001 super output areas - middle layer,305,Never worked,95
190,2001,E02005565,2001 super output areas - middle layer,305,Long-term unemployed,36
191,2001,E02005565,2001 super output areas - middle layer,305,Full-time students,155
192,2001,E02005565,2001 super output areas - middle layer,305,Not classifiable for other reasons,870
193,2001,E02005566,2001 super output areas - middle layer,305,All categories: NS-SeC,6274
194,2001,E02005566,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,144
195,2001,E02005566,2001 super output areas - middle layer,305,Higher professional occupations,135
196,2001,E02005566,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",830
197,2001,E02005566,2001 super output areas - middle layer,305,Intermediate occupations,377
198,2001,E02005566,2001 super output areas - middle layer,305,Small employers and own account workers,860
199,2001,E02005566,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,492
200,2001,E02005566,2001 super output areas - middle layer,305,Semi-routine occupations,824
201,2001,E02005566,2001 super output areas - middle layer,305,Routine occupations,768
202,2001,E02005566,2001 super output areas - middle layer,305,Never worked,105
203,2001,E02005566,2001 super output areas - middle layer,305,Long-term unemployed,45
204,2001,E02005566,2001 super output areas - middle layer,305,Full-time students,265
205,2001,E02005566,2001 super output areas - middle layer,305,Not classifiable for other reasons,1429
206,2001,E02005567,2001 super output areas - middle layer,305,All categories: NS-SeC,4640
207,2001,E02005567,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,80
208,2001,E02005567,2001 super output areas - middle layer,305,Higher professional occupations,100
209,2001,E02005567,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",609
210,2001,E02005567,2001 super output areas - middle layer,305,Intermediate occupations,320
211,2001,E02005567,2001 super output areas - middle layer,305,Small employers and own account workers,303
212,2001,E02005567,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,331
213,2001,E02005567,2001 super output areas - middle layer,305,Semi-routine occupations,636
214,2001,E02005567,2001 super output areas - middle layer,305,Routine occupations,462
215,2001,E02005567,2001 super output areas - middle layer,305,Never worked,43
216,2001,E02005567,2001 super output areas - middle layer,305,Long-term unemployed,33
217,2001,E02005567,2001 super output areas - middle layer,305,Full-time students,167
218,2001,E02005567,2001 super output areas - middle layer,305,Not classifiable for other reasons,1556
219,2001,E02005568,2001 super output areas - middle layer,305,All categories: NS-SeC,4872
220,2001,E02005568,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,119
221,2001,E02005568,2001 super output areas - middle layer,305,Higher professional occupations,179
222,2001,E02005568,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",791
223,2001,E02005568,2001 super output areas - middle layer,305,Intermediate occupations,321
224,2001,E02005568,2001 super output areas - middle layer,305,Small employers and own account workers,609
225,2001,E02005568,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,391
226,2001,E02005568,2001 super output areas - middle layer,305,Semi-routine occupations,606
227,2001,E02005568,2001 super output areas - middle layer,305,Routine occupations,532
228,2001,E02005568,2001 super output areas - middle layer,305,Never worked,66
229,2001,E02005568,2001 super output areas - middle layer,305,Long-term unemployed,25
230,2001,E02005568,2001 super output areas - middle layer,305,Full-time students,152
231,2001,E02005568,2001 super output areas - middle layer,305,Not classifiable for other reasons,1081
232,2001,E02005569,2001 super output areas - middle layer,305,All categories: NS-SeC,5457
233,2001,E02005569,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,210
234,2001,E02005569,2001 super output areas - middle layer,305,Higher professional occupations,146
235,2001,E02005569,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",894
236,2001,E02005569,2001 super output areas - middle layer,305,Intermediate occupations,428
237,2001,E02005569,2001 super output areas - middle layer,305,Small employers and own account workers,533
238,2001,E02005569,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,525
239,2001,E02005569,2001 super output areas - middle layer,305,Semi-routine occupations,769
240,2001,E02005569,2001 super output areas - middle layer,305,Routine occupations,633
241,2001,E02005569,2001 super output areas - middle layer,305,Never worked,66
242,2001,E02005569,2001 super output areas - middle layer,305,Long-term unemployed,32
243,2001,E02005569,2001 super output areas - middle layer,305,Full-time students,214
244,2001,E02005569,2001 super output areas - middle layer,305,Not classifiable for other reasons,1007
245,2001,E02005570,2001 super output areas - middle layer,305,All categories: NS-SeC,4889
246,2001,E02005570,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,83
247,2001,E02005570,2001 super output areas - middle layer,305,Higher professional occupations,142
248,2001,E02005570,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",730
249,2001,E02005570,2001 super output areas - middle layer,305,Intermediate occupations,291
250,2001,E02005570,2001 super output areas - middle layer,305,Small employers and own account workers,563
251,2001,E02005570,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,316
252,2001,E02005570,2001 super output areas - middle layer,305,Semi-routine occupations,613
253,2001,E02005570,2001 super output areas - middle layer,305,Routine occupations,369
254,2001,E02005570,2001 super output areas - middle layer,305,Never worked,66
255,2001,E02005570,2001 super output areas - middle layer,305,Long-term unemployed,44
256,2001,E02005570,2001 super output areas - middle layer,305,Full-time students,200
257,2001,E02005570,2001 super output areas - middle layer,305,Not classifiable for other reasons,1472
258,2001,E02005571,2001 super output areas - middle layer,305,All categories: NS-SeC,4555
259,2001,E02005571,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,90
260,2001,E02005571,2001 super output areas - middle layer,305,Higher professional occupations,156
261,2001,E02005571,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",673
262,2001,E02005571,2001 super output areas - middle layer,305,Intermediate occupations,222
263,2001,E02005571,2001 super output areas - middle layer,305,Small employers and own account workers,671
264,2001,E02005571,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,265
265,2001,E02005571,2001 super output areas - middle layer,305,Semi-routine occupations,597
266,2001,E02005571,2001 super output areas - middle layer,305,Routine occupations,441
267,2001,E02005571,2001 super output areas - middle layer,305,Never worked,70
268,2001,E02005571,2001 super output areas - middle layer,305,Long-term unemployed,28
269,2001,E02005571,2001 super output areas - middle layer,305,Full-time students,134
270,2001,E02005571,2001 super output areas - middle layer,305,Not classifiable for other reasons,1208
271,2001,E02005572,2001 super output areas - middle layer,305,All categories: NS-SeC,5398
272,2001,E02005572,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,66
273,2001,E02005572,2001 super output areas - middle layer,305,Higher professional occupations,109
274,2001,E02005572,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",769
275,2001,E02005572,2001 super output areas - middle layer,305,Intermediate occupations,366
276,2001,E02005572,2001 super output areas - middle layer,305,Small employers and own account workers,524
277,2001,E02005572,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,373
278,2001,E02005572,2001 super output areas - middle layer,305,Semi-routine occupations,800
279,2001,E02005572,2001 super output areas - middle layer,305,Routine occupations,587
280,2001,E02005572,2001 super output areas - middle layer,305,Never worked,157
281,2001,E02005572,2001 super output areas - middle layer,305,Long-term unemployed,57
282,2001,E02005572,2001 super output areas - middle layer,305,Full-time students,160
283,2001,E02005572,2001 super output areas - middle layer,305,Not classifiable for other reasons,1430
284,2001,E02005573,2001 super output areas - middle layer,305,All categories: NS-SeC,3598
285,2001,E02005573,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,58
286,2001,E02005573,2001 super output areas - middle layer,305,Higher professional occupations,91
287,2001,E02005573,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",502
288,2001,E02005573,2001 super output areas - middle layer,305,Intermediate occupations,185
289,2001,E02005573,2001 super output areas - middle layer,305,Small employers and own account workers,357
290,2001,E02005573,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,187
291,2001,E02005573,2001 super output areas - middle layer,305,Semi-routine occupations,403
292,2001,E02005573,2001 super output areas - middle layer,305,Routine occupations,274
293,2001,E02005573,2001 super output areas - middle layer,305,Never worked,52
294,2001,E02005573,2001 super output areas - middle layer,305,Long-term unemployed,21
295,2001,E02005573,2001 super output areas - middle layer,305,Full-time students,222
296,2001,E02005573,2001 super output areas - middle layer,305,Not classifiable for other reasons,1246
297,2001,E02005574,2001 super output areas - middle layer,305,All categories: NS-SeC,4616
298,2001,E02005574,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,100
299,2001,E02005574,2001 super output areas - middle layer,305,Higher professional occupations,133
300,2001,E02005574,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",746
301,2001,E02005574,2001 super output areas - middle layer,305,Intermediate occupations,325
302,2001,E02005574,2001 super output areas - middle layer,305,Small employers and own account workers,607
303,2001,E02005574,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,315
304,2001,E02005574,2001 super output areas - middle layer,305,Semi-routine occupations,563
305,2001,E02005574,2001 super output areas - middle layer,305,Routine occupations,388
306,2001,E02005574,2001 super output areas - middle layer,305,Never worked,87
307,2001,E02005574,2001 super output areas - middle layer,305,Long-term unemployed,23
308,2001,E02005574,2001 super output areas - middle layer,305,Full-time students,160
309,2001,E02005574,2001 super output areas - middle layer,305,Not classifiable for other reasons,1169
310,2001,E02005575,2001 super output areas - middle layer,305,All categories: NS-SeC,4855
311,2001,E02005575,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,111
312,2001,E02005575,2001 super output areas - middle layer,305,Higher professional occupations,192
313,2001,E02005575,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",828
314,2001,E02005575,2001 super output areas - middle layer,305,Intermediate occupations,296
315,2001,E02005575,2001 super output areas - middle layer,305,Small employers and own account workers,671
316,2001,E02005575,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,269
317,2001,E02005575,2001 super output areas - middle layer,305,Semi-routine occupations,547
318,2001,E02005575,2001 super output areas - middle layer,305,Routine occupations,389
319,2001,E02005575,2001 super output areas - middle layer,305,Never worked,63
320,2001,E02005575,2001 super output areas - middle layer,305,Long-term unemployed,40
321,2001,E02005575,2001 super output areas - middle layer,305,Full-time students,161
322,2001,E02005575,2001 super output areas - middle layer,305,Not classifiable for other reasons,1288
323,2001,E02005576,2001 super output areas - middle layer,305,All categories: NS-SeC,4476
324,2001,E02005576,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,97
325,2001,E02005576,2001 super output areas - middle layer,305,Higher professional occupations,98
326,2001,E02005576,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",656
327,2001,E02005576,2001 super output areas - middle layer,305,Intermediate occupations,276
328,2001,E02005576,2001 super output areas - middle layer,305,Small employers and own account workers,539
329,2001,E02005576,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,313
330,2001,E02005576,2001 super output areas - middle layer,305,Semi-routine occupations,564
331,2001,E02005576,2001 super output areas - middle layer,305,Routine occupations,366
332,2001,E02005576,2001 super output areas - middle layer,305,Never worked,93
333,2001,E02005576,2001 super output areas - middle layer,305,Long-term unemployed,35
334,2001,E02005576,2001 super output areas - middle layer,305,Full-time students,150
335,2001,E02005576,2001 super output areas - middle layer,305,Not classifiable for other reasons,1289
336,2001,E02005577,2001 super output areas - middle layer,305,All categories: NS-SeC,3907
337,2001,E02005577,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,86
338,2001,E02005577,2001 super output areas - middle layer,305,Higher professional occupations,139
339,2001,E02005577,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",660
340,2001,E02005577,2001 super output areas - middle layer,305,Intermediate occupations,237
341,2001,E02005577,2001 super output areas - middle layer,305,Small employers and own account workers,529
342,2001,E02005577,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,256
343,2001,E02005577,2001 super output areas - middle layer,305,Semi-routine occupations,536
344,2001,E02005577,2001 super output areas - middle layer,305,Routine occupations,392
345,2001,E02005577,2001 super output areas - middle layer,305,Never worked,54
346,2001,E02005577,2001 super output areas - middle layer,305,Long-term unemployed,19
347,2001,E02005577,2001 super output areas - middle layer,305,Full-time students,141
348,2001,E02005577,2001 super output areas - middle layer,305,Not classifiable for other reasons,858
349,2001,E02005578,2001 super output areas - middle layer,305,All categories: NS-SeC,4058
350,2001,E02005578,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,74
351,2001,E02005578,2001 super output areas - middle layer,305,Higher professional occupations,120
