,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_NSSEC_NAME,OBS_VALUE
0,2001,E02005942,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",482
1,2001,E02005942,2001 super output areas - middle layer,305,Intermediate occupations,142
2,2001,E02005942,2001 super output areas - middle layer,305,Small employers and own account workers,51
3,2001,E02005942,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,19
4,2001,E02005942,2001 super output areas - middle layer,305,Semi-routine occupations,70
5,2001,E02005942,2001 super output areas - middle layer,305,Routine occupations,45
6,2001,E02005942,2001 super output areas - middle layer,305,Never worked,36
7,2001,E02005942,2001 super output areas - middle layer,305,Long-term unemployed,13
8,2001,E02005942,2001 super output areas - middle layer,305,Full-time students,867
9,2001,E02005942,2001 super output areas - middle layer,305,Not classifiable for other reasons,239
10,2001,E02005943,2001 super output areas - middle layer,305,All categories: NS-SeC,2392
11,2001,E02005943,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,48
12,2001,E02005943,2001 super output areas - middle layer,305,Higher professional occupations,217
13,2001,E02005943,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",507
14,2001,E02005943,2001 super output areas - middle layer,305,Intermediate occupations,309
15,2001,E02005943,2001 super output areas - middle layer,305,Small employers and own account workers,60
16,2001,E02005943,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,71
17,2001,E02005943,2001 super output areas - middle layer,305,Semi-routine occupations,268
18,2001,E02005943,2001 super output areas - middle layer,305,Routine occupations,141
19,2001,E02005943,2001 super output areas - middle layer,305,Never worked,60
20,2001,E02005943,2001 super output areas - middle layer,305,Long-term unemployed,10
21,2001,E02005943,2001 super output areas - middle layer,305,Full-time students,282
22,2001,E02005943,2001 super output areas - middle layer,305,Not classifiable for other reasons,419
23,2001,E02005944,2001 super output areas - middle layer,305,All categories: NS-SeC,2078
24,2001,E02005944,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,32
25,2001,E02005944,2001 super output areas - middle layer,305,Higher professional occupations,78
26,2001,E02005944,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",357
27,2001,E02005944,2001 super output areas - middle layer,305,Intermediate occupations,256
28,2001,E02005944,2001 super output areas - middle layer,305,Small employers and own account workers,34
29,2001,E02005944,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,107
30,2001,E02005944,2001 super output areas - middle layer,305,Semi-routine occupations,346
31,2001,E02005944,2001 super output areas - middle layer,305,Routine occupations,224
32,2001,E02005944,2001 super output areas - middle layer,305,Never worked,80
33,2001,E02005944,2001 super output areas - middle layer,305,Long-term unemployed,17
34,2001,E02005944,2001 super output areas - middle layer,305,Full-time students,168
35,2001,E02005944,2001 super output areas - middle layer,305,Not classifiable for other reasons,379
36,2001,E02005945,2001 super output areas - middle layer,305,All categories: NS-SeC,3667
37,2001,E02005945,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,81
38,2001,E02005945,2001 super output areas - middle layer,305,Higher professional occupations,346
39,2001,E02005945,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",883
40,2001,E02005945,2001 super output areas - middle layer,305,Intermediate occupations,316
41,2001,E02005945,2001 super output areas - middle layer,305,Small employers and own account workers,110
42,2001,E02005945,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,64
43,2001,E02005945,2001 super output areas - middle layer,305,Semi-routine occupations,217
44,2001,E02005945,2001 super output areas - middle layer,305,Routine occupations,85
45,2001,E02005945,2001 super output areas - middle layer,305,Never worked,73
46,2001,E02005945,2001 super output areas - middle layer,305,Long-term unemployed,17
47,2001,E02005945,2001 super output areas - middle layer,305,Full-time students,1022
48,2001,E02005945,2001 super output areas - middle layer,305,Not classifiable for other reasons,453
49,2001,E02005946,2001 super output areas - middle layer,305,All categories: NS-SeC,2749
50,2001,E02005946,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,93
51,2001,E02005946,2001 super output areas - middle layer,305,Higher professional occupations,197
52,2001,E02005946,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",694
53,2001,E02005946,2001 super output areas - middle layer,305,Intermediate occupations,388
54,2001,E02005946,2001 super output areas - middle layer,305,Small employers and own account workers,80
55,2001,E02005946,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,95
56,2001,E02005946,2001 super output areas - middle layer,305,Semi-routine occupations,323
57,2001,E02005946,2001 super output areas - middle layer,305,Routine occupations,112
58,2001,E02005946,2001 super output areas - middle layer,305,Never worked,52
59,2001,E02005946,2001 super output areas - middle layer,305,Long-term unemployed,6
60,2001,E02005946,2001 super output areas - middle layer,305,Full-time students,308
61,2001,E02005946,2001 super output areas - middle layer,305,Not classifiable for other reasons,401
62,2001,E02005947,2001 super output areas - middle layer,305,All categories: NS-SeC,5352
63,2001,E02005947,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,32
64,2001,E02005947,2001 super output areas - middle layer,305,Higher professional occupations,343
65,2001,E02005947,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",533
66,2001,E02005947,2001 super output areas - middle layer,305,Intermediate occupations,124
67,2001,E02005947,2001 super output areas - middle layer,305,Small employers and own account workers,55
68,2001,E02005947,2001 super output areas - middle layer,305,Lower supervisory and technical occupations,53
69,2001,E02005947,2001 super output areas - middle layer,305,Semi-routine occupations,144
70,2001,E02005947,2001 super output areas - middle layer,305,Routine occupations,73
71,2001,E02005947,2001 super output areas - middle layer,305,Never worked,47
72,2001,E02005947,2001 super output areas - middle layer,305,Long-term unemployed,8
73,2001,E02005947,2001 super output areas - middle layer,305,Full-time students,3727
74,2001,E02005947,2001 super output areas - middle layer,305,Not classifiable for other reasons,213
75,2001,E02005948,2001 super output areas - middle layer,305,All categories: NS-SeC,2327
76,2001,E02005948,2001 super output areas - middle layer,305,Large employers and higher managerial and administrative occupations,82
77,2001,E02005948,2001 super output areas - middle layer,305,Higher professional occupations,298
78,2001,E02005948,2001 super output areas - middle layer,305,"Lower managerial, administrative and professional occupations",567
79,2001,E02005948,2001 super output areas - middle layer,305,Intermediate occupations,214
