,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
0,2001,E02003496,2001 super output areas - middle layer,305,All household spaces - with residents,3205
1,2001,E02003496,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,44
2,2001,E02003496,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,3
3,2001,E02003496,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,534
4,2001,E02003496,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1501
5,2001,E02003496,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,95
6,2001,E02003496,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",945
7,2001,E02003496,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",146
8,2001,E02003496,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",30
9,2001,E02003496,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
10,2001,E02003497,2001 super output areas - middle layer,305,All household spaces - with residents,2721
11,2001,E02003497,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,44
12,2001,E02003497,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,10
13,2001,E02003497,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,1303
14,2001,E02003497,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,966
15,2001,E02003497,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,80
16,2001,E02003497,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",374
17,2001,E02003497,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",34
18,2001,E02003497,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",18
19,2001,E02003497,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
20,2001,E02003498,2001 super output areas - middle layer,305,All household spaces - with residents,3298
21,2001,E02003498,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,48
22,2001,E02003498,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,3
