,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHCHUK11_NAME,OBS_VALUE
0,2001,E02002661,2001 super output areas - middle layer,305,Other households - With dependent children,69
1,2001,E02002661,2001 super output areas - middle layer,305,Other households - All students,0
2,2001,E02002661,2001 super output areas - middle layer,305,Other households - All pensioner,12
3,2001,E02002661,2001 super output areas - middle layer,305,Other households - Other,72
4,2001,E02002662,2001 super output areas - middle layer,305,All households,3543
5,2001,E02002662,2001 super output areas - middle layer,305,One person household,1338
6,2001,E02002662,2001 super output areas - middle layer,305,One person household - Pensioner,927
7,2001,E02002662,2001 super output areas - middle layer,305,One person household - Other,411
8,2001,E02002662,2001 super output areas - middle layer,305,One family and no others,2069
9,2001,E02002662,2001 super output areas - middle layer,305,One family and no others - All pensioners,437
10,2001,E02002662,2001 super output areas - middle layer,305,One family and no others - married couple households - no children,365
11,2001,E02002662,2001 super output areas - middle layer,305,One family and no others - married couple households - with dependent children,392
12,2001,E02002662,2001 super output areas - middle layer,305,One family and no others - married couple households - all children non-dependent,232
13,2001,E02002662,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - no children,80
14,2001,E02002662,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - with dependent children,131
15,2001,E02002662,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - all children non-dependent,13
16,2001,E02002662,2001 super output areas - middle layer,305,One family and no others - Lone parent households - with dependent children,278
17,2001,E02002662,2001 super output areas - middle layer,305,One family and no others - Lone parent households - all children non-dependent,141
18,2001,E02002662,2001 super output areas - middle layer,305,Other households,136
19,2001,E02002662,2001 super output areas - middle layer,305,Other households - With dependent children,52
20,2001,E02002662,2001 super output areas - middle layer,305,Other households - All students,3
21,2001,E02002662,2001 super output areas - middle layer,305,Other households - All pensioner,23
22,2001,E02002662,2001 super output areas - middle layer,305,Other households - Other,58
23,2001,E02002663,2001 super output areas - middle layer,305,All households,2119
24,2001,E02002663,2001 super output areas - middle layer,305,One person household,570
25,2001,E02002663,2001 super output areas - middle layer,305,One person household - Pensioner,249
26,2001,E02002663,2001 super output areas - middle layer,305,One person household - Other,321
27,2001,E02002663,2001 super output areas - middle layer,305,One family and no others,1135
28,2001,E02002663,2001 super output areas - middle layer,305,One family and no others - All pensioners,139
29,2001,E02002663,2001 super output areas - middle layer,305,One family and no others - married couple households - no children,224
30,2001,E02002663,2001 super output areas - middle layer,305,One family and no others - married couple households - with dependent children,349
31,2001,E02002663,2001 super output areas - middle layer,305,One family and no others - married couple households - all children non-dependent,126
32,2001,E02002663,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - no children,88
33,2001,E02002663,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - with dependent children,72
34,2001,E02002663,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - all children non-dependent,6
35,2001,E02002663,2001 super output areas - middle layer,305,One family and no others - Lone parent households - with dependent children,80
36,2001,E02002663,2001 super output areas - middle layer,305,One family and no others - Lone parent households - all children non-dependent,51
37,2001,E02002663,2001 super output areas - middle layer,305,Other households,414
38,2001,E02002663,2001 super output areas - middle layer,305,Other households - With dependent children,38
39,2001,E02002663,2001 super output areas - middle layer,305,Other households - All students,287
40,2001,E02002663,2001 super output areas - middle layer,305,Other households - All pensioner,7
41,2001,E02002663,2001 super output areas - middle layer,305,Other households - Other,82
42,2001,E02002664,2001 super output areas - middle layer,305,All households,2809
43,2001,E02002664,2001 super output areas - middle layer,305,One person household,498
44,2001,E02002664,2001 super output areas - middle layer,305,One person household - Pensioner,259
45,2001,E02002664,2001 super output areas - middle layer,305,One person household - Other,239
46,2001,E02002664,2001 super output areas - middle layer,305,One family and no others,2221
47,2001,E02002664,2001 super output areas - middle layer,305,One family and no others - All pensioners,248
48,2001,E02002664,2001 super output areas - middle layer,305,One family and no others - married couple households - no children,481
49,2001,E02002664,2001 super output areas - middle layer,305,One family and no others - married couple households - with dependent children,756
50,2001,E02002664,2001 super output areas - middle layer,305,One family and no others - married couple households - all children non-dependent,289
51,2001,E02002664,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - no children,108
52,2001,E02002664,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - with dependent children,135
53,2001,E02002664,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - all children non-dependent,9
54,2001,E02002664,2001 super output areas - middle layer,305,One family and no others - Lone parent households - with dependent children,119
55,2001,E02002664,2001 super output areas - middle layer,305,One family and no others - Lone parent households - all children non-dependent,76
56,2001,E02002664,2001 super output areas - middle layer,305,Other households,90
57,2001,E02002664,2001 super output areas - middle layer,305,Other households - With dependent children,43
58,2001,E02002664,2001 super output areas - middle layer,305,Other households - All students,0
59,2001,E02002664,2001 super output areas - middle layer,305,Other households - All pensioner,5
60,2001,E02002664,2001 super output areas - middle layer,305,Other households - Other,42
61,2001,E02002665,2001 super output areas - middle layer,305,All households,3194
62,2001,E02002665,2001 super output areas - middle layer,305,One person household,747
63,2001,E02002665,2001 super output areas - middle layer,305,One person household - Pensioner,449
64,2001,E02002665,2001 super output areas - middle layer,305,One person household - Other,298
65,2001,E02002665,2001 super output areas - middle layer,305,One family and no others,2284
66,2001,E02002665,2001 super output areas - middle layer,305,One family and no others - All pensioners,305
67,2001,E02002665,2001 super output areas - middle layer,305,One family and no others - married couple households - no children,456
68,2001,E02002665,2001 super output areas - middle layer,305,One family and no others - married couple households - with dependent children,719
69,2001,E02002665,2001 super output areas - middle layer,305,One family and no others - married couple households - all children non-dependent,243
70,2001,E02002665,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - no children,145
71,2001,E02002665,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - with dependent children,121
72,2001,E02002665,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - all children non-dependent,10
73,2001,E02002665,2001 super output areas - middle layer,305,One family and no others - Lone parent households - with dependent children,187
74,2001,E02002665,2001 super output areas - middle layer,305,One family and no others - Lone parent households - all children non-dependent,98
75,2001,E02002665,2001 super output areas - middle layer,305,Other households,163
76,2001,E02002665,2001 super output areas - middle layer,305,Other households - With dependent children,64
77,2001,E02002665,2001 super output areas - middle layer,305,Other households - All students,15
78,2001,E02002665,2001 super output areas - middle layer,305,Other households - All pensioner,18
79,2001,E02002665,2001 super output areas - middle layer,305,Other households - Other,66
80,2001,E02002666,2001 super output areas - middle layer,305,All households,3138
81,2001,E02002666,2001 super output areas - middle layer,305,One person household,1275
82,2001,E02002666,2001 super output areas - middle layer,305,One person household - Pensioner,444
83,2001,E02002666,2001 super output areas - middle layer,305,One person household - Other,831
84,2001,E02002666,2001 super output areas - middle layer,305,One family and no others,1135
85,2001,E02002666,2001 super output areas - middle layer,305,One family and no others - All pensioners,137
86,2001,E02002666,2001 super output areas - middle layer,305,One family and no others - married couple households - no children,177
87,2001,E02002666,2001 super output areas - middle layer,305,One family and no others - married couple households - with dependent children,216
88,2001,E02002666,2001 super output areas - middle layer,305,One family and no others - married couple households - all children non-dependent,75
89,2001,E02002666,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - no children,168
90,2001,E02002666,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - with dependent children,90
91,2001,E02002666,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - all children non-dependent,7
92,2001,E02002666,2001 super output areas - middle layer,305,One family and no others - Lone parent households - with dependent children,204
93,2001,E02002666,2001 super output areas - middle layer,305,One family and no others - Lone parent households - all children non-dependent,61
94,2001,E02002666,2001 super output areas - middle layer,305,Other households,728
95,2001,E02002666,2001 super output areas - middle layer,305,Other households - With dependent children,65
96,2001,E02002666,2001 super output areas - middle layer,305,Other households - All students,457
97,2001,E02002666,2001 super output areas - middle layer,305,Other households - All pensioner,10
98,2001,E02002666,2001 super output areas - middle layer,305,Other households - Other,196
99,2001,E02002667,2001 super output areas - middle layer,305,All households,3200
100,2001,E02002667,2001 super output areas - middle layer,305,One person household,944
101,2001,E02002667,2001 super output areas - middle layer,305,One person household - Pensioner,370
102,2001,E02002667,2001 super output areas - middle layer,305,One person household - Other,574
103,2001,E02002667,2001 super output areas - middle layer,305,One family and no others,2108
104,2001,E02002667,2001 super output areas - middle layer,305,One family and no others - All pensioners,209
105,2001,E02002667,2001 super output areas - middle layer,305,One family and no others - married couple households - no children,405
106,2001,E02002667,2001 super output areas - middle layer,305,One family and no others - married couple households - with dependent children,584
107,2001,E02002667,2001 super output areas - middle layer,305,One family and no others - married couple households - all children non-dependent,186
108,2001,E02002667,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - no children,204
109,2001,E02002667,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - with dependent children,196
110,2001,E02002667,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - all children non-dependent,10
111,2001,E02002667,2001 super output areas - middle layer,305,One family and no others - Lone parent households - with dependent children,217
112,2001,E02002667,2001 super output areas - middle layer,305,One family and no others - Lone parent households - all children non-dependent,97
113,2001,E02002667,2001 super output areas - middle layer,305,Other households,148
114,2001,E02002667,2001 super output areas - middle layer,305,Other households - With dependent children,65
115,2001,E02002667,2001 super output areas - middle layer,305,Other households - All students,0
116,2001,E02002667,2001 super output areas - middle layer,305,Other households - All pensioner,10
117,2001,E02002667,2001 super output areas - middle layer,305,Other households - Other,73
118,2001,E02002668,2001 super output areas - middle layer,305,All households,4096
119,2001,E02002668,2001 super output areas - middle layer,305,One person household,1395
120,2001,E02002668,2001 super output areas - middle layer,305,One person household - Pensioner,821
121,2001,E02002668,2001 super output areas - middle layer,305,One person household - Other,574
122,2001,E02002668,2001 super output areas - middle layer,305,One family and no others,2504
123,2001,E02002668,2001 super output areas - middle layer,305,One family and no others - All pensioners,398
124,2001,E02002668,2001 super output areas - middle layer,305,One family and no others - married couple households - no children,331
125,2001,E02002668,2001 super output areas - middle layer,305,One family and no others - married couple households - with dependent children,413
126,2001,E02002668,2001 super output areas - middle layer,305,One family and no others - married couple households - all children non-dependent,164
127,2001,E02002668,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - no children,128
128,2001,E02002668,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - with dependent children,274
129,2001,E02002668,2001 super output areas - middle layer,305,One family and no others - cohabiting couple households - all children non-dependent,24
130,2001,E02002668,2001 super output areas - middle layer,305,One family and no others - Lone parent households - with dependent children,591
131,2001,E02002668,2001 super output areas - middle layer,305,One family and no others - Lone parent households - all children non-dependent,181
132,2001,E02002668,2001 super output areas - middle layer,305,Other households,197
133,2001,E02002668,2001 super output areas - middle layer,305,Other households - With dependent children,110
134,2001,E02002668,2001 super output areas - middle layer,305,Other households - All students,0
135,2001,E02002668,2001 super output areas - middle layer,305,Other households - All pensioner,22
