,id,mnemonic,description,geoglevel,source
0,NM_1602_1,ks002,"This dataset is about Age.  It shows all people in England and Wales. The age variable was created from responses to the 2001 Census question on date of birth, and is the age at a person's last birthday.","oa,msoa,ward,la,region",census_2001_ks
1,NM_1603_1,ks003,"This dataset is about Living Arrangements. It shows all people in England and Wales aged 16 and over in households, by their living arrangements. For example, whether they are living as part of a cohabiting couple, or are not living in a couple and are single or divorced.","oa,msoa,ward,la,region",census_2001_ks
2,NM_1604_1,ks004,"This dataset is about Marital Status. It shows all people in England and Wales aged 16 and over, by their legal marital status.","oa,msoa,ward,la,region",census_2001_ks
3,NM_1605_1,ks005,"This dataset is about Country of Birth. It shows whether people were born in England, Scotland, Wales, Northern Ireland, Republic of Ireland, Other EU Countries or Elsewhere.","oa,msoa,ward,la,region",census_2001_ks
4,NM_1606_1,ks006,"This dataset is about Ethnic Group. This variable was created from responses to the ethnic group question in the 2001 Census. The ethnic group question records each person's perceived ethnic group and cultural background. The tables covers all people, and shows the detailed 16-way classification of ethnic groups.","oa,msoa,ward,la,region",census_2001_ks
5,NM_1607_1,ks007,"This dataset is about Religion. It shows all people in England and Wales by religion stated. As the religion question was voluntary, missing responses were not imputed for this question. Those who did not answer this question are included under the 'Religion not stated' category of the variable.","oa,msoa,ward,la,region",census_2001_ks
6,NM_1608_1,ks008,"This dataset is about Health and Provision of Unpaid Care. It provides information for all people in England and Wales relating to limiting long-term illness, general health and any provision of unpaid care.","oa,msoa,ward,la,region",census_2001_ks
7,NM_1609_1,ks009a,This dataset is about Economic Activity. Information relates to whether or not a person was working or looking for work in the week before the Census. The concept of Economic Activity is compatible with the International Labour Organisation (ILO) definition of economic status. The population of the table is all people aged 16 to 74. There are separate tables available giving the same information split by gender.,"oa,msoa,ward,la,region",census_2001_ks
8,NM_1610_1,ks009b,This dataset is about Economic Activity. Information relates to whether or not a person was working or looking for work in the week before the Census. The concept of Economic Activity is compatible with the International Labour Organisation (ILO) definition of economic status. The population of the table is all males aged 16 to 74. There are separate tables available giving the same information for females and for all people.,"oa,msoa,ward,la,region",census_2001_ks
9,NM_1611_1,ks009c,This dataset is about Economic Activity. Information relates to whether or not a person was working or looking for work in the week before the Census. The concept of Economic Activity is compatible with the International Labour Organisation (ILO) definition of economic status. The population of the table is all females aged 16 to 74. There are separate tables available giving the same information for males and for all people.,"oa,msoa,ward,la,region",census_2001_ks
10,NM_1612_1,ks010,"This dataset is about Hours Worked. It covers all people in England and Wales aged 16 to 74 in employment, giving information split by males and females.","oa,msoa,ward,la,region",census_2001_ks
