,GEOGRAPHY_CODE,All categories: Usual residents by communal establishment management and type,All communal establishments,Establishment not stated,Medical and care establishment: Local Authority: Care home or other home,Medical and care establishment: Local Authority: Children's home (including secure units),Medical and care establishment: NHS: General hospital,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),Medical and care establishment: NHS: Other hospital,Medical and care establishment: Other,Medical and care establishment: Other: Care home with nursing,Medical and care establishment: Other: Care home without nursing,Medical and care establishment: Other: Children's home (including secure units),Medical and care establishment: Registered Social Landlord/Housing Association,Other establishments
0,E02000001,188.0,0.22340425531914893,0.0,0.0,0.0,0.0,0.0,0.0,0.09574468085106383,0.0,0.0,0.0,0.0,0.9042553191489362
1,E02000002,51.0,0.058823529411764705,0.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0
2,E02000003,12.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,E02000004,245.0,0.0163265306122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0326530612244898,0.39183673469387753,0.0,0.0,0.0,0.5755102040816327
4,E02000007,119.0,0.03361344537815126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5210084033613446,0.0,0.0,0.0,0.4789915966386555
5,E02000008,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,E02000009,19.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,E02000010,0.0,inf,,,,,,,,,,,,
8,E02000011,101.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33663366336633666,0.6633663366336634,0.0,0.0,0.0
9,E02000012,9.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,E02000013,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,E02000014,83.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.0,0.40963855421686746,0.0,0.5903614457831325,0.0,0.0,0.0
12,E02000015,14.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,E02000016,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,E02000017,30.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.7,0.0,0.0,0.16666666666666666
15,E02000018,6.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
16,E02000019,42.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.09523809523809523
17,E02000020,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,E02000021,106.0,0.03773584905660377,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.9905660377358491,0.0,0.0,0.0,0.009433962264150943
19,E02000022,93.0,0.06451612903225806,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8709677419354839
20,E02000024,187.0,0.06417112299465241,0.27807486631016043,0.0,0.0,0.0,0.0,0.0,0.016042780748663103,0.0,0.679144385026738,0.0,0.0,0.1657754010695187
