,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2011,E02000623,2011 super output areas - middle layer,297,Economically inactive: Long-term sick or disabled,272
1,2011,E02000623,2011 super output areas - middle layer,297,Economically inactive: Other,218
2,2011,E02000623,2011 super output areas - middle layer,297,Unemployed: Age 16 to 24,72
3,2011,E02000623,2011 super output areas - middle layer,297,Unemployed: Age 50 to 74,83
4,2011,E02000623,2011 super output areas - middle layer,297,Unemployed: Never worked,75
5,2011,E02000623,2011 super output areas - middle layer,297,Long-term unemployed,189
6,2011,E02000624,2011 super output areas - middle layer,297,All usual residents aged 16 to 74,6315
7,2011,E02000624,2011 super output areas - middle layer,297,Economically active,4726
8,2011,E02000624,2011 super output areas - middle layer,297,Economically active: In employment,3950
9,2011,E02000624,2011 super output areas - middle layer,297,Economically active: Employee: Part-time,603
10,2011,E02000624,2011 super output areas - middle layer,297,Economically active: Employee: Full-time,2769
11,2011,E02000624,2011 super output areas - middle layer,297,Economically active: Self-employed,578
12,2011,E02000624,2011 super output areas - middle layer,297,Economically active: Unemployed,459
13,2011,E02000624,2011 super output areas - middle layer,297,Economically active: Full-time student,317
14,2011,E02000624,2011 super output areas - middle layer,297,Economically Inactive,1589
15,2011,E02000624,2011 super output areas - middle layer,297,Economically inactive: Retired,346
16,2011,E02000624,2011 super output areas - middle layer,297,Economically inactive: Student (including full-time students),491
17,2011,E02000624,2011 super output areas - middle layer,297,Economically inactive: Looking after home or family,208
18,2011,E02000624,2011 super output areas - middle layer,297,Economically inactive: Long-term sick or disabled,329
19,2011,E02000624,2011 super output areas - middle layer,297,Economically inactive: Other,215
20,2011,E02000624,2011 super output areas - middle layer,297,Unemployed: Age 16 to 24,88
21,2011,E02000624,2011 super output areas - middle layer,297,Unemployed: Age 50 to 74,85
22,2011,E02000624,2011 super output areas - middle layer,297,Unemployed: Never worked,85
23,2011,E02000624,2011 super output areas - middle layer,297,Long-term unemployed,195
24,2011,E02000625,2011 super output areas - middle layer,297,All usual residents aged 16 to 74,6359
25,2011,E02000625,2011 super output areas - middle layer,297,Economically active,4652
26,2011,E02000625,2011 super output areas - middle layer,297,Economically active: In employment,3881
27,2011,E02000625,2011 super output areas - middle layer,297,Economically active: Employee: Part-time,694
28,2011,E02000625,2011 super output areas - middle layer,297,Economically active: Employee: Full-time,2612
29,2011,E02000625,2011 super output areas - middle layer,297,Economically active: Self-employed,575
30,2011,E02000625,2011 super output areas - middle layer,297,Economically active: Unemployed,467
31,2011,E02000625,2011 super output areas - middle layer,297,Economically active: Full-time student,304
32,2011,E02000625,2011 super output areas - middle layer,297,Economically Inactive,1707
33,2011,E02000625,2011 super output areas - middle layer,297,Economically inactive: Retired,334
34,2011,E02000625,2011 super output areas - middle layer,297,Economically inactive: Student (including full-time students),589
35,2011,E02000625,2011 super output areas - middle layer,297,Economically inactive: Looking after home or family,298
36,2011,E02000625,2011 super output areas - middle layer,297,Economically inactive: Long-term sick or disabled,262
37,2011,E02000625,2011 super output areas - middle layer,297,Economically inactive: Other,224
38,2011,E02000625,2011 super output areas - middle layer,297,Unemployed: Age 16 to 24,87
39,2011,E02000625,2011 super output areas - middle layer,297,Unemployed: Age 50 to 74,68
40,2011,E02000625,2011 super output areas - middle layer,297,Unemployed: Never worked,96
41,2011,E02000625,2011 super output areas - middle layer,297,Long-term unemployed,203
42,2011,E02000626,2011 super output areas - middle layer,297,All usual residents aged 16 to 74,6094
43,2011,E02000626,2011 super output areas - middle layer,297,Economically active,4265
44,2011,E02000626,2011 super output areas - middle layer,297,Economically active: In employment,3335
45,2011,E02000626,2011 super output areas - middle layer,297,Economically active: Employee: Part-time,757
46,2011,E02000626,2011 super output areas - middle layer,297,Economically active: Employee: Full-time,2058
47,2011,E02000626,2011 super output areas - middle layer,297,Economically active: Self-employed,520
48,2011,E02000626,2011 super output areas - middle layer,297,Economically active: Unemployed,570
49,2011,E02000626,2011 super output areas - middle layer,297,Economically active: Full-time student,360
50,2011,E02000626,2011 super output areas - middle layer,297,Economically Inactive,1829
51,2011,E02000626,2011 super output areas - middle layer,297,Economically inactive: Retired,372
52,2011,E02000626,2011 super output areas - middle layer,297,Economically inactive: Student (including full-time students),537
53,2011,E02000626,2011 super output areas - middle layer,297,Economically inactive: Looking after home or family,285
54,2011,E02000626,2011 super output areas - middle layer,297,Economically inactive: Long-term sick or disabled,343
55,2011,E02000626,2011 super output areas - middle layer,297,Economically inactive: Other,292
56,2011,E02000626,2011 super output areas - middle layer,297,Unemployed: Age 16 to 24,105
57,2011,E02000626,2011 super output areas - middle layer,297,Unemployed: Age 50 to 74,91
58,2011,E02000626,2011 super output areas - middle layer,297,Unemployed: Never worked,132
59,2011,E02000626,2011 super output areas - middle layer,297,Long-term unemployed,254
60,2011,E02000627,2011 super output areas - middle layer,297,All usual residents aged 16 to 74,7732
61,2011,E02000627,2011 super output areas - middle layer,297,Economically active,6148
