,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
0,2011,E02003493,2011 super output areas - middle layer,297,All categories: Occupation,3798
1,2011,E02003493,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",588
2,2011,E02003493,2011 super output areas - middle layer,297,2. Professional occupations,908
3,2011,E02003493,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,565
4,2011,E02003493,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,461
5,2011,E02003493,2011 super output areas - middle layer,297,5. Skilled trades occupations,365
6,2011,E02003493,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",346
7,2011,E02003493,2011 super output areas - middle layer,297,7. Sales and customer service occupations,267
8,2011,E02003493,2011 super output areas - middle layer,297,8. Process plant and machine operatives,121
9,2011,E02003493,2011 super output areas - middle layer,297,9. Elementary occupations,177
10,2011,E02003494,2011 super output areas - middle layer,297,All categories: Occupation,3279
11,2011,E02003494,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",424
12,2011,E02003494,2011 super output areas - middle layer,297,2. Professional occupations,874
13,2011,E02003494,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,463
14,2011,E02003494,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,319
15,2011,E02003494,2011 super output areas - middle layer,297,5. Skilled trades occupations,322
16,2011,E02003494,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",301
17,2011,E02003494,2011 super output areas - middle layer,297,7. Sales and customer service occupations,249
18,2011,E02003494,2011 super output areas - middle layer,297,8. Process plant and machine operatives,111
19,2011,E02003494,2011 super output areas - middle layer,297,9. Elementary occupations,216
20,2011,E02003495,2011 super output areas - middle layer,297,All categories: Occupation,3688
21,2011,E02003495,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",310
22,2011,E02003495,2011 super output areas - middle layer,297,2. Professional occupations,429
23,2011,E02003495,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,448
24,2011,E02003495,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,496
25,2011,E02003495,2011 super output areas - middle layer,297,5. Skilled trades occupations,473
26,2011,E02003495,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",429
27,2011,E02003495,2011 super output areas - middle layer,297,7. Sales and customer service occupations,504
28,2011,E02003495,2011 super output areas - middle layer,297,8. Process plant and machine operatives,253
29,2011,E02003495,2011 super output areas - middle layer,297,9. Elementary occupations,346
30,2011,E02003496,2011 super output areas - middle layer,297,All categories: Occupation,3234
31,2011,E02003496,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",337
32,2011,E02003496,2011 super output areas - middle layer,297,2. Professional occupations,445
33,2011,E02003496,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,380
34,2011,E02003496,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,383
35,2011,E02003496,2011 super output areas - middle layer,297,5. Skilled trades occupations,364
36,2011,E02003496,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",380
37,2011,E02003496,2011 super output areas - middle layer,297,7. Sales and customer service occupations,402
38,2011,E02003496,2011 super output areas - middle layer,297,8. Process plant and machine operatives,230
39,2011,E02003496,2011 super output areas - middle layer,297,9. Elementary occupations,313
40,2011,E02003497,2011 super output areas - middle layer,297,All categories: Occupation,3587
41,2011,E02003497,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",706
42,2011,E02003497,2011 super output areas - middle layer,297,2. Professional occupations,859
43,2011,E02003497,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,549
44,2011,E02003497,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,402
45,2011,E02003497,2011 super output areas - middle layer,297,5. Skilled trades occupations,264
46,2011,E02003497,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",273
47,2011,E02003497,2011 super output areas - middle layer,297,7. Sales and customer service occupations,263
48,2011,E02003497,2011 super output areas - middle layer,297,8. Process plant and machine operatives,120
49,2011,E02003497,2011 super output areas - middle layer,297,9. Elementary occupations,151
50,2011,E02003498,2011 super output areas - middle layer,297,All categories: Occupation,3201
51,2011,E02003498,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",195
52,2011,E02003498,2011 super output areas - middle layer,297,2. Professional occupations,431
53,2011,E02003498,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,370
54,2011,E02003498,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,321
55,2011,E02003498,2011 super output areas - middle layer,297,5. Skilled trades occupations,384
56,2011,E02003498,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",387
57,2011,E02003498,2011 super output areas - middle layer,297,7. Sales and customer service occupations,453
58,2011,E02003498,2011 super output areas - middle layer,297,8. Process plant and machine operatives,183
59,2011,E02003498,2011 super output areas - middle layer,297,9. Elementary occupations,477
60,2011,E02003499,2011 super output areas - middle layer,297,All categories: Occupation,3190
61,2011,E02003499,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",205
62,2011,E02003499,2011 super output areas - middle layer,297,2. Professional occupations,278
63,2011,E02003499,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,307
64,2011,E02003499,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,238
65,2011,E02003499,2011 super output areas - middle layer,297,5. Skilled trades occupations,449
66,2011,E02003499,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",437
67,2011,E02003499,2011 super output areas - middle layer,297,7. Sales and customer service occupations,497
68,2011,E02003499,2011 super output areas - middle layer,297,8. Process plant and machine operatives,248
69,2011,E02003499,2011 super output areas - middle layer,297,9. Elementary occupations,531
70,2011,E02003500,2011 super output areas - middle layer,297,All categories: Occupation,4483
71,2011,E02003500,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",505
72,2011,E02003500,2011 super output areas - middle layer,297,2. Professional occupations,1454
73,2011,E02003500,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,760
74,2011,E02003500,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,380
75,2011,E02003500,2011 super output areas - middle layer,297,5. Skilled trades occupations,320
76,2011,E02003500,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",324
77,2011,E02003500,2011 super output areas - middle layer,297,7. Sales and customer service occupations,340
78,2011,E02003500,2011 super output areas - middle layer,297,8. Process plant and machine operatives,89
79,2011,E02003500,2011 super output areas - middle layer,297,9. Elementary occupations,311
80,2011,E02003501,2011 super output areas - middle layer,297,All categories: Occupation,4480
81,2011,E02003501,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",676
82,2011,E02003501,2011 super output areas - middle layer,297,2. Professional occupations,1321
83,2011,E02003501,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,840
84,2011,E02003501,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,440
85,2011,E02003501,2011 super output areas - middle layer,297,5. Skilled trades occupations,261
86,2011,E02003501,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",328
87,2011,E02003501,2011 super output areas - middle layer,297,7. Sales and customer service occupations,287
88,2011,E02003501,2011 super output areas - middle layer,297,8. Process plant and machine operatives,101
89,2011,E02003501,2011 super output areas - middle layer,297,9. Elementary occupations,226
90,2011,E02003502,2011 super output areas - middle layer,297,All categories: Occupation,3702
91,2011,E02003502,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",372
92,2011,E02003502,2011 super output areas - middle layer,297,2. Professional occupations,519
93,2011,E02003502,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,450
94,2011,E02003502,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,432
95,2011,E02003502,2011 super output areas - middle layer,297,5. Skilled trades occupations,487
96,2011,E02003502,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",408
97,2011,E02003502,2011 super output areas - middle layer,297,7. Sales and customer service occupations,437
98,2011,E02003502,2011 super output areas - middle layer,297,8. Process plant and machine operatives,242
99,2011,E02003502,2011 super output areas - middle layer,297,9. Elementary occupations,355
100,2011,E02003503,2011 super output areas - middle layer,297,All categories: Occupation,4088
101,2011,E02003503,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",410
102,2011,E02003503,2011 super output areas - middle layer,297,2. Professional occupations,660
103,2011,E02003503,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,516
104,2011,E02003503,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,487
105,2011,E02003503,2011 super output areas - middle layer,297,5. Skilled trades occupations,515
106,2011,E02003503,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",440
107,2011,E02003503,2011 super output areas - middle layer,297,7. Sales and customer service occupations,427
108,2011,E02003503,2011 super output areas - middle layer,297,8. Process plant and machine operatives,253
109,2011,E02003503,2011 super output areas - middle layer,297,9. Elementary occupations,380
110,2011,E02003504,2011 super output areas - middle layer,297,All categories: Occupation,4866
111,2011,E02003504,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",531
112,2011,E02003504,2011 super output areas - middle layer,297,2. Professional occupations,1529
113,2011,E02003504,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,941
114,2011,E02003504,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,452
115,2011,E02003504,2011 super output areas - middle layer,297,5. Skilled trades occupations,312
116,2011,E02003504,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",372
117,2011,E02003504,2011 super output areas - middle layer,297,7. Sales and customer service occupations,332
118,2011,E02003504,2011 super output areas - middle layer,297,8. Process plant and machine operatives,125
119,2011,E02003504,2011 super output areas - middle layer,297,9. Elementary occupations,272
120,2011,E02003505,2011 super output areas - middle layer,297,All categories: Occupation,4891
121,2011,E02003505,2011 super output areas - middle layer,297,"1. Managers, directors and senior officials",408
122,2011,E02003505,2011 super output areas - middle layer,297,2. Professional occupations,1199
123,2011,E02003505,2011 super output areas - middle layer,297,3. Associate professional and technical occupations,869
124,2011,E02003505,2011 super output areas - middle layer,297,4. Administrative and secretarial occupations,394
125,2011,E02003505,2011 super output areas - middle layer,297,5. Skilled trades occupations,348
126,2011,E02003505,2011 super output areas - middle layer,297,"6. Caring, leisure and other service occupations",382
127,2011,E02003505,2011 super output areas - middle layer,297,7. Sales and customer service occupations,578
128,2011,E02003505,2011 super output areas - middle layer,297,8. Process plant and machine operatives,121
