,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHCOMP_15_NAME,OBS_VALUE
0,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,330
1,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,148
2,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,386
3,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,233
4,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,114
5,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,39
6,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Lone parent family,517
7,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,316
8,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,201
9,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Other single family household,76
10,2021,E02001374,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,76
11,2021,E02001374,2021 super output areas - middle layer,152,Other household types,385
12,2021,E02001374,2021 super output areas - middle layer,152,Other household types: With dependent children,109
13,2021,E02001374,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",276
14,2021,E02001375,2021 super output areas - middle layer,152,Total: All households,3077
15,2021,E02001375,2021 super output areas - middle layer,152,One-person household,1112
16,2021,E02001375,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,467
17,2021,E02001375,2021 super output areas - middle layer,152,One-person household: Other,645
18,2021,E02001375,2021 super output areas - middle layer,152,Single family household,1792
19,2021,E02001375,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,200
20,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,658
21,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,225
22,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,258
23,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,175
24,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,328
25,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,152
26,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,139
27,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,37
28,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Lone parent family,570
29,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,332
30,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,238
31,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Other single family household,36
32,2021,E02001375,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,36
33,2021,E02001375,2021 super output areas - middle layer,152,Other household types,173
34,2021,E02001375,2021 super output areas - middle layer,152,Other household types: With dependent children,74
35,2021,E02001375,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",99
36,2021,E02001376,2021 super output areas - middle layer,152,Total: All households,3714
37,2021,E02001376,2021 super output areas - middle layer,152,One-person household,1231
38,2021,E02001376,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,361
39,2021,E02001376,2021 super output areas - middle layer,152,One-person household: Other,870
40,2021,E02001376,2021 super output areas - middle layer,152,Single family household,1695
41,2021,E02001376,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,108
42,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,636
43,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,142
44,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,381
45,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,113
46,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,297
47,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,144
48,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,134
49,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,19
50,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Lone parent family,562
51,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,332
52,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,230
53,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Other single family household,92
54,2021,E02001376,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,92
55,2021,E02001376,2021 super output areas - middle layer,152,Other household types,788
56,2021,E02001376,2021 super output areas - middle layer,152,Other household types: With dependent children,118
57,2021,E02001376,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",670
58,2021,E02001377,2021 super output areas - middle layer,152,Total: All households,3800
59,2021,E02001377,2021 super output areas - middle layer,152,One-person household,1542
60,2021,E02001377,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,417
61,2021,E02001377,2021 super output areas - middle layer,152,One-person household: Other,1125
62,2021,E02001377,2021 super output areas - middle layer,152,Single family household,1418
63,2021,E02001377,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,79
64,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,531
65,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,149
66,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,297
67,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,85
68,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,307
69,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,225
70,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,63
71,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,19
72,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Lone parent family,425
73,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,218
74,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,207
75,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Other single family household,76
76,2021,E02001377,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,76
77,2021,E02001377,2021 super output areas - middle layer,152,Other household types,840
78,2021,E02001377,2021 super output areas - middle layer,152,Other household types: With dependent children,80
79,2021,E02001377,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",760
80,2021,E02001378,2021 super output areas - middle layer,152,Total: All households,3400
81,2021,E02001378,2021 super output areas - middle layer,152,One-person household,1370
82,2021,E02001378,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,438
83,2021,E02001378,2021 super output areas - middle layer,152,One-person household: Other,932
84,2021,E02001378,2021 super output areas - middle layer,152,Single family household,1835
85,2021,E02001378,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,215
86,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,765
87,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: No children,222
88,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: Dependent children,347
89,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple: All children non-dependent,196
90,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family,339
91,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: No children,165
92,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: With dependent children,133
93,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Cohabiting couple family: All children non-dependent,41
94,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Lone parent family,484
95,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Lone parent family: With dependent children,247
96,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Lone parent family: All children non-dependent,237
97,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Other single family household,32
98,2021,E02001378,2021 super output areas - middle layer,152,Single family household: Other single family household: Other family composition,32
99,2021,E02001378,2021 super output areas - middle layer,152,Other household types,195
100,2021,E02001378,2021 super output areas - middle layer,152,Other household types: With dependent children,83
101,2021,E02001378,2021 super output areas - middle layer,152,"Other household types: Other, including all full-time students and all aged 66 years and over",112
102,2021,E02001380,2021 super output areas - middle layer,152,Total: All households,3107
103,2021,E02001380,2021 super output areas - middle layer,152,One-person household,785
104,2021,E02001380,2021 super output areas - middle layer,152,One-person household: Aged 66 years and over,399
105,2021,E02001380,2021 super output areas - middle layer,152,One-person household: Other,386
106,2021,E02001380,2021 super output areas - middle layer,152,Single family household,2184
107,2021,E02001380,2021 super output areas - middle layer,152,Single family household: All aged 66 years and over,315
108,2021,E02001380,2021 super output areas - middle layer,152,Single family household: Married or civil partnership couple,1171
