,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_102_NAME,OBS_VALUE
0,2021,E02004069,2021 super output areas - middle layer,152,Aged 36 years,44
1,2021,E02004069,2021 super output areas - middle layer,152,Aged 37 years,60
2,2021,E02004069,2021 super output areas - middle layer,152,Aged 38 years,46
3,2021,E02004069,2021 super output areas - middle layer,152,Aged 39 years,50
4,2021,E02004069,2021 super output areas - middle layer,152,Aged 40 years,70
5,2021,E02004069,2021 super output areas - middle layer,152,Aged 41 years,61
6,2021,E02004069,2021 super output areas - middle layer,152,Aged 42 years,69
7,2021,E02004069,2021 super output areas - middle layer,152,Aged 43 years,62
8,2021,E02004069,2021 super output areas - middle layer,152,Aged 44 years,58
9,2021,E02004069,2021 super output areas - middle layer,152,Aged 45 years,53
10,2021,E02004069,2021 super output areas - middle layer,152,Aged 46 years,83
11,2021,E02004069,2021 super output areas - middle layer,152,Aged 47 years,70
12,2021,E02004069,2021 super output areas - middle layer,152,Aged 48 years,75
13,2021,E02004069,2021 super output areas - middle layer,152,Aged 49 years,82
14,2021,E02004069,2021 super output areas - middle layer,152,Aged 50 to 64 years,1646
15,2021,E02004069,2021 super output areas - middle layer,152,Aged 50 years,90
16,2021,E02004069,2021 super output areas - middle layer,152,Aged 51 years,87
17,2021,E02004069,2021 super output areas - middle layer,152,Aged 52 years,95
18,2021,E02004069,2021 super output areas - middle layer,152,Aged 53 years,110
19,2021,E02004069,2021 super output areas - middle layer,152,Aged 54 years,107
20,2021,E02004069,2021 super output areas - middle layer,152,Aged 55 years,117
21,2021,E02004069,2021 super output areas - middle layer,152,Aged 56 years,129
22,2021,E02004069,2021 super output areas - middle layer,152,Aged 57 years,106
23,2021,E02004069,2021 super output areas - middle layer,152,Aged 58 years,121
24,2021,E02004069,2021 super output areas - middle layer,152,Aged 59 years,117
25,2021,E02004069,2021 super output areas - middle layer,152,Aged 60 years,132
26,2021,E02004069,2021 super output areas - middle layer,152,Aged 61 years,108
27,2021,E02004069,2021 super output areas - middle layer,152,Aged 62 years,106
28,2021,E02004069,2021 super output areas - middle layer,152,Aged 63 years,115
29,2021,E02004069,2021 super output areas - middle layer,152,Aged 64 years,106
30,2021,E02004069,2021 super output areas - middle layer,152,Aged 65 to 74 years,1082
31,2021,E02004069,2021 super output areas - middle layer,152,Aged 65 years,129
32,2021,E02004069,2021 super output areas - middle layer,152,Aged 66 years,100
33,2021,E02004069,2021 super output areas - middle layer,152,Aged 67 years,76
34,2021,E02004069,2021 super output areas - middle layer,152,Aged 68 years,98
35,2021,E02004069,2021 super output areas - middle layer,152,Aged 69 years,98
36,2021,E02004069,2021 super output areas - middle layer,152,Aged 70 years,114
37,2021,E02004069,2021 super output areas - middle layer,152,Aged 71 years,113
38,2021,E02004069,2021 super output areas - middle layer,152,Aged 72 years,113
39,2021,E02004069,2021 super output areas - middle layer,152,Aged 73 years,116
40,2021,E02004069,2021 super output areas - middle layer,152,Aged 74 years,125
41,2021,E02004069,2021 super output areas - middle layer,152,Aged 75 to 84 years,727
42,2021,E02004069,2021 super output areas - middle layer,152,Aged 75 years,112
43,2021,E02004069,2021 super output areas - middle layer,152,Aged 76 years,98
44,2021,E02004069,2021 super output areas - middle layer,152,Aged 77 years,97
45,2021,E02004069,2021 super output areas - middle layer,152,Aged 78 years,80
46,2021,E02004069,2021 super output areas - middle layer,152,Aged 79 years,61
47,2021,E02004069,2021 super output areas - middle layer,152,Aged 80 years,61
48,2021,E02004069,2021 super output areas - middle layer,152,Aged 81 years,64
49,2021,E02004069,2021 super output areas - middle layer,152,Aged 82 years,60
50,2021,E02004069,2021 super output areas - middle layer,152,Aged 83 years,47
51,2021,E02004069,2021 super output areas - middle layer,152,Aged 84 years,47
52,2021,E02004069,2021 super output areas - middle layer,152,Aged 85 years and over,276
53,2021,E02004069,2021 super output areas - middle layer,152,Aged 85 years,49
54,2021,E02004069,2021 super output areas - middle layer,152,Aged 86 years,45
55,2021,E02004069,2021 super output areas - middle layer,152,Aged 87 years,23
56,2021,E02004069,2021 super output areas - middle layer,152,Aged 88 years,36
57,2021,E02004069,2021 super output areas - middle layer,152,Aged 89 years,29
58,2021,E02004069,2021 super output areas - middle layer,152,Aged 90 years,20
59,2021,E02004069,2021 super output areas - middle layer,152,Aged 91 years,25
60,2021,E02004069,2021 super output areas - middle layer,152,Aged 92 years,9
61,2021,E02004069,2021 super output areas - middle layer,152,Aged 93 years,8
62,2021,E02004069,2021 super output areas - middle layer,152,Aged 94 years,10
63,2021,E02004069,2021 super output areas - middle layer,152,Aged 95 years,9
