,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGEARRUK_18_NAME,OBS_VALUE
0,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 0 to 4 years,228
1,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 5 to 7 years,80
2,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 8 to 9 years,54
3,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 10 to 14 years,108
4,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 15 years,24
5,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 16 to 17 years,90
6,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 18 to 19 years,185
7,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 20 to 24 years,391
8,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 25 to 29 years,323
9,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 30 to 44 years,413
10,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 45 to 59 years,119
11,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 60 to 64 years,11
12,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 65 to 74 years,8
13,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 75 to 84 years,2
14,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 85 to 89 years,0
15,2021,E02003547,2021 super output areas - middle layer,152,Arrived in the UK: Aged 90 years and over,0
16,2021,E02003548,2021 super output areas - middle layer,152,Total: All usual residents,6165
17,2021,E02003548,2021 super output areas - middle layer,152,Born in the UK,4839
18,2021,E02003548,2021 super output areas - middle layer,152,Arrived in the UK,1326
19,2021,E02003548,2021 super output areas - middle layer,152,Arrived in the UK: Aged 0 to 4 years,191
20,2021,E02003548,2021 super output areas - middle layer,152,Arrived in the UK: Aged 5 to 7 years,42
21,2021,E02003548,2021 super output areas - middle layer,152,Arrived in the UK: Aged 8 to 9 years,27
22,2021,E02003548,2021 super output areas - middle layer,152,Arrived in the UK: Aged 10 to 14 years,73
23,2021,E02003548,2021 super output areas - middle layer,152,Arrived in the UK: Aged 15 years,21
24,2021,E02003548,2021 super output areas - middle layer,152,Arrived in the UK: Aged 16 to 17 years,37
25,2021,E02003548,2021 super output areas - middle layer,152,Arrived in the UK: Aged 18 to 19 years,103
