,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATID_71_NAME,OBS_VALUE
0,2021,E02002438,2021 super output areas - middle layer,152,UK identity: Scottish only identity,23
1,2021,E02002438,2021 super output areas - middle layer,152,UK identity:  Scottish and British only identity,12
2,2021,E02002438,2021 super output areas - middle layer,152,UK identity: Northern Irish only identity,5
3,2021,E02002438,2021 super output areas - middle layer,152,UK identity: Northern Irish and British only identity,5
4,2021,E02002438,2021 super output areas - middle layer,152,UK identity: Cornish only identity,1
5,2021,E02002438,2021 super output areas - middle layer,152,UK identity: Cornish and British only identity,0
6,2021,E02002438,2021 super output areas - middle layer,152,UK identity: Any other combination of UK identities (UK only),10
7,2021,E02002438,2021 super output areas - middle layer,152,UK identity: Other identity and at least one UK identity ,58
8,2021,E02002438,2021 super output areas - middle layer,152,Other identity only,478
9,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Guernsey Islander,0
10,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Jersey Islander,0
11,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Isle of Man (Manx),0
12,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Channel Islander not otherwise specified,0
13,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Irish only identity,10
14,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Irish and at least one UK identity,0
15,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European,415
16,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries,387
17,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries: French,0
18,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries: German,1
19,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Italian,8
20,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Portuguese,13
21,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Spanish (including Canary Islander),6
22,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Other member countries in March 2001,7
23,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries:  Lithuanian,27
24,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries:  Polish,245
25,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Romanian,22
26,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Other member countries,58
27,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: Non-EU countries,28
28,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: Non-EU countries: Turkish,0
29,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: European: Non-EU countries: Other European,28
30,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African,24
31,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: North African,2
32,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African,3
33,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African: Ghanaian,0
34,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African: Nigerian,1
35,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: Central and Western African: Other Central and Western African,2
36,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African,19
37,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Kenyan,2
38,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Somali,0
39,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: South African,1
40,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Zimbabwean,14
41,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: African: South and Eastern African: Other South and Eastern African,2
42,2021,E02002438,2021 super output areas - middle layer,152,Other identity only: Middle Eastern and Asian,19
