,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELIGION_58_NAME,OBS_VALUE
0,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Reconstructionist,0
1,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Satanism,0
2,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Scientology,0
3,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Shamanism,0
4,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Shintoism,0
5,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Spiritual,10
6,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Spiritualist,1
7,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Taoist,0
8,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Theism,1
9,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Thelemite,0
10,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Traditional African Religion,2
11,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Unification Church,0
12,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Universalist,0
13,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Valmiki,0
14,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Vodun,0
15,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Wicca,2
16,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Witchcraft,0
17,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Yazidi ,0
18,2021,E02000141,2021 super output areas - middle layer,152,Other religion: Zoroastrian,0
19,2021,E02000141,2021 super output areas - middle layer,152,Religion not stated,561
20,2021,E02000142,2021 super output areas - middle layer,152,Total: All Usual Residents,8815
21,2021,E02000142,2021 super output areas - middle layer,152,Christian,4185
22,2021,E02000142,2021 super output areas - middle layer,152,Buddhist,54
23,2021,E02000142,2021 super output areas - middle layer,152,Hindu,367
24,2021,E02000142,2021 super output areas - middle layer,152,Jewish,19
25,2021,E02000142,2021 super output areas - middle layer,152,Muslim ,231
26,2021,E02000142,2021 super output areas - middle layer,152,Sikh,29
27,2021,E02000142,2021 super output areas - middle layer,152,No religion,3320
28,2021,E02000142,2021 super output areas - middle layer,152,No religion: Agnostic,4
29,2021,E02000142,2021 super output areas - middle layer,152,No religion: Atheist,1
30,2021,E02000142,2021 super output areas - middle layer,152,No religion: Free Thinker,0
31,2021,E02000142,2021 super output areas - middle layer,152,No religion: Humanist,1
32,2021,E02000142,2021 super output areas - middle layer,152,No religion: No religion,3314
33,2021,E02000142,2021 super output areas - middle layer,152,No religion: Realist,0
34,2021,E02000142,2021 super output areas - middle layer,152,Other religion,40
35,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Alevi,0
36,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Animism,0
37,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Baha'i,0
38,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Believe in God,0
39,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Brahma Kumari,0
40,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Chinese Religion,0
41,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Church of All Religion,0
42,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Confucianist,0
43,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Deist,0
44,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Druid,0
45,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Druze,0
46,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Eckankar,0
47,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Heathen,0
48,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Jain,4
49,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Mixed Religion,4
50,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Mysticism,0
51,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Native American Church,0
52,2021,E02000142,2021 super output areas - middle layer,152,Other religion: New Age,0
53,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Occult,0
54,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Other religions,9
55,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Own Belief System,0
56,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Pagan,4
57,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Pantheism,0
58,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Rastafarian,0
59,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Ravidassia,0
60,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Reconstructionist,0
61,2021,E02000142,2021 super output areas - middle layer,152,Other religion: Satanism,0
