,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGU_3_NAME,OBS_VALUE
0,2021,W02000001,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8180
1,2021,W02000001,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,3019
2,2021,W02000001,2021 super output areas - middle layer,152,Can understand spoken Welsh,5161
3,2021,W02000002,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6231
4,2021,W02000002,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2558
5,2021,W02000002,2021 super output areas - middle layer,152,Can understand spoken Welsh,3673
6,2021,W02000003,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10270
7,2021,W02000003,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4254
8,2021,W02000003,2021 super output areas - middle layer,152,Can understand spoken Welsh,6016
9,2021,W02000004,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7249
10,2021,W02000004,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2920
11,2021,W02000004,2021 super output areas - middle layer,152,Can understand spoken Welsh,4329
12,2021,W02000005,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8012
13,2021,W02000005,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,3522
14,2021,W02000005,2021 super output areas - middle layer,152,Can understand spoken Welsh,4490
15,2021,W02000006,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6807
16,2021,W02000006,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1569
17,2021,W02000006,2021 super output areas - middle layer,152,Can understand spoken Welsh,5238
18,2021,W02000007,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6683
19,2021,W02000007,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2569
20,2021,W02000007,2021 super output areas - middle layer,152,Can understand spoken Welsh,4114
21,2021,W02000008,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5829
22,2021,W02000008,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1797
23,2021,W02000008,2021 super output areas - middle layer,152,Can understand spoken Welsh,4032
24,2021,W02000009,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7825
25,2021,W02000009,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2393
26,2021,W02000009,2021 super output areas - middle layer,152,Can understand spoken Welsh,5432
27,2021,W02000010,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8466
28,2021,W02000010,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,5485
29,2021,W02000010,2021 super output areas - middle layer,152,Can understand spoken Welsh,2981
30,2021,W02000011,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8090
31,2021,W02000011,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2914
32,2021,W02000011,2021 super output areas - middle layer,152,Can understand spoken Welsh,5176
33,2021,W02000012,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7961
34,2021,W02000012,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2134
35,2021,W02000012,2021 super output areas - middle layer,152,Can understand spoken Welsh,5827
36,2021,W02000013,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6240
37,2021,W02000013,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1423
38,2021,W02000013,2021 super output areas - middle layer,152,Can understand spoken Welsh,4817
39,2021,W02000014,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6563
40,2021,W02000014,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1865
41,2021,W02000014,2021 super output areas - middle layer,152,Can understand spoken Welsh,4698
42,2021,W02000015,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8177
43,2021,W02000015,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1490
44,2021,W02000015,2021 super output areas - middle layer,152,Can understand spoken Welsh,6687
45,2021,W02000016,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6181
46,2021,W02000016,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1363
47,2021,W02000016,2021 super output areas - middle layer,152,Can understand spoken Welsh,4818
48,2021,W02000017,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7355
49,2021,W02000017,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1796
50,2021,W02000017,2021 super output areas - middle layer,152,Can understand spoken Welsh,5559
51,2021,W02000018,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5884
52,2021,W02000018,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1494
53,2021,W02000018,2021 super output areas - middle layer,152,Can understand spoken Welsh,4390
54,2021,W02000019,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6506
55,2021,W02000019,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2048
56,2021,W02000019,2021 super output areas - middle layer,152,Can understand spoken Welsh,4458
57,2021,W02000020,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6316
58,2021,W02000020,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1788
59,2021,W02000020,2021 super output areas - middle layer,152,Can understand spoken Welsh,4528
60,2021,W02000021,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7559
61,2021,W02000021,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1870
62,2021,W02000021,2021 super output areas - middle layer,152,Can understand spoken Welsh,5689
63,2021,W02000022,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5437
64,2021,W02000022,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2212
65,2021,W02000022,2021 super output areas - middle layer,152,Can understand spoken Welsh,3225
66,2021,W02000023,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5165
67,2021,W02000023,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1598
68,2021,W02000023,2021 super output areas - middle layer,152,Can understand spoken Welsh,3567
69,2021,W02000024,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5557
70,2021,W02000024,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,1745
71,2021,W02000024,2021 super output areas - middle layer,152,Can understand spoken Welsh,3812
72,2021,W02000025,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5996
73,2021,W02000025,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,2381
74,2021,W02000025,2021 super output areas - middle layer,152,Can understand spoken Welsh,3615
75,2021,W02000026,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6853
76,2021,W02000026,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,3683
77,2021,W02000026,2021 super output areas - middle layer,152,Can understand spoken Welsh,3170
78,2021,W02000027,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8264
79,2021,W02000027,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,6203
80,2021,W02000027,2021 super output areas - middle layer,152,Can understand spoken Welsh,2061
81,2021,W02000028,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6543
82,2021,W02000028,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4708
83,2021,W02000028,2021 super output areas - middle layer,152,Can understand spoken Welsh,1835
84,2021,W02000029,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5853
85,2021,W02000029,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4075
86,2021,W02000029,2021 super output areas - middle layer,152,Can understand spoken Welsh,1778
87,2021,W02000030,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5759
88,2021,W02000030,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,4290
89,2021,W02000030,2021 super output areas - middle layer,152,Can understand spoken Welsh,1469
90,2021,W02000031,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7987
91,2021,W02000031,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,6736
92,2021,W02000031,2021 super output areas - middle layer,152,Can understand spoken Welsh,1251
93,2021,W02000032,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8182
94,2021,W02000032,2021 super output areas - middle layer,152,Cannot understand spoken Welsh,5288
95,2021,W02000032,2021 super output areas - middle layer,152,Can understand spoken Welsh,2894
