,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEALTH_6_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,10238
1,2021,E02002483,2021 super output areas - middle layer,152,Very good health,4999
2,2021,E02002483,2021 super output areas - middle layer,152,Good health,3342
3,2021,E02002483,2021 super output areas - middle layer,152,Fair health,1361
4,2021,E02002483,2021 super output areas - middle layer,152,Bad health,416
5,2021,E02002483,2021 super output areas - middle layer,152,Very bad health,120
6,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,10276
7,2021,E02002484,2021 super output areas - middle layer,152,Very good health,3971
8,2021,E02002484,2021 super output areas - middle layer,152,Good health,3404
9,2021,E02002484,2021 super output areas - middle layer,152,Fair health,1806
10,2021,E02002484,2021 super output areas - middle layer,152,Bad health,838
11,2021,E02002484,2021 super output areas - middle layer,152,Very bad health,257
12,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,8004
13,2021,E02002485,2021 super output areas - middle layer,152,Very good health,3208
14,2021,E02002485,2021 super output areas - middle layer,152,Good health,2649
15,2021,E02002485,2021 super output areas - middle layer,152,Fair health,1320
16,2021,E02002485,2021 super output areas - middle layer,152,Bad health,642
17,2021,E02002485,2021 super output areas - middle layer,152,Very bad health,185
18,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents,7125
19,2021,E02002489,2021 super output areas - middle layer,152,Very good health,2862
20,2021,E02002489,2021 super output areas - middle layer,152,Good health,2283
21,2021,E02002489,2021 super output areas - middle layer,152,Fair health,1252
22,2021,E02002489,2021 super output areas - middle layer,152,Bad health,564
23,2021,E02002489,2021 super output areas - middle layer,152,Very bad health,164
24,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents,5805
25,2021,E02002490,2021 super output areas - middle layer,152,Very good health,2371
26,2021,E02002490,2021 super output areas - middle layer,152,Good health,2005
27,2021,E02002490,2021 super output areas - middle layer,152,Fair health,950
28,2021,E02002490,2021 super output areas - middle layer,152,Bad health,365
29,2021,E02002490,2021 super output areas - middle layer,152,Very bad health,114
30,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents,6471
31,2021,E02002491,2021 super output areas - middle layer,152,Very good health,2630
32,2021,E02002491,2021 super output areas - middle layer,152,Good health,2096
33,2021,E02002491,2021 super output areas - middle layer,152,Fair health,1109
34,2021,E02002491,2021 super output areas - middle layer,152,Bad health,489
35,2021,E02002491,2021 super output areas - middle layer,152,Very bad health,147
36,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents,6774
37,2021,E02002492,2021 super output areas - middle layer,152,Very good health,2813
38,2021,E02002492,2021 super output areas - middle layer,152,Good health,2294
39,2021,E02002492,2021 super output areas - middle layer,152,Fair health,1070
40,2021,E02002492,2021 super output areas - middle layer,152,Bad health,411
41,2021,E02002492,2021 super output areas - middle layer,152,Very bad health,186
42,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents,6751
43,2021,E02002493,2021 super output areas - middle layer,152,Very good health,3101
44,2021,E02002493,2021 super output areas - middle layer,152,Good health,2304
45,2021,E02002493,2021 super output areas - middle layer,152,Fair health,964
46,2021,E02002493,2021 super output areas - middle layer,152,Bad health,311
47,2021,E02002493,2021 super output areas - middle layer,152,Very bad health,71
48,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents,7672
49,2021,E02002494,2021 super output areas - middle layer,152,Very good health,3154
50,2021,E02002494,2021 super output areas - middle layer,152,Good health,2432
51,2021,E02002494,2021 super output areas - middle layer,152,Fair health,1292
52,2021,E02002494,2021 super output areas - middle layer,152,Bad health,592
53,2021,E02002494,2021 super output areas - middle layer,152,Very bad health,202
54,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents,12688
55,2021,E02006909,2021 super output areas - middle layer,152,Very good health,6130
56,2021,E02006909,2021 super output areas - middle layer,152,Good health,4381
57,2021,E02006909,2021 super output areas - middle layer,152,Fair health,1603
58,2021,E02006909,2021 super output areas - middle layer,152,Bad health,450
59,2021,E02006909,2021 super output areas - middle layer,152,Very bad health,124
60,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents,10530
61,2021,E02007059,2021 super output areas - middle layer,152,Very good health,4577
62,2021,E02007059,2021 super output areas - middle layer,152,Good health,3561
63,2021,E02007059,2021 super output areas - middle layer,152,Fair health,1688
64,2021,E02007059,2021 super output areas - middle layer,152,Bad health,545
65,2021,E02007059,2021 super output areas - middle layer,152,Very bad health,159
66,2021,E02002496,2021 super output areas - middle layer,152,Total: All usual residents,11864
67,2021,E02002496,2021 super output areas - middle layer,152,Very good health,5552
68,2021,E02002496,2021 super output areas - middle layer,152,Good health,3772
69,2021,E02002496,2021 super output areas - middle layer,152,Fair health,1686
70,2021,E02002496,2021 super output areas - middle layer,152,Bad health,632
71,2021,E02002496,2021 super output areas - middle layer,152,Very bad health,222
72,2021,E02002497,2021 super output areas - middle layer,152,Total: All usual residents,6113
