,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_DISABILITY_5_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,10239
1,2021,E02002483,2021 super output areas - middle layer,152,Disabled under the Equality Act,1839
2,2021,E02002483,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,844
3,2021,E02002483,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,995
4,2021,E02002483,2021 super output areas - middle layer,152,Not disabled under the Equality Act,8400
5,2021,E02002483,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,655
6,2021,E02002483,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,7745
7,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,10278
8,2021,E02002484,2021 super output areas - middle layer,152,Disabled under the Equality Act,2820
9,2021,E02002484,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,1552
10,2021,E02002484,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,1268
11,2021,E02002484,2021 super output areas - middle layer,152,Not disabled under the Equality Act,7458
12,2021,E02002484,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,566
13,2021,E02002484,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,6892
14,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,8001
15,2021,E02002485,2021 super output areas - middle layer,152,Disabled under the Equality Act,2066
16,2021,E02002485,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,1095
17,2021,E02002485,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,971
18,2021,E02002485,2021 super output areas - middle layer,152,Not disabled under the Equality Act,5935
19,2021,E02002485,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,402
20,2021,E02002485,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,5533
21,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents,7125
22,2021,E02002489,2021 super output areas - middle layer,152,Disabled under the Equality Act,1940
23,2021,E02002489,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,1007
24,2021,E02002489,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,933
