,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
0,2021,E02005594,2021 super output areas - middle layer,152,Mains gas only,4111
1,2021,E02005594,2021 super output areas - middle layer,152,Tank or bottled gas only,13
2,2021,E02005594,2021 super output areas - middle layer,152,Electric only,752
3,2021,E02005594,2021 super output areas - middle layer,152,Oil only,12
4,2021,E02005594,2021 super output areas - middle layer,152,Wood only,4
5,2021,E02005594,2021 super output areas - middle layer,152,Solid fuel only,1
6,2021,E02005594,2021 super output areas - middle layer,152,Renewable energy only,17
7,2021,E02005594,2021 super output areas - middle layer,152,District or communal heat networks only,149
8,2021,E02005594,2021 super output areas - middle layer,152,Other central heating only,47
9,2021,E02005594,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),397
10,2021,E02005594,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),18
11,2021,E02005595,2021 super output areas - middle layer,152,Total: All households,4120
12,2021,E02005595,2021 super output areas - middle layer,152,No central heating,24
13,2021,E02005595,2021 super output areas - middle layer,152,Mains gas only,3483
14,2021,E02005595,2021 super output areas - middle layer,152,Tank or bottled gas only,9
15,2021,E02005595,2021 super output areas - middle layer,152,Electric only,196
16,2021,E02005595,2021 super output areas - middle layer,152,Oil only,11
17,2021,E02005595,2021 super output areas - middle layer,152,Wood only,2
18,2021,E02005595,2021 super output areas - middle layer,152,Solid fuel only,2
19,2021,E02005595,2021 super output areas - middle layer,152,Renewable energy only,13
20,2021,E02005595,2021 super output areas - middle layer,152,District or communal heat networks only,47
21,2021,E02005595,2021 super output areas - middle layer,152,Other central heating only,21
22,2021,E02005595,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),259
23,2021,E02005595,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),53
24,2021,E02005596,2021 super output areas - middle layer,152,Total: All households,4552
25,2021,E02005596,2021 super output areas - middle layer,152,No central heating,59
26,2021,E02005596,2021 super output areas - middle layer,152,Mains gas only,3805
27,2021,E02005596,2021 super output areas - middle layer,152,Tank or bottled gas only,16
28,2021,E02005596,2021 super output areas - middle layer,152,Electric only,214
29,2021,E02005596,2021 super output areas - middle layer,152,Oil only,4
30,2021,E02005596,2021 super output areas - middle layer,152,Wood only,0
31,2021,E02005596,2021 super output areas - middle layer,152,Solid fuel only,2
32,2021,E02005596,2021 super output areas - middle layer,152,Renewable energy only,6
33,2021,E02005596,2021 super output areas - middle layer,152,District or communal heat networks only,31
34,2021,E02005596,2021 super output areas - middle layer,152,Other central heating only,51
35,2021,E02005596,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),346
36,2021,E02005596,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),18
37,2021,E02006907,2021 super output areas - middle layer,152,Total: All households,4308
38,2021,E02006907,2021 super output areas - middle layer,152,No central heating,91
39,2021,E02006907,2021 super output areas - middle layer,152,Mains gas only,1886
40,2021,E02006907,2021 super output areas - middle layer,152,Tank or bottled gas only,18
41,2021,E02006907,2021 super output areas - middle layer,152,Electric only,1836
42,2021,E02006907,2021 super output areas - middle layer,152,Oil only,14
43,2021,E02006907,2021 super output areas - middle layer,152,Wood only,0
44,2021,E02006907,2021 super output areas - middle layer,152,Solid fuel only,0
45,2021,E02006907,2021 super output areas - middle layer,152,Renewable energy only,8
46,2021,E02006907,2021 super output areas - middle layer,152,District or communal heat networks only,160
47,2021,E02006907,2021 super output areas - middle layer,152,Other central heating only,50
48,2021,E02006907,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),223
49,2021,E02006907,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),22
50,2021,E02006908,2021 super output areas - middle layer,152,Total: All households,3019
51,2021,E02006908,2021 super output areas - middle layer,152,No central heating,35
52,2021,E02006908,2021 super output areas - middle layer,152,Mains gas only,2359
53,2021,E02006908,2021 super output areas - middle layer,152,Tank or bottled gas only,7
54,2021,E02006908,2021 super output areas - middle layer,152,Electric only,245
55,2021,E02006908,2021 super output areas - middle layer,152,Oil only,7
56,2021,E02006908,2021 super output areas - middle layer,152,Wood only,1
57,2021,E02006908,2021 super output areas - middle layer,152,Solid fuel only,1
58,2021,E02006908,2021 super output areas - middle layer,152,Renewable energy only,28
59,2021,E02006908,2021 super output areas - middle layer,152,District or communal heat networks only,39
60,2021,E02006908,2021 super output areas - middle layer,152,Other central heating only,24
61,2021,E02006908,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),259
62,2021,E02006908,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),14
63,2021,E02007052,2021 super output areas - middle layer,152,Total: All households,3700
64,2021,E02007052,2021 super output areas - middle layer,152,No central heating,56
