,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_TTWDIST_11_NAME,OBS_VALUE
0,2021,E02006080,2021 super output areas - middle layer,152,2km to less than 5km,303
1,2021,E02006080,2021 super output areas - middle layer,152,5km to less than 10km,533
2,2021,E02006080,2021 super output areas - middle layer,152,10km to less than 20km,354
3,2021,E02006080,2021 super output areas - middle layer,152,20km to less than 30km,128
4,2021,E02006080,2021 super output areas - middle layer,152,30km to less than 40km,86
5,2021,E02006080,2021 super output areas - middle layer,152,40km to less than 60km,61
6,2021,E02006080,2021 super output areas - middle layer,152,60km and over,89
7,2021,E02006080,2021 super output areas - middle layer,152,Works mainly from home,1083
8,2021,E02006080,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",508
9,2021,E02006081,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2524
10,2021,E02006081,2021 super output areas - middle layer,152,Less than 2km,86
11,2021,E02006081,2021 super output areas - middle layer,152,2km to less than 5km,159
12,2021,E02006081,2021 super output areas - middle layer,152,5km to less than 10km,165
13,2021,E02006081,2021 super output areas - middle layer,152,10km to less than 20km,533
14,2021,E02006081,2021 super output areas - middle layer,152,20km to less than 30km,141
15,2021,E02006081,2021 super output areas - middle layer,152,30km to less than 40km,50
16,2021,E02006081,2021 super output areas - middle layer,152,40km to less than 60km,46
17,2021,E02006081,2021 super output areas - middle layer,152,60km and over,31
18,2021,E02006081,2021 super output areas - middle layer,152,Works mainly from home,856
19,2021,E02006081,2021 super output areas - middle layer,152,"Works mainly at an offshore installation, in no fixed place, or outside the UK",457
20,2021,E02006082,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3270
21,2021,E02006082,2021 super output areas - middle layer,152,Less than 2km,159
22,2021,E02006082,2021 super output areas - middle layer,152,2km to less than 5km,265
23,2021,E02006082,2021 super output areas - middle layer,152,5km to less than 10km,368
24,2021,E02006082,2021 super output areas - middle layer,152,10km to less than 20km,674
25,2021,E02006082,2021 super output areas - middle layer,152,20km to less than 30km,162
