,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HIQUAL_8_NAME,OBS_VALUE
0,2021,E02003086,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5340
1,2021,E02003086,2021 super output areas - middle layer,152,No qualifications,938
2,2021,E02003086,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,533
3,2021,E02003086,2021 super output areas - middle layer,152,Level 2 qualifications,876
4,2021,E02003086,2021 super output areas - middle layer,152,Apprenticeship,322
5,2021,E02003086,2021 super output areas - middle layer,152,Level 3 qualifications,907
6,2021,E02003086,2021 super output areas - middle layer,152,Level 4 qualifications or above,1575
7,2021,E02003086,2021 super output areas - middle layer,152,Other qualifications,189
8,2021,E02003087,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,9000
9,2021,E02003087,2021 super output areas - middle layer,152,No qualifications,1537
10,2021,E02003087,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,964
11,2021,E02003087,2021 super output areas - middle layer,152,Level 2 qualifications,1310
12,2021,E02003087,2021 super output areas - middle layer,152,Apprenticeship,612
13,2021,E02003087,2021 super output areas - middle layer,152,Level 3 qualifications,1697
14,2021,E02003087,2021 super output areas - middle layer,152,Level 4 qualifications or above,2617
15,2021,E02003087,2021 super output areas - middle layer,152,Other qualifications,263
16,2021,E02003088,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,7530
17,2021,E02003088,2021 super output areas - middle layer,152,No qualifications,964
18,2021,E02003088,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,602
19,2021,E02003088,2021 super output areas - middle layer,152,Level 2 qualifications,997
20,2021,E02003088,2021 super output areas - middle layer,152,Apprenticeship,414
21,2021,E02003088,2021 super output areas - middle layer,152,Level 3 qualifications,1290
22,2021,E02003088,2021 super output areas - middle layer,152,Level 4 qualifications or above,3082
23,2021,E02003088,2021 super output areas - middle layer,152,Other qualifications,181
24,2021,E02003089,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,4919
25,2021,E02003089,2021 super output areas - middle layer,152,No qualifications,962
26,2021,E02003089,2021 super output areas - middle layer,152,Level 1 and entry level qualifications,531
27,2021,E02003089,2021 super output areas - middle layer,152,Level 2 qualifications,769
28,2021,E02003089,2021 super output areas - middle layer,152,Apprenticeship,332
29,2021,E02003089,2021 super output areas - middle layer,152,Level 3 qualifications,803
30,2021,E02003089,2021 super output areas - middle layer,152,Level 4 qualifications or above,1386
