,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HH_HRP_VETERAN_5_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All households,3103
1,2021,E02000959,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,33
2,2021,E02000959,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,16
3,2021,E02000959,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,2
4,2021,E02000959,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,3052
5,2021,E02007083,2021 super output areas - middle layer,152,Total: All households,4106
6,2021,E02007083,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,27
7,2021,E02007083,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,28
8,2021,E02007083,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,2
9,2021,E02007083,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,4049
10,2021,E02007084,2021 super output areas - middle layer,152,Total: All households,4137
11,2021,E02007084,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,37
12,2021,E02007084,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,21
13,2021,E02007084,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,2
14,2021,E02007084,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,4077
15,2021,E02000960,2021 super output areas - middle layer,152,Total: All households,2781
16,2021,E02000960,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,35
17,2021,E02000960,2021 super output areas - middle layer,152,Household reference person previously served in reserve UK armed forces,22
18,2021,E02000960,2021 super output areas - middle layer,152,Household reference person previously served in both regular and reserve UK armed forces,3
19,2021,E02000960,2021 super output areas - middle layer,152,Household reference person has not previously served in regular or reserve UK armed forces,2721
20,2021,E02000961,2021 super output areas - middle layer,152,Total: All households,4068
21,2021,E02000961,2021 super output areas - middle layer,152,Household reference person previously served in regular UK armed forces,32
