,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELMULT_7_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4330
1,2021,E02002483,2021 super output areas - middle layer,152,One-person household,1183
2,2021,E02002483,2021 super output areas - middle layer,152,Multi-person household,3147
3,2021,E02002483,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,58
4,2021,E02002483,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1541
5,2021,E02002483,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),863
6,2021,E02002483,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),673
7,2021,E02002483,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),12
8,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4591
9,2021,E02002484,2021 super output areas - middle layer,152,One-person household,1655
10,2021,E02002484,2021 super output areas - middle layer,152,Multi-person household,2936
11,2021,E02002484,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,51
12,2021,E02002484,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1196
13,2021,E02002484,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),1107
14,2021,E02002484,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),566
15,2021,E02002484,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),16
16,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3539
17,2021,E02002485,2021 super output areas - middle layer,152,One-person household,1202
18,2021,E02002485,2021 super output areas - middle layer,152,Multi-person household,2337
19,2021,E02002485,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,58
20,2021,E02002485,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),963
21,2021,E02002485,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),862
22,2021,E02002485,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),441
23,2021,E02002485,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),13
24,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3239
25,2021,E02002489,2021 super output areas - middle layer,152,One-person household,1459
26,2021,E02002489,2021 super output areas - middle layer,152,Multi-person household,1780
27,2021,E02002489,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,46
28,2021,E02002489,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),732
29,2021,E02002489,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),650
30,2021,E02002489,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),340
31,2021,E02002489,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),12
32,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2646
33,2021,E02002490,2021 super output areas - middle layer,152,One-person household,948
34,2021,E02002490,2021 super output areas - middle layer,152,Multi-person household,1698
35,2021,E02002490,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,36
36,2021,E02002490,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),780
37,2021,E02002490,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),558
38,2021,E02002490,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),320
39,2021,E02002490,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),4
40,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
41,2021,E02002491,2021 super output areas - middle layer,152,One-person household,966
42,2021,E02002491,2021 super output areas - middle layer,152,Multi-person household,1845
43,2021,E02002491,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,43
44,2021,E02002491,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),788
45,2021,E02002491,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),630
46,2021,E02002491,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),370
47,2021,E02002491,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),14
48,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2975
49,2021,E02002492,2021 super output areas - middle layer,152,One-person household,965
50,2021,E02002492,2021 super output areas - middle layer,152,Multi-person household,2010
51,2021,E02002492,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,41
52,2021,E02002492,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),927
53,2021,E02002492,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),631
54,2021,E02002492,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),404
55,2021,E02002492,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),7
56,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
57,2021,E02002493,2021 super output areas - middle layer,152,One-person household,827
58,2021,E02002493,2021 super output areas - middle layer,152,Multi-person household,2128
59,2021,E02002493,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,55
60,2021,E02002493,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1170
