,GEOGRAPHY_CODE,All household spaces - with no residents - second residence/holiday accommodation,All household spaces - with no residents - vacant,All household spaces - with residents,Caravan or other mobile or temporary structure,"Flat, maisonette or apartment - in a commercial building","Flat, maisonette or apartment - in a purpose built block of flats or tenement","Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",Whole house or bungalow - detatched,Whole house or bungalow - semi-detatched,Whole house or bungalow - terraced
0,E02000001,0.11134163208852006,0.046795758414015676,4338.0,0.0006915629322268327,0.06408483171968649,1.0364223144306133,0.0338865836791148,0.003457814661134163,0.002996772706316275,0.01705855232826187
1,E02000002,0.0018288222384784199,0.02377468910021946,2734.0,0.0010972933430870519,0.006217995610826628,0.3566203365032919,0.011704462326261888,0.032553035844915874,0.27761521580102416,0.3401609363569861
2,E02000003,0.0,0.01744186046511628,3784.0,0.0007928118393234672,0.019556025369978858,0.21643763213530656,0.03805496828752643,0.033562367864693445,0.23678646934460887,0.4730443974630021
3,E02000004,0.0,0.015,2400.0,0.0,0.00875,0.115,0.020833333333333332,0.0375,0.33958333333333335,0.49333333333333335
4,E02000005,0.0,0.012214218603194488,3193.0,0.0,0.008142812402129659,0.07140620106482931,0.028186658315064204,0.01816473535859693,0.17099906044472282,0.7153147510178516
5,E02000006,0.0008525149190110827,0.0196078431372549,3519.0,0.0,0.018186984938903097,0.08922989485649332,0.020176186416595625,0.020744529695936344,0.23671497584541062,0.6345552713839159
6,E02000007,0.0,0.017787157069641242,3317.0,0.0,0.006632499246306904,0.39674404582454026,0.012059089538739826,0.013566475731082304,0.20952668073560446,0.378956888754899
7,E02000008,0.0006651884700665188,0.016407982261640797,4510.0,0.0,0.007317073170731708,0.12882483370288247,0.030598669623059866,0.02195121951219512,0.16496674057649668,0.6631929046563193
8,E02000009,0.001228878648233487,0.015053763440860216,3255.0,0.0009216589861751152,0.026113671274961597,0.12473118279569892,0.01966205837173579,0.026113671274961597,0.22457757296466974,0.5941628264208909
9,E02000010,0.0,0.011686670878079595,3166.0,0.0,0.0022109917877447885,0.07138344914718889,0.028427037271004423,0.02337334175615919,0.16993051168667087,0.7163613392293114
10,E02000011,0.0,0.011754462342185459,2297.0,0.0,0.0174140182847192,0.18154114061819765,0.022638223770134958,0.055724858511101434,0.21636917718763604,0.5180670439703962
11,E02000012,0.0,0.0036850921273031824,2985.0,0.0,0.006700167504187605,0.19095477386934673,0.010050251256281407,0.010050251256281407,0.2020100502512563,0.5839195979899497
12,E02000013,0.0,0.01674179008370895,3106.0,0.0,0.009336767546683838,0.08918222794591114,0.023824855119124275,0.026722472633612365,0.19671603348358016,0.6712813908564069
13,E02000014,0.0008424599831508003,0.015725919685481607,3561.0,0.0,0.007862959842740803,0.06908171861836562,0.02639707947205841,0.023869699522606008,0.11654029766919405,0.7728166245436675
14,E02000015,0.0,0.018861569552037723,2969.0,0.0,0.013472549680026945,0.51498821151903,0.01481980464802964,0.023913775682047826,0.19164701919838328,0.2606938363085214
15,E02000016,0.0025010421008753647,0.012505210504376824,2399.0,0.0025010421008753647,0.038766152563568156,0.6265110462692789,0.03459774906210921,0.014589412255106295,0.0637765735723218,0.2342642767819925
16,E02000017,0.0010676156583629894,0.003914590747330961,2810.0,0.0,0.016370106761565837,0.15516014234875444,0.053736654804270464,0.0298932384341637,0.13523131672597866,0.6142348754448399
17,E02000018,0.0022307202039515616,0.019757807520713832,3138.0,0.0009560229445506692,0.014021669853409816,0.1577437858508604,0.016889738687061822,0.02517527087316762,0.12715105162523901,0.6806883365200764
18,E02000019,0.0,0.011332417582417582,2912.0,0.0,0.002403846153846154,0.06078296703296703,0.009958791208791208,0.02300824175824176,0.15762362637362637,0.757554945054945
19,E02000020,0.0,0.02112232030264817,3172.0,0.0012610340479192938,0.006620428751576293,0.18190416141235813,0.02711223203026482,0.01733921815889029,0.1932534678436318,0.5939470365699874
20,E02000021,0.0010463899546564353,0.021974189047785142,2867.0,0.0010463899546564353,0.012556679455877224,0.10429019881409138,0.03767003836763167,0.019532612486920127,0.16428322288106034,0.6836414370422044
21,E02000022,0.0,0.025254428948360347,2653.0,0.0011307953260459858,0.003392385978137957,0.8220882020354315,0.025254428948360347,0.007538635506973238,0.03580851865812288,0.13079532604598568
22,E02000023,0.0011876484560570072,0.011876484560570071,2526.0,0.0,0.007521773555027712,0.5649247822644498,0.02573238321456849,0.00870942201108472,0.09065716547901821,0.3147268408551069
23,E02000024,0.0028916929547844372,0.02365930599369085,3804.0,0.0,0.02050473186119874,0.17875920084121977,0.07754994742376446,0.17087276550998948,0.3646161934805468,0.21398527865404837
24,E02000025,0.0019982871824150727,0.024835854981444475,3503.0,0.0,0.009420496717099628,0.4099343419925778,0.0853554096488724,0.10019982871824151,0.31601484441906935,0.10562375107051099
25,E02000026,0.0023734177215189874,0.027294303797468354,2528.0,0.0,0.005537974683544304,0.1886867088607595,0.056566455696202535,0.15822784810126583,0.4778481012658228,0.14280063291139242
26,E02000027,0.0008079719903043361,0.016159439806086723,3713.0,0.0,0.005925127928898465,0.31430110422838675,0.03285752760570967,0.06409911123081066,0.3428494478858066,0.25612712092647455
27,E02000028,0.002127659574468085,0.025106382978723404,2350.0,0.001276595744680851,0.019148936170212766,0.33106382978723403,0.05702127659574468,0.0902127659574468,0.4297872340425532,0.09957446808510638
28,E02000029,0.0027149321266968325,0.02081447963800905,3315.0,0.0,0.03680241327300151,0.29743589743589743,0.08838612368024133,0.06726998491704374,0.29079939668174964,0.2425339366515837
