,GEOGRAPHY_CODE,Disabled under the Equality Act,Disabled under the Equality Act: Day-to-day activities limited a little,Disabled under the Equality Act: Day-to-day activities limited a lot,Not disabled under the Equality Act,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Not disabled under the Equality Act: No long term physical or mental health conditions,Total: All usual residents
0,E02000001,0.1070721193056041,0.07444949318420133,0.03262262612140277,0.8929278806943959,0.07584760573226144,0.8170802749621344,8583.0
1,E02000002,0.1552952541963531,0.07474942639777804,0.08054582779857505,0.8447047458036469,0.03791812583021374,0.8067866199734332,8281.0
2,E02000003,0.12242245711315197,0.06827239646508404,0.054150060648067926,0.8775775428868481,0.03924796395771963,0.8383295789291284,11542.0
3,E02000004,0.14984939759036145,0.07966867469879518,0.07018072289156627,0.8501506024096386,0.04653614457831325,0.8036144578313253,6640.0
4,E02000005,0.12516920855518454,0.0670517101344644,0.05811749842072015,0.8748307914448155,0.03709051529645339,0.8377402761483621,11081.0
5,E02000007,0.15774453847667783,0.08177524109427278,0.07596929738240504,0.8422554615233222,0.03827986616807715,0.803975595355245,10162.0
6,E02000008,0.15728301886792453,0.08128301886792452,0.076,0.8427169811320755,0.039547169811320754,0.8031698113207547,13250.0
7,E02000009,0.12269652437602052,0.06251457895964543,0.06018194541637509,0.8773034756239795,0.033045641862996654,0.8442578337609828,12861.0
8,E02000010,0.13621507643647865,0.06968898260411176,0.06652609383236689,0.8637849235635213,0.04048497627833421,0.8232999472851872,9485.0
9,E02000011,0.13810268809557674,0.07353150334234106,0.06457118475323567,0.8618973119044233,0.03498791068126867,0.8269094012231546,7031.0
10,E02000012,0.11659426585577759,0.06533449174630755,0.051259774109470024,0.8834057341442224,0.03379669852302346,0.8496090356211989,11510.0
11,E02000013,0.14556288572036605,0.07448393275164929,0.07107895296871675,0.854437114279634,0.039050861885507555,0.8153862523941264,9398.0
12,E02000014,0.15205271160669032,0.08018246325392803,0.07187024835276229,0.8479472883933097,0.03710086163203244,0.8108464267612773,9865.0
13,E02000015,0.14037433155080214,0.07681088964511425,0.0635634419056879,0.8596256684491979,0.03074866310160428,0.8288770053475936,8228.0
14,E02000016,0.09661241483724452,0.05677517032551098,0.03983724451173354,0.9033875851627555,0.032361847085541254,0.8710257380772143,10568.0
15,E02000017,0.11934742143873864,0.06350596737107193,0.055841454067666704,0.8806525785612613,0.027701740939450346,0.852950837621811,9133.0
16,E02000018,0.1419746623390221,0.0756988796984609,0.06627578264056119,0.8580253376609779,0.03444665480054444,0.8235786828604335,9551.0
17,E02000019,0.14333022870744075,0.07678774707647729,0.06654248163096346,0.8566697712925593,0.0388078236572493,0.81786194763531,9663.0
18,E02000020,0.10771967271433654,0.056065457132692995,0.05165421558164354,0.8922803272856634,0.03479188900747065,0.8574884382781928,14055.0
19,E02000021,0.12455759789930357,0.060851695399018156,0.06370590250028542,0.8754424021006965,0.036077177760018266,0.8393652243406782,8759.0
20,E02000022,0.09779098307712182,0.05645265469577574,0.04133832838134608,0.9022090169228781,0.027128278000258365,0.8750807389226198,7741.0
21,E02000023,0.1308143159995012,0.06384836014465645,0.06696595585484474,0.8691856840004988,0.031674772415513155,0.8375109115849857,8019.0
22,E02000024,0.14057743750576515,0.08560095932109583,0.05497647818466931,0.8594225624942349,0.0689050825569597,0.7905174799372752,10841.0
23,E02000025,0.15649032859473316,0.08948962945700303,0.06700069913773013,0.8435096714052669,0.06478676299230948,0.7787229084129573,8582.0
24,E02000026,0.13551184760724794,0.07820969490475453,0.05730215270249342,0.864488152392752,0.06303236797274275,0.8014557844200093,6457.0
25,E02000027,0.15984243806364673,0.084274904115269,0.07556753394837773,0.8401575619363533,0.057219861096714,0.7829377008396393,9647.0
26,E02000028,0.12398591764885963,0.07270779121383744,0.05127812643502219,0.8760140823511403,0.06367671819990815,0.8123373641512323,6533.0
27,E02000029,0.13267203967761934,0.08018185575532134,0.052490183922298,0.8673279603223807,0.05259351105600331,0.8147344492663774,9678.0
28,E02000030,0.12953367875647667,0.06989531563920905,0.05963836311726763,0.8704663212435233,0.05699481865284974,0.8134715025906736,9457.0
29,E02000031,0.1334773736646261,0.07298043452166607,0.06049693914296003,0.8665226263353739,0.05521546032889209,0.8113071660064818,8331.0
30,E02000032,0.13125078725280262,0.0796070034009321,0.05164378385187051,0.8687492127471974,0.05592643909812319,0.8128227736490742,7939.0
31,E02000033,0.1400292430547745,0.08019345405466202,0.05983578900011247,0.8599707569452255,0.058148689686199524,0.8018220672590259,8891.0
32,E02000034,0.12720070422535212,0.06877200704225352,0.058428697183098594,0.8727992957746479,0.05314700704225352,0.8196522887323944,9088.0
33,E02000035,0.13587338804220397,0.076905041031653,0.058968347010550995,0.864126611957796,0.0570926143024619,0.8070339976553341,8530.0
34,E02000036,0.12495553183920313,0.06732479544646033,0.0576307363927428,0.8750444681607968,0.05158306652436855,0.8234614016364283,11244.0
35,E02000037,0.11935751869288286,0.0677559309517216,0.05160158774116127,0.8806424813071172,0.05169389827379304,0.8289485830333241,10833.0
36,E02000038,0.1399384270920795,0.07463382778244239,0.0653045993096371,0.8600615729079205,0.05401623285754268,0.8060453400503779,10719.0
37,E02000039,0.1064453125,0.06166294642857143,0.04478236607142857,0.8935546875,0.05510602678571429,0.8384486607142857,7168.0
38,E02000040,0.13382208119050223,0.07495349600612758,0.058868585184374655,0.8661779188094978,0.0504431557063136,0.8157347631031842,9139.0
39,E02000041,0.1239555790586991,0.06758328926493919,0.05637228979375992,0.8760444209413009,0.04399788471708091,0.83204653622422,9455.0
40,E02000042,0.14473570378060385,0.08149493900856475,0.0632407647720391,0.8552642962193961,0.05285924387922831,0.8024050523401678,11559.0
41,E02000043,0.11334214002642008,0.06723910171730516,0.04610303830911493,0.8866578599735799,0.053500660501981503,0.8331571994715984,7570.0
42,E02000044,0.13150158299412032,0.06806874717322478,0.06343283582089553,0.8684984170058797,0.04002713704206241,0.8284712799638173,8844.0
43,E02000045,0.13961224101881772,0.07146930241398973,0.06814293860482798,0.8603877589811822,0.05008553506937845,0.8103022239118038,10522.0
44,E02000046,0.10921109354792355,0.06595775255065384,0.04325334099726972,0.8907889064520764,0.06150308952435695,0.8292858169277195,6959.0
45,E02000047,0.1272081955311769,0.06380575945793338,0.06340243607324353,0.8727918044688231,0.034201823021698795,0.8385899814471243,12397.0
46,E02000048,0.1161026837806301,0.06728899260987943,0.048813691170750684,0.8838973162193698,0.05532866588875924,0.8285686503306107,10284.0
47,E02000049,0.1277060387390809,0.06503987846562856,0.06266616027345234,0.8722939612609191,0.03579567033801747,0.8364982909229016,10532.0
48,E02000050,0.14569281171709386,0.08132588167276932,0.06436693004432453,0.8543071882829062,0.06282520716901137,0.7914819811138948,10378.0
49,E02000051,0.1269650655021834,0.07347161572052402,0.05349344978165939,0.8730349344978166,0.057532751091703055,0.8155021834061136,9160.0
50,E02000052,0.13271730300568643,0.08377335499593826,0.048943948009748175,0.8672826969943136,0.06823720552396426,0.7990454914703493,9848.0
51,E02000054,0.12750622461014283,0.07194338880880619,0.055562835801336655,0.8724937753898572,0.04652077054121347,0.8259730048486437,7631.0
52,E02000055,0.11599147121535182,0.07010660980810235,0.04588486140724947,0.8840085287846482,0.0396588486140725,0.8443496801705757,11725.0
53,E02000056,0.10714285714285714,0.06507449605609114,0.042068361086765996,0.8928571428571429,0.058720420683610865,0.834136722173532,9128.0
54,E02000057,0.10957194558841882,0.06402096593036316,0.04555097965805566,0.8904280544115811,0.03906152502183951,0.8513665293897417,8013.0
55,E02000058,0.11567419575633128,0.06776180698151951,0.04791238877481177,0.8843258042436687,0.05690818421824582,0.8274176200254229,10227.0
56,E02000059,0.11603302941682436,0.06115602958885257,0.054876999827971784,0.8839669705831756,0.039824531223120595,0.8441424393600551,11626.0
57,E02000060,0.11707190447347927,0.0562429696287964,0.06082893484468287,0.8829280955265207,0.0407545210694817,0.842173574457039,11557.0
58,E02000061,0.1304973037747154,0.06998202516476933,0.06051527860994608,0.8695026962252846,0.050928699820251645,0.8185739964050329,8345.0
59,E02000062,0.13509629203794193,0.07257832710549009,0.06251796493245185,0.8649037079620581,0.03765449841908594,0.8272492095429721,6958.0
60,E02000063,0.13212025316455697,0.06540084388185655,0.06671940928270043,0.867879746835443,0.0402162447257384,0.8276635021097046,7584.0
61,E02000064,0.13037614266446876,0.06938408511913682,0.060992057545331935,0.8696238573355313,0.049602877266596734,0.8200209800689345,6673.0
62,E02000065,0.12118580997271149,0.06400396923840238,0.057181840734309104,0.8788141900272886,0.04465393202679236,0.8341602580004962,8062.0
63,E02000066,0.15323435843054084,0.08218451749734888,0.07104984093319194,0.8467656415694592,0.04485683987274655,0.8019088016967126,9430.0
64,E02000067,0.1402737047898338,0.08220918866080157,0.05806451612903226,0.8597262952101662,0.047898338220918865,0.8118279569892473,10230.0
65,E02000068,0.150073385518591,0.08598336594911937,0.06409001956947162,0.849926614481409,0.052959882583170255,0.7969667318982387,8176.0
66,E02000069,0.15183028286189684,0.08582917359955629,0.06600110926234054,0.8481697171381032,0.05587909040488075,0.7922906267332224,7212.0
67,E02000070,0.154766309039339,0.09027007029226786,0.06449623874707115,0.845233690960661,0.06437291897891231,0.7808607719817486,8109.0
