,GEOGRAPHY_CODE,Family member or partner of staff or owner,Resident,Resident: Female: Aged 0 to 15 years,Resident: Female: Aged 16 to 24 years,Resident: Female: Aged 25 to 34 years,Resident: Female: Aged 35 to 49 years,Resident: Female: Aged 50 to 64 years,Resident: Female: Aged 65 to 74 years,Resident: Female: Aged 75 to 84 years,Resident: Female: Aged 85 years and over,Resident: Male: Aged 0 to 15 years,Resident: Male: Aged 16 to 24 years,Resident: Male: Aged 25 to 34 years,Resident: Male: Aged 35 to 49 years,Resident: Male: Aged 50 to 64 years,Resident: Male: Aged 65 to 74 years,Resident: Male: Aged 75 to 84 years,Resident: Male: Aged 85 years and over,Resident:Female,Resident:Male,Staff or owner,Staying temporarily (no usual UK address),Total: All usual residents in communal establishments
0,E02000001,0.019138755980861243,0.8708133971291866,0.0,0.11483253588516747,0.023923444976076555,0.03827751196172249,0.028708133971291867,0.009569377990430622,0.0,0.0,0.11483253588516747,0.11483253588516747,0.08133971291866028,0.1722488038277512,0.12440191387559808,0.03827751196172249,0.009569377990430622,0.0,0.215311004784689,0.6555023923444976,0.019138755980861243,0.09090909090909091,209.0
1,E02000002,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.17391304347826086,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.10869565217391304,0.6304347826086957,0.32608695652173914,0.0,0.043478260869565216,46.0
2,E02000003,0.0,1.0,0.0,0.0,0.0,0.20833333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.375,0.625,0.0,0.0,24.0
3,E02000004,0.0,0.9418604651162791,0.0,0.040697674418604654,0.03488372093023256,0.0,0.01744186046511628,0.05813953488372093,0.06395348837209303,0.19186046511627908,0.0,0.12209302325581395,0.22093023255813954,0.01744186046511628,0.046511627906976744,0.029069767441860465,0.040697674418604654,0.05813953488372093,0.4069767441860465,0.5348837209302325,0.0,0.05813953488372093,172.0
4,E02000005,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,E02000007,0.018691588785046728,0.6915887850467289,0.018691588785046728,0.009345794392523364,0.037383177570093455,0.009345794392523364,0.018691588785046728,0.04672897196261682,0.07476635514018691,0.2523364485981308,0.009345794392523364,0.0,0.0,0.009345794392523364,0.028037383177570093,0.056074766355140186,0.04672897196261682,0.07476635514018691,0.4672897196261682,0.22429906542056074,0.0,0.2897196261682243,107.0
6,E02000008,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.3,0.1,0.2,0.0,0.0,0.0,0.4,0.6,0.0,0.0,10.0
7,E02000009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,E02000010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
9,E02000011,0.0,1.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.039603960396039604,0.1485148514851485,0.3069306930693069,0.0,0.0,0.0,0.009900990099009901,0.07920792079207921,0.039603960396039604,0.21782178217821782,0.1188118811881188,0.5346534653465347,0.46534653465346537,0.0,0.0,101.0
