,GEOGRAPHY_CODE,Household reference person has not previously served in regular or reserve UK armed forces,Household reference person previously served in both regular and reserve UK armed forces,Household reference person previously served in regular UK armed forces,Household reference person previously served in reserve UK armed forces,Total: All households
0,E02000001,0.9768009768009768,0.0010175010175010174,0.013227513227513227,0.008954008954008955,4914.0
1,E02000002,0.9762983617985361,0.0006971070059254096,0.01812478215406065,0.004879749041477867,2869.0
2,E02000003,0.9760753372359379,0.0017816238228556885,0.014252990582845508,0.007890048358360905,3929.0
3,E02000004,0.9683982683982684,0.0012987012987012987,0.02207792207792208,0.008225108225108226,2310.0
4,E02000005,0.9765581908439052,0.0,0.01847766133480419,0.004964147821290678,3626.0
5,E02000007,0.9787755102040816,0.0008163265306122449,0.016598639455782313,0.0038095238095238095,3675.0
6,E02000008,0.9781479878840329,0.0010817827780181739,0.016010385114668974,0.004759844223279966,4622.0
7,E02000009,0.9748472026328162,0.0011753643629525152,0.01857075693464974,0.0054066760695815706,4254.0
8,E02000010,0.9804628794709949,0.0,0.015028554253080854,0.004508566275924256,3327.0
9,E02000011,0.9694137638062872,0.0016992353440951572,0.022939677145284623,0.00594732370433305,2354.0
10,E02000012,0.9783931832014607,0.0,0.014911746804625686,0.006695069993913573,3286.0
11,E02000013,0.978173993237012,0.0009222256378727329,0.016600061481709193,0.004303719643406086,3253.0
12,E02000014,0.9757897844700325,0.0002952465308532625,0.018305284912902273,0.005609684086211987,3387.0
13,E02000015,0.978246539222149,0.000988793671720501,0.013183915622940013,0.007580751483190508,3034.0
14,E02000016,0.9915988448411657,0.0,0.004463113678130743,0.0039380414807035965,3809.0
15,E02000017,0.9873371924746743,0.000723589001447178,0.007959479015918957,0.003979739507959479,2764.0
16,E02000018,0.9755720470006184,0.0006184291898577613,0.015769944341372914,0.008039579468150896,3234.0
17,E02000019,0.9791016843418591,0.0009357454772301934,0.014971927635683094,0.004990642545227698,3206.0
18,E02000020,0.9803040034253907,0.00042817383857846286,0.014343823592378506,0.004923999143652323,4671.0
19,E02000021,0.9791808873720137,0.0006825938566552901,0.013993174061433447,0.0061433447098976105,2930.0
20,E02000022,0.9931972789115646,0.0,0.004296455424274973,0.002506265664160401,2793.0
21,E02000023,0.9853438556933484,0.0,0.010522360015031942,0.004133784291619692,2661.0
22,E02000024,0.9691757873576056,0.0013401831583649765,0.022559749832477105,0.006924279651552379,4477.0
23,E02000025,0.9738387613454351,0.0,0.020822210357714897,0.005339028296849973,3746.0
24,E02000026,0.9609872611464968,0.0011942675159235668,0.027070063694267517,0.010748407643312101,2512.0
25,E02000027,0.9715061058344641,0.0008141112618724559,0.019810040705563095,0.007869742198100407,3685.0
26,E02000028,0.9713861018208845,0.0011148272017837235,0.021553325901151988,0.005945745076179859,2691.0
