,GEOGRAPHY_CODE,All categories: Living arrangements,Living in a couple,Living in a couple: Cohabiting,Living in a couple: Married or re-married,Not living in a couple,Not living in a couple: Divorced,Not living in a couple: Married or re-married,Not living in a couple: Separated (but still legally married),Not living in a couple: Single (never married),Not living in a couple: Widowed
0,E02000001,6230.0,0.39101123595505616,0.12808988764044943,0.26292134831460673,0.6089887640449438,0.07319422150882825,0.05248796147672552,0.02857142857142857,0.4032102728731942,0.051524879614767254
1,E02000002,4791.0,0.5134627426424546,0.09183886453767481,0.4216238781047798,0.4865372573575454,0.07618451262784387,0.010644959298685034,0.024420788979336257,0.25756627008975164,0.11772072636192861
2,E02000003,7278.0,0.5781808189062929,0.09343226161033251,0.48474855729596045,0.4218191810937071,0.06224237427864798,0.011679032701291564,0.017037647705413574,0.2460840890354493,0.08477603737290465
3,E02000004,4663.0,0.6347844735149045,0.11022946600900707,0.5245550075058975,0.3652155264850954,0.049753377653870896,0.008792622775037529,0.012867252841518335,0.21252412609907784,0.08127814711559082
4,E02000005,6011.0,0.5845949093328897,0.09915155548161704,0.4854433538512727,0.4154050906671103,0.06488105140575612,0.01031442355681251,0.022791548827150225,0.2270836799201464,0.09033438695724505
5,E02000006,6584.0,0.540097205346294,0.10267314702308628,0.4374240583232078,0.4599027946537059,0.06743620899149454,0.010479951397326853,0.02764277035236938,0.2623025516403402,0.09204131227217496
6,E02000007,5761.0,0.5089394202395418,0.10275993751084882,0.4061794827286929,0.49106057976045825,0.07550772435341087,0.012844992188856102,0.02690505120638778,0.2749522652317306,0.10085054678007291
7,E02000008,8120.0,0.5394088669950738,0.10246305418719212,0.43694581280788175,0.4605911330049261,0.06970443349753695,0.010221674876847291,0.022167487684729065,0.2461822660098522,0.1123152709359606
8,E02000009,6169.0,0.5080239909223537,0.10633814232452586,0.40168584859782785,0.49197600907764627,0.0727832711946831,0.014426973577565245,0.026098233100988816,0.3034527476090128,0.07521478359539634
9,E02000010,5941.0,0.5517589631375189,0.1063793974078438,0.44537956572967513,0.44824103686248107,0.06345733041575492,0.0114458845312237,0.025079952869887224,0.24709644840935868,0.10116142063625652
10,E02000011,4519.0,0.5943792874529763,0.08630227926532419,0.5080770081876521,0.4056207125470237,0.04890462491701704,0.008408940030980305,0.01947333480858597,0.24850630670502324,0.08032750608541712
11,E02000012,6016.0,0.6053856382978723,0.06815159574468085,0.5372340425531915,0.39461436170212766,0.0390625,0.010638297872340425,0.012134308510638297,0.24301861702127658,0.08976063829787234
12,E02000013,5816.0,0.5605226960110041,0.09387895460797799,0.4666437414030261,0.43947730398899587,0.06671251719394773,0.010660247592847318,0.024415405777166437,0.24621733149931224,0.09147180192572214
13,E02000014,6765.0,0.5513673318551368,0.09726533628972653,0.4541019955654102,0.44863266814486324,0.06518847006651884,0.01123429416112343,0.01951219512195122,0.2567627494456763,0.0959349593495935
14,E02000015,4915.0,0.4752797558494405,0.11434384537131231,0.3609359104781282,0.5247202441505595,0.08504577822990844,0.010783316378433367,0.038046795523906406,0.2990844354018311,0.09175991861648017
15,E02000016,4207.0,0.4513905395768957,0.0955550273353934,0.3558355122415023,0.5486094604231043,0.07725219871642501,0.026146898027097694,0.04516282386498693,0.3563109103874495,0.043736629427145235
16,E02000017,5849.0,0.539237476491708,0.07830398358693794,0.46093349290477004,0.460762523508292,0.05248760471875534,0.0275260728329629,0.02256796033510002,0.29680287228586083,0.06137801333561293
17,E02000018,5705.0,0.5360210341805434,0.09710780017528484,0.43891323400525856,0.46397896581945663,0.07063978965819456,0.010692375109553023,0.027870289219982473,0.25363716038562667,0.10113935144609991
18,E02000019,5506.0,0.5951689066472938,0.11278605158009444,0.4823828550671994,0.4048310933527061,0.05884489647657101,0.007809662186705413,0.024337086814384307,0.23992008717762442,0.073919360697421
19,E02000020,5809.0,0.515407126872095,0.07574453434326046,0.43966259252883455,0.484592873127905,0.06817008090893441,0.02100189361335858,0.025477707006369428,0.26338440351179204,0.1065587880874505
20,E02000021,5474.0,0.5783704786262331,0.103032517354768,0.4753379612714651,0.4216295213737669,0.0659481183777859,0.0144318597004019,0.023017902813299233,0.25210084033613445,0.06613080014614542
21,E02000022,4273.0,0.4123566580856541,0.11748186285981746,0.29487479522583665,0.5876433419143459,0.09571729464076761,0.03721039082611748,0.04961385443482331,0.351509478118418,0.053592323894219515
22,E02000023,4218.0,0.4777145566619251,0.1339497392128971,0.343764817449028,0.5222854433380749,0.07657657657657657,0.01944049312470365,0.036036036036036036,0.31934566145092463,0.07088667614983404
23,E02000024,7268.0,0.6059438635112824,0.08282883874518437,0.523115024766098,0.3940561364887177,0.05324711062190424,0.007567418822234453,0.015822784810126583,0.24064391854705558,0.07677490368739681
24,E02000025,6159.0,0.5526871245332035,0.1130053580126644,0.43968176652053903,0.44731287546679654,0.06543270011365482,0.006656924825458679,0.025328787140769606,0.27471992206527035,0.07517454132164313
25,E02000026,4913.0,0.6244657032363118,0.06798290250356198,0.5564828007327498,0.37553429676368816,0.0429472827193161,0.005495623855078364,0.014247913698351313,0.24424994911459394,0.06859352737634847
26,E02000027,6959.0,0.5463428653542176,0.09024285098433683,0.45610001436988074,0.45365713464578244,0.06739474062365282,0.011495904583991953,0.0239977008190832,0.2809311682713033,0.06983762034775111
27,E02000028,4473.0,0.5987033310976972,0.07601162530739995,0.5226917057902973,0.4012966689023027,0.05119606528057232,0.008048289738430584,0.017885088307623517,0.257768835233624,0.06639839034205232
28,E02000029,6094.0,0.5664588119461765,0.1063340991138825,0.46012471283229406,0.4335411880538234,0.05825402034788316,0.007548408270429931,0.023629799803085,0.28437807679684934,0.059730882835575975
29,E02000030,6952.0,0.6441311852704258,0.059263521288837745,0.5848676639815881,0.3558688147295742,0.043872266973532796,0.009925201380897584,0.015678941311852705,0.2126006904487917,0.07379171461449942
30,E02000031,5652.0,0.6217268223637651,0.05343241330502477,0.5682944090587403,0.37827317763623497,0.044585987261146494,0.0074309978768577496,0.014331210191082803,0.23496107572540695,0.07696390658174097
31,E02000032,5764.0,0.6422623178348369,0.04753643303261624,0.5947258848022207,0.3577376821651631,0.029840388619014575,0.009888965995836226,0.0131852879944483,0.24271339347675225,0.06210964607911173
32,E02000033,5735.0,0.5639058413251962,0.08439407149084568,0.47951176983435045,0.43609415867480383,0.06294681778552746,0.012031386224934612,0.023714036617262423,0.26660854402789885,0.07079337401918047
33,E02000034,6234.0,0.5646454924606994,0.0879050368944498,0.4767404555662496,0.4353545075393006,0.05293551491819057,0.011870388193776067,0.014436958614051972,0.2837664420917549,0.07234520372152711
34,E02000035,5995.0,0.5571309424520434,0.09140950792326939,0.46572143452877396,0.44286905754795663,0.05454545454545454,0.01267723102585488,0.01384487072560467,0.2945788156797331,0.06722268557130942
35,E02000036,7354.0,0.5784607016589611,0.059287462605384825,0.5191732390535763,0.42153929834103887,0.05316834375849878,0.011694316018493337,0.019037258634756596,0.25781887408213217,0.07982050584715801
36,E02000037,6890.0,0.613933236574746,0.03686502177068215,0.5770682148040639,0.386066763425254,0.03613933236574746,0.011030478955007257,0.01451378809869376,0.2576197387518142,0.06676342525399129
37,E02000038,6942.0,0.5563238259867473,0.09420916162489196,0.4621146643618554,0.44367617401325266,0.05012964563526361,0.011668107173725151,0.02045520023048113,0.3050993949870354,0.05632382598674734
38,E02000039,4805.0,0.6068678459937565,0.05744016649323621,0.5494276795005203,0.3931321540062435,0.040374609781477624,0.014568158168574402,0.01477627471383975,0.26347554630593134,0.05993756503642039
39,E02000040,4312.0,0.5570500927643784,0.06307977736549165,0.4939703153988868,0.4429499072356215,0.06261595547309833,0.012987012987012988,0.02295918367346939,0.26762523191094617,0.07676252319109463
40,E02000041,5999.0,0.5597599599933322,0.046341056842807135,0.5134189031505251,0.4402400400066678,0.04850808468078013,0.013835639273212201,0.015169194865810968,0.28104684114019,0.08168028004667445
41,E02000042,7492.0,0.5161505605979712,0.09850507207688201,0.4176454885210892,0.48384943940202885,0.05112119594233849,0.017084890549919914,0.018419647624132406,0.31940736785904966,0.07781633742658836
42,E02000043,5458.0,0.6317332356174423,0.0575302308537926,0.5742030047636497,0.36826676438255773,0.033162330524001464,0.0131916452913155,0.01282521069989007,0.2532063026749725,0.05588127519237816
43,E02000044,5682.0,0.509679690249912,0.07145371348116861,0.4382259767687434,0.490320309750088,0.06318197817669835,0.019711369236184443,0.027279127067933825,0.318549806406195,0.06159802886307638
44,E02000045,6992.0,0.4978546910755149,0.11627574370709381,0.3815789473684211,0.5021453089244852,0.06636155606407322,0.02030892448512586,0.02374141876430206,0.3268020594965675,0.06493135011441648
45,E02000046,5033.0,0.5189747665408305,0.11523941982912776,0.40373534671170275,0.4810252334591695,0.048678720445062586,0.009934432743890324,0.018279356248758195,0.34234055235446054,0.06179217166699781
46,E02000047,6963.0,0.4802527646129542,0.07898894154818326,0.40126382306477093,0.5197472353870458,0.06994111733448226,0.02111158983196898,0.028005170185264973,0.3214131839724257,0.07927617406290392
47,E02000048,6235.0,0.5847634322373697,0.05966319165998396,0.5251002405773857,0.4152365677626303,0.05004009623095429,0.01090617481956696,0.01635926222935044,0.27201283079390537,0.06591820368885325
48,E02000049,5376.0,0.45033482142857145,0.0939360119047619,0.35639880952380953,0.5496651785714286,0.0822172619047619,0.03273809523809524,0.044270833333333336,0.3385416666666667,0.05189732142857143
49,E02000050,6896.0,0.5168213457076566,0.09019721577726218,0.42662412993039445,0.4831786542923434,0.05713457076566125,0.01435614849187935,0.022766821345707657,0.3254060324825986,0.06351508120649652
50,E02000051,6240.0,0.5248397435897436,0.06538461538461539,0.4594551282051282,0.4751602564102564,0.046153846153846156,0.016025641025641024,0.014583333333333334,0.3126602564102564,0.08573717948717949
51,E02000052,7343.0,0.4861773117254528,0.14217622225248536,0.3440010894729674,0.5138226882745471,0.06073811793544873,0.012392755004766444,0.02029143401879341,0.35843660629170637,0.06196377502383222
52,E02000053,4974.0,0.4692400482509047,0.06755126658624849,0.4016887816646562,0.5307599517490953,0.04523522316043426,0.02372336147969441,0.025733815842380377,0.37876960193003617,0.05729794933655006
53,E02000054,4902.0,0.5071399428804569,0.0689514483884129,0.43818849449204406,0.49286005711954306,0.05426356589147287,0.016319869441044473,0.014279885760913913,0.35516115871073034,0.05283557731538148
54,E02000055,7277.0,0.4812422701662773,0.05716641473134534,0.424075855434932,0.5187577298337227,0.054005771609179604,0.016352892675553114,0.01951353579771884,0.3563281572076405,0.07255737254363062
55,E02000056,6654.0,0.5888187556357078,0.05139765554553652,0.5374211000901713,0.41118124436429215,0.0404268109407875,0.01923654944394349,0.015028554253080854,0.2738202584911332,0.06266907123534717
56,E02000057,4726.0,0.5476089716462125,0.03977994075327973,0.5078290308929327,0.4523910283537876,0.04295387219636056,0.01946677951756242,0.01396529834955565,0.3108336859923826,0.06517139229792636
57,E02000058,7229.0,0.5284271683497026,0.06778254253700373,0.4606446258126988,0.4715728316502974,0.0485544335316088,0.014801493982570203,0.014801493982570203,0.3112463687923641,0.08216904136118412
58,E02000059,7046.0,0.5083735452739143,0.07238149304569969,0.4359920522282146,0.49162645472608574,0.06031791087141641,0.022849843883054215,0.024269088844734603,0.32046551234743115,0.06372409877944933
59,E02000060,6522.0,0.5173259736277216,0.050291321680466114,0.46703465194725546,0.48267402637227846,0.03219871205151794,0.020852499233364,0.009659613615455382,0.3425329653480527,0.07743023612388837
60,E02000061,5849.0,0.505385535989058,0.06565224824756369,0.4397332877414943,0.49461446401094206,0.04291331851598564,0.021884082749187895,0.012822704735852283,0.36091639596512226,0.05607796204479398
61,E02000062,4301.0,0.45849802371541504,0.10044175773076029,0.35805626598465473,0.541501976284585,0.0639386189258312,0.02278539874447803,0.032550569634968614,0.3513136479888398,0.07091374099046734
62,E02000063,4539.0,0.4930601454064772,0.06389072482925755,0.42916942057721963,0.5069398545935228,0.040757876184181537,0.021590658735404274,0.021810971579643092,0.3663802599691562,0.05640008812513769
63,E02000064,4370.0,0.4233409610983982,0.08375286041189932,0.33958810068649886,0.5766590389016019,0.07437070938215103,0.018535469107551487,0.031578947368421054,0.3837528604118993,0.06842105263157895
64,E02000065,4611.0,0.5924962047278247,0.13359358056820647,0.4589026241596183,0.40750379527217523,0.06484493602255476,0.013879852526566904,0.031446540880503145,0.25959661678594664,0.03773584905660377
65,E02000066,6946.0,0.504750935790383,0.1056723293982148,0.39907860639216813,0.49524906420961706,0.08710048949035416,0.015836452634609848,0.04031097034264325,0.2905269219694788,0.061474229772530954
66,E02000067,5987.0,0.5572072824452982,0.13930182061132454,0.4179054618339736,0.44279271755470184,0.07633205278102556,0.011023885084349424,0.03173542675797562,0.24954067145481879,0.07416068147653249
67,E02000068,4180.0,0.5497607655502392,0.14210526315789473,0.4076555023923445,0.4502392344497608,0.07200956937799043,0.011961722488038277,0.03349282296650718,0.26507177033492824,0.06770334928229665
68,E02000069,4592.0,0.5862369337979094,0.11149825783972125,0.47473867595818814,0.4137630662020906,0.057709059233449475,0.0078397212543554,0.023301393728222996,0.24324912891986064,0.08166376306620209
69,E02000070,6102.0,0.6512618813503769,0.07669616519174041,0.5745657161586365,0.34873811864962306,0.04375614552605703,0.007046869878728286,0.019174041297935103,0.197312356604392,0.08144870534251065
70,E02000071,5523.0,0.6420423682781097,0.10030780372985697,0.5417345645482528,0.35795763172189027,0.049610718812239725,0.007423501720079667,0.020097772949483977,0.21618685497012494,0.06463878326996197
71,E02000072,7693.0,0.5451709346158846,0.1341479266865982,0.41102300792928637,0.45482906538411544,0.08085272325490706,0.008319251267385936,0.03743663070323671,0.26192642662160404,0.06629403353698167
72,E02000073,8195.0,0.6713849908480781,0.06687004270896889,0.6045149481391092,0.3286150091519219,0.03550945698596705,0.005735204392922514,0.012324588163514338,0.19890176937156803,0.07614399023794997
73,E02000074,5625.0,0.5443555555555556,0.10417777777777777,0.4401777777777778,0.45564444444444446,0.0840888888888889,0.0064,0.0272,0.23982222222222221,0.09813333333333334
74,E02000075,6284.0,0.6696371737746658,0.07542966263526417,0.5942075111394016,0.3303628262253342,0.037555697008274984,0.005251432208784214,0.011616804583068109,0.18761935073201783,0.08831954169318905
75,E02000076,4927.0,0.5971179216561803,0.07996752587781611,0.5171503957783641,0.4028820783438198,0.047493403693931395,0.0079155672823219,0.01989039983762939,0.22772478181449157,0.09985792571544551
76,E02000077,5803.0,0.647423746338101,0.08357745993451662,0.5638462864035844,0.35257625366189904,0.049284852662415994,0.006203687747716698,0.013613648113044977,0.20937446148543856,0.07409960365328279
77,E02000078,6059.0,0.6746987951807228,0.08978379270506684,0.5849150024756561,0.3253012048192771,0.040600759201188316,0.0062716619904274636,0.01600924244924905,0.20102327116685922,0.06139627001155306
78,E02000079,5980.0,0.6148829431438128,0.1088628762541806,0.5060200668896321,0.3851170568561873,0.04598662207357859,0.0070234113712374585,0.01789297658862876,0.2222408026755853,0.09197324414715718
79,E02000080,7018.0,0.6363636363636364,0.08463949843260188,0.5517241379310345,0.36363636363636365,0.03633513821601596,0.006269592476489028,0.016671416357936734,0.21373610715303507,0.09062410943288686
80,E02000081,5936.0,0.601078167115903,0.07850404312668463,0.5225741239892183,0.39892183288409705,0.05576145552560647,0.007580862533692723,0.017857142857142856,0.2183288409703504,0.09939353099730458
81,E02000082,6918.0,0.6704249783174328,0.07950274645851402,0.5909222318589188,0.3295750216825672,0.03498120844174617,0.0066493206128939,0.014021393466319745,0.2007805724197745,0.0731425267418329
82,E02000083,6820.0,0.5985337243401759,0.11642228739002933,0.48211143695014663,0.40146627565982407,0.062316715542521994,0.005571847507331379,0.023900293255131964,0.21964809384164222,0.09002932551319648
83,E02000084,8224.0,0.6558852140077821,0.08146887159533074,0.5744163424124513,0.3441147859922179,0.04049124513618677,0.005958171206225681,0.015442607003891051,0.20865758754863814,0.07356517509727627
84,E02000085,5933.0,0.6661048373504129,0.10112927692566998,0.564975560424743,0.3338951626495871,0.04702511377043654,0.004045171077026799,0.013821001179841565,0.19804483397943703,0.07095904264284511
85,E02000086,5720.0,0.6786713286713286,0.08461538461538462,0.5940559440559441,0.3213286713286713,0.037587412587412584,0.005244755244755245,0.012062937062937063,0.2117132867132867,0.05472027972027972
86,E02000087,5968.0,0.6551608579088471,0.07573726541554959,0.5794235924932976,0.3448391420911528,0.04507372654155496,0.006869973190348526,0.013237265415549598,0.19738605898123324,0.08227211796246649
87,E02000088,5965.0,0.666219614417435,0.08147527242246437,0.5847443419949706,0.33378038558256495,0.04392288348700754,0.005364626990779548,0.011399832355406538,0.19865884325230512,0.07443419949706621
88,E02000089,5842.0,0.6829852790140363,0.07360492981855529,0.609380349195481,0.3170147209859637,0.035090722355357755,0.0056487504279356384,0.013180417665183157,0.1970215679561794,0.06607326258130777
89,E02000090,6495.0,0.5604311008468053,0.10623556581986143,0.4541955350269438,0.43956889915319475,0.0657428791377983,0.007236335642802155,0.02201693610469592,0.24110854503464202,0.10346420323325635
90,E02000091,7482.0,0.5864742047580861,0.07671745522587543,0.5097567495322106,0.4135257952419139,0.05239240844693932,0.007350975674953221,0.01831061213579257,0.2252071638599305,0.11026463512429832
91,E02000092,4532.0,0.5670785525154457,0.09620476610767872,0.470873786407767,0.4329214474845543,0.07413945278022947,0.005516328331862313,0.02206531332744925,0.24007060900264784,0.0911297440423654
92,E02000093,7556.0,0.5664372683959767,0.044732662784542084,0.5217046056114346,0.4335627316040233,0.03189518263631551,0.02593965060878772,0.01389624139756485,0.2989677077818952,0.06286394917946003
93,E02000094,5779.0,0.5412701159370134,0.05883370825402319,0.4824364076829901,0.4587298840629867,0.038587991001903445,0.025956047759127878,0.020937878525696486,0.31112649247274615,0.06212147430351272
94,E02000095,7212.0,0.5468663338879645,0.03577371048252912,0.5110926234054354,0.4531336661120355,0.037298946200776485,0.028563505268996116,0.019550748752079867,0.29963948973932336,0.06808097615085967
95,E02000096,6189.0,0.6052674099208273,0.03554693811601228,0.569720471804815,0.3947325900791727,0.02617547261269995,0.019227661980933914,0.01195669736629504,0.2615931491355631,0.07577960898368072
96,E02000097,6143.0,0.5415920559986978,0.05144066417060068,0.490151391828097,0.4584079440013023,0.04558033534103858,0.024580823701774376,0.019371642519941397,0.29122578544685007,0.07764935699169787
97,E02000098,5630.0,0.5243339253996447,0.047246891651865006,0.4770870337477798,0.47566607460035526,0.04422735346358792,0.027708703374777974,0.022380106571936058,0.30106571936056836,0.0802841918294849
98,E02000099,5497.0,0.5344733490995088,0.06730944151355285,0.467163907585956,0.46552665090049117,0.0405675823176278,0.029106785519374203,0.020010915044569765,0.31744587957067494,0.0583954884482445
99,E02000100,5937.0,0.6029981472123969,0.039076974903149736,0.5639211723092471,0.3970018527876032,0.028465554994104768,0.019033181741620348,0.012464207512211554,0.28415024423109314,0.052888664308573356
100,E02000101,5759.0,0.48098628234068413,0.06216357006424727,0.41882271227643686,0.5190137176593158,0.056954332349366206,0.030213578746310123,0.0281298836603577,0.3276610522660184,0.07605487063726342
101,E02000102,5833.0,0.5026572947025544,0.0726898679924567,0.42996742671009774,0.49734270529744556,0.04525972912737871,0.031716098062746445,0.02365849477112978,0.3394479684553403,0.05726041488085033
102,E02000103,5854.0,0.47488896481038606,0.07721216262384695,0.3976768021865391,0.5251110351896139,0.04817218995558593,0.029723266142808336,0.02869832593098736,0.35889989750597884,0.0596173556542535
103,E02000104,4706.0,0.5112622184445389,0.053123671908202295,0.45813854653633657,0.4887377815554611,0.042923926901827454,0.029324266893327667,0.024649383765405864,0.3134296642583935,0.0784105397365066
104,E02000105,6008.0,0.5213049267643143,0.06957390146471372,0.4517310252996005,0.4786950732356858,0.04560585885486019,0.03495339547270306,0.022636484687083888,0.3137483355525965,0.061750998668442074
105,E02000106,7021.0,0.47030337558752316,0.08602763139153967,0.3842757441959835,0.5296966244124769,0.0448654037886341,0.034040734938043014,0.026064663153396953,0.37444808431847315,0.05027773821392964
106,E02000107,7289.0,0.43490190698312525,0.13911373302236246,0.2957881739607628,0.5650980930168747,0.04815475373851008,0.027164220057621074,0.02003018246673069,0.4213197969543147,0.04842913979969818
107,E02000108,4672.0,0.5017123287671232,0.05351027397260274,0.4482020547945205,0.4982876712328767,0.04473458904109589,0.03360445205479452,0.023330479452054794,0.3324058219178082,0.0642123287671233
108,E02000109,5995.0,0.4900750625521268,0.060383653044203504,0.4296914095079233,0.5099249374478733,0.045204336947456215,0.03469557964970809,0.021184320266889073,0.35262718932443704,0.05621351125938282
109,E02000110,6274.0,0.43991074274784825,0.10934013388587822,0.33057060886197004,0.5600892572521518,0.0460631176283073,0.020879821485495696,0.021039209435766655,0.4238125597704814,0.048294548932100737
110,E02000111,6007.0,0.500582653570834,0.05543532545363742,0.4451473281171966,0.49941734642916596,0.042284001997669386,0.04294989179290827,0.023972032628599968,0.3212918262027634,0.0689195938072249
111,E02000112,5987.0,0.5151160848505094,0.054117254050442626,0.4609988308000668,0.4848839151494906,0.034908969433773175,0.0412560547853683,0.016535827626524134,0.33789878069149826,0.054284282612326706
112,E02000113,6253.0,0.38253638253638256,0.06908683831760755,0.31344954421877497,0.6174636174636174,0.06780745242283703,0.033743802974572204,0.043179273948504716,0.4126019510634895,0.060131137054213975
