,GEOGRAPHY_CODE,All households,Average household size,Average number of rooms per household,Lowest floor level - Basement or semi-basement,Lowest floor level - Ground level (street level),Lowest floor level - fifth floor or higher,Lowest floor level - first to fourth floor,Occupancy rating of -1 or less,With central heating and sole use of bath/shower and toilet,With central heating; without sole use of bath/shower and toilet,Without central heating or sole use of bath/shower and toilet,Without central heating; with sole use of bath/shower and toilet
0,E02000001,4338.0,1.58,3.33,0.05025357307514984,0.10027662517289074,0.3204241585984325,0.529045643153527,0.3425541724296911,0.950207468879668,0.003918856615952052,0.0,0.045873674504379895
1,E02000002,2734.0,2.27,4.57,0.0018288222384784199,0.7838332114118508,0.019751280175566936,0.19458668617410388,0.1097293343087052,0.824067300658376,0.0010972933430870519,0.0010972933430870519,0.1737381126554499
2,E02000003,3784.0,2.43,4.93,0.003435517970401691,0.8366807610993657,0.0010570824524312897,0.15882663847780126,0.08747357293868922,0.8982558139534884,0.0007928118393234672,0.0015856236786469344,0.09936575052854123
3,E02000004,2400.0,2.48,5.07,0.0,0.915,0.00125,0.08416666666666667,0.059166666666666666,0.94875,0.0016666666666666668,0.0,0.049166666666666664
4,E02000005,3193.0,2.47,4.7,0.0015659254619480112,0.9257751331036642,0.002192295646727216,0.0704666457876605,0.10021922956467272,0.8806764797995615,0.0015659254619480112,0.0,0.11775759473849044
5,E02000006,3519.0,2.5,4.68,0.0034100596760443308,0.9181585677749361,0.002841716396703609,0.075589656152316,0.10940608127308894,0.8743961352657005,0.0017050298380221654,0.0014208581983518045,0.12247797669792555
6,E02000007,3317.0,2.31,4.45,0.0030147723846849564,0.7337955984323183,0.06783237865541152,0.19535725052758518,0.12541453120289417,0.9255351220982816,0.0021103406692794696,0.0,0.07235453723243895
7,E02000008,4510.0,2.34,4.43,0.0031042128603104213,0.9062084257206209,0.0017738359201773836,0.08891352549889135,0.1221729490022173,0.893569844789357,0.0026607538802660754,0.0006651884700665188,0.1033259423503326
8,E02000009,3255.0,2.53,4.56,0.0009216589861751152,0.8989247311827957,0.0030721966205837174,0.09708141321044547,0.13978494623655913,0.8964669738863287,0.001228878648233487,0.0,0.10199692780337942
9,E02000010,3166.0,2.46,4.54,0.002526847757422615,0.9377763739734681,0.003474415666456096,0.05622236260265319,0.11970941250789639,0.9289324068224889,0.0015792798483891346,0.0,0.06948831332912192
10,E02000011,2297.0,2.49,4.9,0.00130605137135394,0.8641706573791903,0.00478885502829778,0.12973443622115804,0.0805398345668263,0.892033086634741,0.0017414018284719198,0.00130605137135394,0.10579016107966914
11,E02000012,2985.0,2.48,5.27,0.006700167504187605,0.8566164154103852,0.004355108877721943,0.1323283082077052,0.05795644891122278,0.9423785594639866,0.0010050251256281408,0.0,0.0559463986599665
12,E02000013,3106.0,2.44,4.48,0.00128783000643915,0.9269156471345782,0.004829362524146813,0.0669671603348358,0.11751448808757244,0.9224082421120412,0.0009658725048293626,0.0,0.07726980038634901
13,E02000014,3561.0,2.47,4.55,0.003089019938219601,0.9370963212580736,0.0053355798932884025,0.05447907891041842,0.12945801741083965,0.8778433024431339,0.0036506599269868017,0.0,0.11850603762987924
14,E02000015,2969.0,2.26,4.37,0.006062647356012125,0.6507241495453014,0.04580666891209161,0.2974065341865948,0.13371505557426744,0.9077130346918154,0.0013472549680026945,0.0010104412260020209,0.08992926911417985
15,E02000016,2399.0,2.38,4.09,0.007503126302626094,0.5147978324301793,0.10587744893705711,0.37182159233013756,0.23176323468111712,0.8878699458107545,0.003751563151313047,0.004168403501458941,0.10421008753647353
16,E02000017,2810.0,2.69,4.92,0.05231316725978648,0.8128113879003559,0.005338078291814947,0.1295373665480427,0.1423487544483986,0.9039145907473309,0.0035587188612099642,0.002491103202846975,0.0900355871886121
17,E02000018,3138.0,2.33,4.43,0.0031867431485022306,0.8801784576163161,0.009560229445506692,0.10707456978967496,0.11631612492033142,0.904397705544933,0.0022307202039515616,0.0,0.09305289993626514
18,E02000019,2912.0,2.53,4.53,0.001717032967032967,0.9474587912087912,0.0013736263736263737,0.04945054945054945,0.12225274725274725,0.9031593406593407,0.0010302197802197802,0.0,0.09546703296703296
19,E02000020,3172.0,2.26,4.59,0.0034678436317780582,0.8612862547288777,0.01008827238335435,0.12515762925598992,0.1128625472887768,0.9136191677175284,0.0009457755359394704,0.0009457755359394704,0.08448928121059268
20,E02000021,2867.0,2.56,4.82,0.0027903732124171608,0.9162888036274852,0.0013951866062085804,0.07952563655388908,0.10324380885943495,0.8800139518660621,0.0,0.0010463899546564353,0.1182420648761772
21,E02000022,2653.0,2.3,3.9,0.005653976630229929,0.44967960799095363,0.15491895966830005,0.3897474557105164,0.2555597436863928,0.9347908028646815,0.004523181304183943,0.0011307953260459858,0.0603090840557859
22,E02000023,2526.0,2.24,4.28,0.00395882818685669,0.6318289786223278,0.08471892319873317,0.27949326999208235,0.1789390340459224,0.9192399049881235,0.003167062549485352,0.0,0.07719714964370546
23,E02000024,3804.0,2.38,5.56,0.024185068349106203,0.8283385909568874,0.0,0.1474763406940063,0.060988433228180865,0.9505783385909569,0.001840168243953733,0.001840168243953733,0.04574132492113565
24,E02000025,3503.0,2.17,4.69,0.019411932629174993,0.7039680274050814,0.0,0.27633457036825576,0.11904082215244076,0.9420496717099629,0.004567513559805881,0.0022837567799029405,0.05109905795032829
25,E02000026,2528.0,2.42,5.26,0.007911392405063292,0.8571993670886076,0.0,0.1348892405063291,0.07515822784810126,0.9568829113924051,0.002768987341772152,0.0011867088607594937,0.03955696202531646
26,E02000027,3713.0,2.49,4.81,0.006463775922434689,0.8122811742526259,0.0,0.18071640183140317,0.12846754645838945,0.9493670886075949,0.0016159439806086723,0.0008079719903043361,0.048208995421492054
27,E02000028,2350.0,2.35,5.35,0.01872340425531915,0.7370212765957447,0.006808510638297872,0.2374468085106383,0.07021276595744681,0.9506382978723404,0.0,0.001276595744680851,0.04808510638297872
28,E02000029,3315.0,2.32,4.82,0.013876319758672699,0.7423831070889895,0.0036199095022624436,0.24012066365007542,0.10920060331825038,0.9188536953242835,0.005128205128205128,0.0015082956259426848,0.07450980392156863
29,E02000030,3369.0,2.64,6.32,0.012763431285247848,0.9222321163550015,0.0,0.06500445235975066,0.06530127634312853,0.9637874740279014,0.0020777678836449986,0.0008904719501335708,0.03354111012169783
30,E02000031,2856.0,2.47,5.7,0.011554621848739496,0.7818627450980392,0.0010504201680672268,0.20553221288515405,0.06092436974789916,0.9698879551820728,0.0010504201680672268,0.0010504201680672268,0.028011204481792718
31,E02000032,2626.0,2.76,5.7,0.00913937547600914,0.9325971058644326,0.0011424219345011425,0.057882711348057884,0.0575019040365575,0.9619192688499619,0.0015232292460015233,0.0011424219345011425,0.036176694592536175
32,E02000033,3024.0,2.42,4.87,0.010912698412698412,0.8425925925925926,0.0016534391534391533,0.14484126984126985,0.11177248677248677,0.9444444444444444,0.00992063492063492,0.000992063492063492,0.04497354497354497
33,E02000034,3292.0,2.34,5.11,0.009113001215066828,0.7490886998784934,0.0009113001215066828,0.24149453219927097,0.08869987849331713,0.9170716889428918,0.002430133657351154,0.001215066828675577,0.07928311057108141
34,E02000035,3305.0,2.19,4.65,0.015128593040847202,0.6526475037821483,0.0015128593040847202,0.33071104387291983,0.156732223903177,0.9373676248108926,0.005446293494704993,0.003933434190620273,0.05325264750378215
35,E02000036,3717.0,2.52,5.07,0.004035512510088781,0.8305084745762712,0.0008071025020177562,0.16464891041162227,0.11030400860909335,0.9556093623890234,0.006187785848802798,0.0010761366693570083,0.03712671509281679
36,E02000037,3226.0,2.78,5.8,0.0030998140111593306,0.8189708617482951,0.029138251704897707,0.14879107253564786,0.09795412275263485,0.9742715437073776,0.0012399256044637321,0.0009299442033477991,0.02417854928704278
37,E02000038,3577.0,2.42,5.04,0.029354207436399216,0.74727425216662,0.0011182555213866368,0.22225328487559406,0.11573944646351692,0.9390550740844283,0.004473022085546547,0.0008386916410399776,0.05563321218898518
38,E02000039,2367.0,2.55,5.96,0.007182087029995775,0.8094634558512885,0.0,0.18335445711871567,0.062103929024081114,0.959864807773553,0.0016899028305872412,0.0012674271229404308,0.037177862272919304
39,E02000040,2270.0,2.49,5.27,0.014096916299559472,0.8277533039647577,0.0,0.1581497797356828,0.09383259911894273,0.9577092511013215,0.007929515418502203,0.0,0.033920704845814977
40,E02000041,2940.0,2.6,5.19,0.005442176870748299,0.8275510204081633,0.0010204081632653062,0.16666666666666666,0.1306122448979592,0.9299319727891157,0.006462585034013605,0.0027210884353741495,0.060884353741496595
41,E02000042,3943.0,2.26,4.66,0.012173471975653057,0.6639614506720771,0.003043367993913264,0.3208217093583566,0.14633527770732943,0.9203652041592696,0.014202383971595232,0.00507227998985544,0.06036013187927974
42,E02000043,2583.0,2.67,5.78,0.02129307007355788,0.8610143244289585,0.0,0.11769260549748355,0.0627177700348432,0.9655439411536972,0.006194347657762292,0.0,0.027874564459930314
43,E02000044,2854.0,2.64,4.84,0.004905395935529082,0.8637000700770848,0.0,0.1306937631394534,0.1741415557112824,0.9407848633496847,0.008409250175192713,0.001051156271899089,0.049754730203223546
44,E02000045,3912.0,2.26,4.51,0.006390593047034765,0.7091002044989775,0.001278118609406953,0.2832310838445808,0.15311860940695296,0.9350715746421268,0.0017893660531697342,0.0007668711656441718,0.06237218813905931
45,E02000046,2593.0,2.27,4.94,0.023139220979560355,0.6787504820671038,0.007327419976860779,0.29078287697647515,0.13305052063247205,0.9062861550327805,0.009641342074816815,0.010798303123794832,0.07327419976860779
46,E02000047,3693.0,2.47,4.34,0.00487408610885459,0.7893311670728405,0.001083130246412131,0.20471161657189277,0.2288112645545627,0.9363660980232873,0.011643650148930408,0.0018954779312212293,0.050094773896561064
47,E02000048,3150.0,2.45,5.44,0.012698412698412698,0.7936507936507936,0.0038095238095238095,0.18984126984126984,0.09047619047619047,0.9647619047619047,0.007619047619047619,0.0,0.027301587301587302
48,E02000049,2934.0,2.66,4.16,0.005794137695978187,0.6547375596455351,0.018404907975460124,0.3210633946830266,0.28732106339468305,0.9642126789366053,0.003749147920927062,0.0013633265167007499,0.03067484662576687
