,GEOGRAPHY_CODE,All households,No adults in employment - with dependent children,No adults in employment - without dependent children,With dependent children - aged 0 to 4,With dependent children - all ages,With one or more people with a limiting long-term illness
0,E02000001,1,0.027201475334255418,0.2600276625172891,0.04564315352697095,0.10488704472106962,0.19317657906869526
1,E02000002,1,0.11777615215801024,0.39100219458668617,0.14630577907827358,0.32260424286759326,0.4217264081931236
2,E02000003,1,0.055232558139534885,0.2893763213530655,0.1345137420718816,0.322938689217759,0.3380021141649049
3,E02000004,1,0.04708333333333333,0.30041666666666667,0.1275,0.3095833333333333,0.34958333333333336
4,E02000005,1,0.07892264328217977,0.3106796116504854,0.139367366113373,0.34951456310679613,0.4021296586282493
5,E02000006,1,0.09263995453253765,0.32537652742256323,0.1599886331344132,0.3688547882921284,0.415743108837738
6,E02000007,1,0.1314440759722641,0.36328007235453724,0.173952366596322,0.3433825746156165,0.4057883629785951
7,E02000008,1,0.09379157427937916,0.36585365853658536,0.13813747228381373,0.3215077605321508,0.42971175166297115
8,E02000009,1,0.11582181259600614,0.2847926267281106,0.14838709677419354,0.3631336405529954,0.4009216589861751
9,E02000010,1,0.0915982312065698,0.34207201516108654,0.14971572962728996,0.3499684144030322,0.43809222994314595
10,E02000011,1,0.05267740531127558,0.2694819329560296,0.12668698302133216,0.3099695254680017,0.33609055289508055
11,E02000012,1,0.03082077051926298,0.3222780569514238,0.1068676716917923,0.288107202680067,0.34472361809045227
12,E02000013,1,0.09336767546683837,0.3396651641983258,0.13264649066323245,0.33322601416613007,0.42594977462974887
13,E02000014,1,0.09435551811288964,0.3190115136197697,0.14237573715248525,0.3501825329963493,0.4167368716652626
14,E02000015,1,0.13977770293027955,0.3216571236106433,0.1798585382283597,0.33883462445267765,0.38228359717076454
15,E02000016,1,0.133805752396832,0.2338474364318466,0.1842434347644852,0.35598165902459356,0.30596081700708627
16,E02000017,1,0.07188612099644127,0.24555160142348753,0.1619217081850534,0.36263345195729535,0.3402135231316726
17,E02000018,1,0.09018483110261313,0.3406628425748885,0.13193116634799235,0.3123008285532186,0.40503505417463354
18,E02000019,1,0.10817307692307693,0.2695741758241758,0.16723901098901098,0.3643543956043956,0.395260989010989
