,GEOGRAPHY_CODE,All lone parent housholds with dependent children,Female lone parent: In full-time employment,Female lone parent: In part-time employment,Female lone parent: Total,Male lone parent: In full-time employment,Male lone parent: In part-time employment,Male lone parent: Total
0,E02000001,1,0.2709677419354839,0.1032258064516129,0.8129032258064516,0.1032258064516129,0.0,0.1870967741935484
1,E02000002,1,0.1509433962264151,0.1320754716981132,0.9380053908355795,0.03504043126684636,0.0,0.06199460916442048
2,E02000003,1,0.23193916349809887,0.17110266159695817,0.9201520912547528,0.03802281368821293,0.011406844106463879,0.07984790874524715
3,E02000004,1,0.11811023622047244,0.23622047244094488,0.9606299212598425,0.0,0.0,0.03937007874015748
4,E02000005,1,0.16896551724137931,0.16551724137931034,0.9275862068965517,0.034482758620689655,0.0,0.07241379310344828
5,E02000006,1,0.1881720430107527,0.15053763440860216,0.8978494623655914,0.05913978494623656,0.008064516129032258,0.10215053763440861
6,E02000007,1,0.12814645308924486,0.12128146453089245,0.931350114416476,0.02745995423340961,0.006864988558352402,0.06864988558352403
7,E02000008,1,0.14782608695652175,0.15,0.9478260869565217,0.03260869565217391,0.0,0.05217391304347826
8,E02000009,1,0.14432989690721648,0.12371134020618557,0.9304123711340206,0.04639175257731959,0.0,0.06958762886597938
9,E02000010,1,0.19169329073482427,0.134185303514377,0.9424920127795527,0.03514376996805112,0.0,0.05750798722044728
10,E02000011,1,0.2191780821917808,0.11643835616438356,0.9246575342465754,0.0547945205479452,0.0,0.07534246575342465
11,E02000012,1,0.2803030303030303,0.18181818181818182,0.8863636363636364,0.09090909090909091,0.0,0.11363636363636363
12,E02000013,1,0.15605095541401273,0.14012738853503184,0.9490445859872612,0.025477707006369428,0.009554140127388535,0.050955414012738856
13,E02000014,1,0.17678100263852242,0.15567282321899736,0.8918205804749341,0.044854881266490766,0.0079155672823219,0.10817941952506596
14,E02000015,1,0.12356979405034325,0.10526315789473684,0.9382151029748284,0.034324942791762014,0.0,0.06178489702517163
15,E02000016,1,0.17346938775510204,0.1326530612244898,0.9047619047619048,0.05102040816326531,0.0,0.09523809523809523
16,E02000017,1,0.18181818181818182,0.11931818181818182,0.9090909090909091,0.0625,0.0,0.09090909090909091
17,E02000018,1,0.13333333333333333,0.17,0.9466666666666667,0.02,0.0,0.05333333333333334
18,E02000019,1,0.10509554140127389,0.1305732484076433,0.9171974522292994,0.041401273885350316,0.0,0.08280254777070063
19,E02000020,1,0.2229965156794425,0.1254355400696864,0.8885017421602788,0.0975609756097561,0.0,0.11149825783972125
20,E02000021,1,0.21232876712328766,0.1232876712328767,0.910958904109589,0.06164383561643835,0.010273972602739725,0.08904109589041095
21,E02000022,1,0.13673469387755102,0.11836734693877551,0.9204081632653062,0.0326530612244898,0.0,0.07959183673469387
22,E02000023,1,0.115,0.0825,0.9075,0.05,0.0,0.0925
23,E02000024,1,0.38181818181818183,0.20606060606060606,0.9212121212121213,0.06060606060606061,0.0,0.07878787878787878
24,E02000025,1,0.31016042780748665,0.18716577540106952,0.9251336898395722,0.0427807486631016,0.0,0.0748663101604278
25,E02000026,1,0.3402061855670103,0.14432989690721648,0.9175257731958762,0.05154639175257732,0.0,0.08247422680412371
26,E02000027,1,0.18820861678004536,0.17006802721088435,0.9365079365079365,0.024943310657596373,0.0,0.06349206349206349
27,E02000028,1,0.22641509433962265,0.16981132075471697,0.8490566037735849,0.11320754716981132,0.0,0.1509433962264151
28,E02000029,1,0.30973451327433627,0.15486725663716813,0.8716814159292036,0.06637168141592921,0.01327433628318584,0.12831858407079647
29,E02000030,1,0.2717391304347826,0.18478260869565216,0.9347826086956522,0.03804347826086957,0.0,0.06521739130434782
30,E02000031,1,0.21739130434782608,0.1956521739130435,0.8586956521739131,0.06521739130434782,0.03260869565217391,0.14130434782608695
31,E02000032,1,0.32098765432098764,0.16049382716049382,0.9259259259259259,0.04938271604938271,0.0,0.07407407407407407
32,E02000033,1,0.1702127659574468,0.17872340425531916,0.9446808510638298,0.01702127659574468,0.01702127659574468,0.05531914893617021
33,E02000034,1,0.23391812865497075,0.17543859649122806,0.9181286549707602,0.04678362573099415,0.017543859649122806,0.08187134502923976
34,E02000035,1,0.31297709923664124,0.1450381679389313,0.9007633587786259,0.05343511450381679,0.022900763358778626,0.09923664122137404
35,E02000036,1,0.21224489795918366,0.2,0.926530612244898,0.044897959183673466,0.012244897959183673,0.07346938775510205
36,E02000037,1,0.21052631578947367,0.15037593984962405,0.9060150375939849,0.02631578947368421,0.0,0.09398496240601503
37,E02000038,1,0.2982456140350877,0.15350877192982457,0.9429824561403509,0.013157894736842105,0.013157894736842105,0.05701754385964912
38,E02000039,1,0.36666666666666664,0.14444444444444443,0.9222222222222223,0.07777777777777778,0.0,0.07777777777777778
39,E02000040,1,0.1956521739130435,0.15760869565217392,0.9293478260869565,0.021739130434782608,0.016304347826086956,0.07065217391304347
40,E02000041,1,0.2543352601156069,0.10404624277456648,0.9248554913294798,0.028901734104046242,0.0,0.07514450867052024
41,E02000042,1,0.22377622377622378,0.20279720279720279,0.9090909090909091,0.055944055944055944,0.0,0.09090909090909091
42,E02000043,1,0.21505376344086022,0.1935483870967742,0.946236559139785,0.043010752688172046,0.0,0.053763440860215055
43,E02000044,1,0.19760479041916168,0.1437125748502994,0.9221556886227545,0.03293413173652695,0.0,0.07784431137724551
44,E02000045,1,0.2549019607843137,0.11484593837535013,0.9467787114845938,0.014005602240896359,0.008403361344537815,0.05322128851540616
45,E02000046,1,0.33766233766233766,0.11688311688311688,0.9090909090909091,0.06493506493506493,0.0,0.09090909090909091
46,E02000047,1,0.16461916461916462,0.1547911547911548,0.9385749385749386,0.02457002457002457,0.007371007371007371,0.06142506142506143
47,E02000048,1,0.2846153846153846,0.18461538461538463,0.9384615384615385,0.038461538461538464,0.0,0.06153846153846154
48,E02000049,1,0.16449511400651465,0.1237785016286645,0.9381107491856677,0.014657980456026058,0.008143322475570033,0.06188925081433225
49,E02000050,1,0.2623574144486692,0.12547528517110265,0.9049429657794676,0.030418250950570342,0.019011406844106463,0.09505703422053231
50,E02000051,1,0.2457627118644068,0.16101694915254236,0.9491525423728814,0.03389830508474576,0.0,0.05084745762711865
51,E02000052,1,0.2672413793103448,0.15517241379310345,0.9655172413793104,0.02586206896551724,0.0,0.034482758620689655
52,E02000053,1,0.24342105263157895,0.14473684210526316,0.9210526315789473,0.046052631578947366,0.019736842105263157,0.07894736842105263
53,E02000054,1,0.2,0.14,0.83,0.12,0.0,0.17
54,E02000055,1,0.16666666666666666,0.2,0.9444444444444444,0.016666666666666666,0.0,0.05555555555555555
55,E02000056,1,0.24509803921568626,0.2549019607843137,0.9607843137254902,0.029411764705882353,0.0,0.0392156862745098
56,E02000057,1,0.29,0.18,0.93,0.03,0.0,0.07
57,E02000058,1,0.3,0.25833333333333336,0.9583333333333334,0.03333333333333333,0.0,0.041666666666666664
58,E02000059,1,0.2277580071174377,0.15658362989323843,0.9466192170818505,0.028469750889679714,0.0,0.05338078291814947
59,E02000060,1,0.20253164556962025,0.1518987341772152,0.8481012658227848,0.06329113924050633,0.06329113924050633,0.1518987341772152
60,E02000061,1,0.21794871794871795,0.1794871794871795,0.8333333333333334,0.11538461538461539,0.0,0.16666666666666666
