,GEOGRAPHY_CODE,All communal establishments,Medical and care establishments - Housing association,Medical and care establishments - Local Authority - Children's home,Medical and care establishments - Local Authority - Other,Medical and care establishments - NHS - Other hospital home,Medical and care establishments - NHS - Psychiatric hospital / home,Medical and care establishments - Other,Medical and care establishments - Other - Children's home,Medical and care establishments - Other - Nursing home,Medical and care establishments - Other - Residential care home,Number of residents by communal establishment type,Other establishments,Residents in establishments with limiting long-term illness - medical and care establishments,Residents in establishments with limiting long-term illness - other establishments
0,E02000001,1,0.0,0.0,0.0,1.0952380952380953,0.0,0.0,0.0,0.0,0.0,12.666666666666666,11.571428571428571,0.0,1.0476190476190477
1,E02000002,1,,,,,,,,,inf,inf,,inf,
2,E02000003,1,,,,,,,,,inf,inf,,inf,
3,E02000004,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,61.0,22.0,38.666666666666664,3.3333333333333335
4,E02000006,1,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,0.0
5,E02000007,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.5,0.0,0.0
6,E02000008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,3.3333333333333335
7,E02000009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,136.33333333333334,130.0,6.0,6.0
8,E02000011,1,,,,,,,,inf,,inf,,inf,
9,E02000014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.333333333333334,11.333333333333334,0.0,11.333333333333334,0.0
10,E02000015,1,,,,,,,,,inf,inf,,inf,
11,E02000017,1,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,2.5,4.25,0.0,4.0,0.75
12,E02000018,1,3.3333333333333335,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,25.333333333333332,0.0,24.333333333333332,0.0
13,E02000019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,2.0,18.333333333333332,4.666666666666667,13.333333333333334,1.3333333333333333
14,E02000020,1,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,14.333333333333334,0.0,13.0,0.0
15,E02000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.666666666666668,1.6666666666666667,25.333333333333332,0.0,25.333333333333332,0.0
16,E02000022,1,0.0,0.0,13.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0,35.333333333333336,17.666666666666668,17.666666666666668,3.3333333333333335
17,E02000023,1,,,inf,,,,,,inf,inf,,inf,
18,E02000024,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,3.8333333333333335,14.25,4.25,9.5,0.75
19,E02000025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0
20,E02000026,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,13.666666666666666,0.0,1.0
21,E02000027,1,0.0,0.6666666666666666,3.3333333333333335,14.5,0.0,2.0,0.0,0.0,0.8333333333333334,21.333333333333332,0.0,6.0,0.0
22,E02000028,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.1666666666666665,9.166666666666666,0.0,9.0,0.0
23,E02000030,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.625,20.75,7.125,13.5,1.625
24,E02000031,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,12.4,1.7,10.3,0.7
25,E02000032,1,,,,,,,,,inf,inf,,inf,
26,E02000033,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,7.4,8.9,1.1,7.1,0.9
27,E02000034,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,7.142857142857143,9.714285714285714,0.42857142857142855,9.0,0.0
28,E02000035,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,19.1,2.8,14.4,0.4
29,E02000036,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.4,4.4,14.6,2.8,10.6,1.4
30,E02000037,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,3.3333333333333335,0.0
31,E02000038,1,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,11.272727272727273,4.2727272727272725,17.727272727272727,1.2727272727272727,15.363636363636363,1.0
32,E02000039,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,25.25,0.0,1.25
33,E02000040,1,0.0,0.0,0.0,0.0,0.0,2.388888888888889,0.0,0.6666666666666666,2.0555555555555554,25.27777777777778,20.166666666666668,4.333333333333333,1.5555555555555556
