,GEOGRAPHY_CODE,All people aged 3 and over,No knowledge of Welsh,Other combination of skills,Speaks and reads but does not write Welsh,Speaks but does not read or write Welsh,"Speaks, reads and writes Welsh",Understands spoken Welsh only
0,W02000001,1,0.2799550498665543,0.0134850400337126,0.01994662171653322,0.05646860514117151,0.556960247225734,0.07318443601629443
1,W02000002,1,0.33576526566217285,0.01633624107850912,0.020618556701030927,0.04631245043616178,0.5149881046788263,0.06597938144329897
2,W02000003,1,0.3517774343122102,0.029675425038639878,0.04451313755795981,0.09592993302421432,0.31725914477073675,0.16084492529623906
3,W02000004,1,0.34820322180916974,0.020514938730552112,0.03497177474872642,0.05741429161503511,0.4389370783422828,0.09995869475423379
4,W02000005,1,0.37495688168333907,0.021846613774864895,0.03081522364033575,0.06278026905829596,0.4116361963895596,0.09796481545360469
5,W02000006,1,0.12121718776124393,0.013877278047149307,0.021735495736498914,0.05968901521484701,0.7376692860725631,0.04581173716769771
6,W02000007,1,0.3276958882854926,0.013033359193173001,0.021877424359968967,0.052133436772692006,0.5233514352211016,0.06190845616757176
7,W02000008,1,0.23184777165748624,0.015523284927391086,0.034384910699382404,0.0701051577366049,0.57052245034218,0.07761642463695544
8,W02000009,1,0.22375575073191134,0.012547051442910916,0.027742924857103026,0.06050467029137042,0.6148055207026348,0.060644081974069425
9,W02000010,1,0.503074190463178,0.025549938516190737,0.024730154392676597,0.05697499658423282,0.3082388304413171,0.0814318896024047
10,W02000011,1,0.2853545950482585,0.024618827808085046,0.038187159043222826,0.08378794236956218,0.4404811861798853,0.12757028955098615
11,W02000012,1,0.19613118114271075,0.01857545477837561,0.02536510376633359,0.06174737381501409,0.631949782218806,0.06623110427875993
12,W02000013,1,0.15065282892534315,0.01088048208905256,0.019417475728155338,0.05222631402745229,0.7227987947773686,0.044024104452628054
13,W02000014,1,0.18544382371198015,0.014432029795158287,0.019708255741775295,0.06284916201117319,0.660148975791434,0.05741775294847921
14,W02000015,1,0.08095238095238096,0.010167310167310168,0.031145431145431144,0.08262548262548262,0.7521235521235521,0.04298584298584299
15,W02000016,1,0.13637133660850415,0.010672539386752498,0.021853294934778927,0.05844485854650178,0.7265797052346264,0.046078265288836184
16,W02000017,1,0.17083333333333334,0.010057471264367816,0.017241379310344827,0.052586206896551725,0.7041666666666667,0.04511494252873563
