,GEOGRAPHY_CODE,All usual residents aged 16+,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,In a registered same-sex civil partnership,Married,Separated (but still legally married or still legally in a same-sex civil partnership),Single (never married or never registered a same-sex civil partnership),Widowed or surviving partner from a same-sex civil partnership
0,E02000001,6755.0,0.07757216876387861,0.017320503330866027,0.3308660251665433,0.025758697261287936,0.5083641746854182,0.04011843079200592
1,E02000002,5024.0,0.10589171974522293,0.0,0.39311305732484075,0.03702229299363057,0.3698248407643312,0.09414808917197452
2,E02000003,7798.0,0.08245704026673506,0.0014106181072069761,0.4631956912028725,0.031803026417030006,0.35252628879199793,0.06860733521415747
3,E02000004,4986.0,0.07320497392699558,0.0012033694344163659,0.45407139991977535,0.02386682711592459,0.35980746089049337,0.08784596871239471
4,E02000005,6362.0,0.08440741905061301,0.0031436655139893115,0.43303992455202767,0.04306821754165357,0.3693806978937441,0.06696007544797233
5,E02000007,6403.0,0.0952678431985007,0.0015617679212868967,0.3612369201936592,0.04138684991410276,0.4165235046072154,0.08402311416523504
6,E02000008,8627.0,0.09852787759360149,0.001159151501101194,0.40292106178277504,0.0418453691897531,0.38101309841196246,0.07453344152080676
7,E02000009,6333.0,0.09679456813516502,0.003000157903047529,0.3838623085425549,0.04279172588030949,0.41639033633349126,0.057160903205431865
8,E02000010,6280.0,0.09570063694267517,0.0015923566878980893,0.3979299363057325,0.04203821656050955,0.39522292993630576,0.06751592356687898
9,E02000011,4800.0,0.0825,0.00375,0.4533333333333333,0.035208333333333335,0.35770833333333335,0.0675
10,E02000012,7584.0,0.05287447257383966,0.0011867088607594937,0.5079113924050633,0.02914029535864979,0.34651898734177217,0.06236814345991561
11,E02000013,6053.0,0.09152486370394845,0.0014868660168511482,0.40905336196927145,0.04344952915909466,0.38542871303485876,0.06905666611597555
12,E02000014,6950.0,0.09755395683453237,0.0012949640287769784,0.4128057553956834,0.041151079136690645,0.3794244604316547,0.06776978417266187
13,E02000015,5585.0,0.11154879140555059,0.0017905102954341987,0.3543419874664279,0.04297224709042077,0.42900626678603404,0.0603401969561325
14,E02000016,5621.0,0.06742572495997154,0.008539405799679772,0.4251912471090553,0.044653976160825476,0.4294609500088952,0.024728695961572674
15,E02000017,6636.0,0.05861965039180229,0.0018083182640144665,0.4733273056057866,0.03209764918625678,0.39074743821579266,0.0433996383363472
16,E02000018,6399.0,0.09017033911548679,0.0014064697609001407,0.4011564306922957,0.04360056258790436,0.40678230973589624,0.0568838881075168
17,E02000019,6034.0,0.09081869406695393,0.002320185614849188,0.4300629764666888,0.04491216440172357,0.37587006960556846,0.05601590984421611
18,E02000020,6825.0,0.08219780219780219,0.0008791208791208791,0.4205128205128205,0.04542124542124542,0.37963369963369964,0.07135531135531135
19,E02000021,5829.0,0.09744381540572997,0.003774232286841654,0.40916109109624293,0.04340367129867902,0.37982501286670095,0.06639217704580545
20,E02000022,5829.0,0.08337622233659289,0.001887116143420827,0.39114770972722596,0.07085263338480013,0.41619488763081147,0.03654143077714874
21,E02000023,4445.0,0.08616422947131609,0.0017997750281214847,0.3813273340832396,0.05826771653543307,0.42744656917885265,0.04499437570303712
22,E02000024,8232.0,0.07458697764820214,0.0015792031098153547,0.4998785228377065,0.02077259475218659,0.3306608357628766,0.07252186588921283
23,E02000025,6550.0,0.09603053435114504,0.0022900763358778627,0.42809160305343513,0.028244274809160305,0.3796946564885496,0.06564885496183206
24,E02000026,5056.0,0.07318037974683544,0.0017800632911392405,0.5314477848101266,0.01977848101265823,0.3160601265822785,0.05775316455696203
25,E02000027,7457.0,0.0910553842027625,0.002145634973850074,0.43931876089580263,0.03795091859997318,0.3652943542979751,0.06423494702963659
26,E02000028,5004.0,0.07693844924060751,0.001398880895283773,0.48960831334932053,0.027577937649880094,0.34772182254196643,0.05675459632294165
27,E02000029,6685.0,0.08825729244577413,0.0011967090501121915,0.4481675392670157,0.029020194465220642,0.37920718025430067,0.054151084517576664
28,E02000030,7337.0,0.0704647676161919,0.0002725909772386534,0.5507700695106992,0.02262505111080823,0.2810412975330517,0.07482622325201035
29,E02000031,5932.0,0.06136210384356035,0.0008428860418071476,0.529838165879973,0.023769386378961564,0.30731625084288605,0.07687120701281187
30,E02000032,6255.0,0.05099920063948841,0.002557953637090328,0.5787370103916867,0.019664268585131893,0.28792965627498,0.060111910471622704
31,E02000033,6758.0,0.08123705238236165,0.0028114826871855577,0.4448061556673572,0.027966854098845813,0.3792542172240308,0.063924237940219
32,E02000034,6827.0,0.08100190420389629,0.0026365900102534056,0.47839460963820124,0.024901127874615497,0.34934817635857623,0.0637175919144573
33,E02000035,6585.0,0.07350037965072134,0.002885345482156416,0.466211085801063,0.024297646165527716,0.3630979498861048,0.07000759301442673
