,GEOGRAPHY_CODE,Dependent children in household: Age 0 to 4,Dependent children in household: All ages,No adults in employment in household,No adults in employment in household: No dependent children,No adults in employment in household: With dependent children,One person in household with a long-term health problem or disability,One person in household with a long-term health problem or disability: No dependent children,One person in household with a long-term health problem or disability: With dependent children,count of Household; All households
0,E02000001,0.04446978335233751,0.09851767388825541,0.22713797035347777,0.21847206385404788,0.008665906499429875,0.1500570125427594,0.1338654503990878,0.01619156214367161,1
1,E02000002,0.17692591227423515,0.3914485809067453,0.43199410246959086,0.3144120899373387,0.11758201253225212,0.31883523774419464,0.2454847032805013,0.07335053446369333,1
2,E02000003,0.17110067814293167,0.36306729264475746,0.31559728742827337,0.24569640062597808,0.06990088680229525,0.2498695878977569,0.19300991131977047,0.056859676577986434,1
3,E02000004,0.12079378774805867,0.3459879206212252,0.33132010353753233,0.2786885245901639,0.05263157894736842,0.2532355478861087,0.19758412424503882,0.05565142364106989,1
4,E02000005,0.19289978008168396,0.4222431668237512,0.3427584040213635,0.24630851398052153,0.09644989004084198,0.2840087967326422,0.2136349355953503,0.07037386113729187,1
5,E02000007,0.2040104620749782,0.4147050276082534,0.4030804998546934,0.27608253414705025,0.12699796570764313,0.2961348445219413,0.2211566405114792,0.07497820401046207,1
6,E02000008,0.2001742539751688,0.40906120670877805,0.39991287301241557,0.2896972337181442,0.1102156392942714,0.31932040949684165,0.24351993029840993,0.07580047919843172,1
7,E02000009,0.1939601494396015,0.410958904109589,0.3446450809464508,0.23848069738480698,0.10616438356164383,0.27334993773349936,0.19427148194271482,0.07907845579078455,1
8,E02000010,0.21506682867557717,0.42922235722964763,0.3839611178614824,0.25729040097205347,0.1266707168894289,0.2928311057108141,0.20291616038882138,0.0899149453219927,1
9,E02000011,0.17038007863695936,0.37876802096985585,0.3128003494975972,0.236347750109218,0.0764525993883792,0.24333770205329838,0.18130187854958496,0.062035823503713415,1
10,E02000012,0.18139963167587478,0.4106813996316759,0.3014119091467158,0.24861878453038674,0.05279312461632903,0.2559852670349908,0.18999386126457948,0.0659914057704113,1
11,E02000013,0.20896,0.42592,0.36352,0.25696,0.10656,0.29568,0.2144,0.08128,1
12,E02000014,0.19767771169640327,0.41914471821013877,0.3613707165109034,0.25148683092608326,0.10988388558482017,0.2681959784763523,0.19937694704049844,0.06881903143585387,1
13,E02000015,0.19968454258675078,0.38422712933753944,0.40157728706624607,0.28675078864353315,0.11482649842271293,0.28801261829652997,0.2192429022082019,0.06876971608832808,1
14,E02000016,0.25221540558963873,0.4161554192229039,0.28118609406952966,0.18132242672119972,0.09986366734832992,0.16394001363326516,0.10531697341513292,0.05862304021813224,1
15,E02000017,0.20337119824111397,0.39355075119091243,0.266397947966288,0.20227189446683766,0.06412605349945034,0.21033345547819715,0.15133748625870283,0.05899596921949432,1
16,E02000018,0.2257967528562838,0.44317498496692725,0.375826819001804,0.24744437763078772,0.12838244137101623,0.27811184606133493,0.20114251352976548,0.07696933253156946,1
17,E02000019,0.23089700996677742,0.45083056478405314,0.3196013289036545,0.21661129568106313,0.10299003322259136,0.26744186046511625,0.19003322259136213,0.07740863787375415,1
18,E02000020,0.20780346820809248,0.4060693641618497,0.3560693641618497,0.26213872832369944,0.09393063583815028,0.27832369942196533,0.21329479768786128,0.06502890173410404,1
19,E02000021,0.20786707358426584,0.41878602916242796,0.31943031536113936,0.2204136995591726,0.09901661580196677,0.25737538148524924,0.1943031536113937,0.06307222787385554,1
20,E02000022,0.28672186445875497,0.4980067463968108,0.36982520699172033,0.19871205151793928,0.17111315547378106,0.2281508739650414,0.14351425942962281,0.08463661453541858,1
21,E02000023,0.2640888523241464,0.4660633484162896,0.3624023035787742,0.21061291649526945,0.15178938708350473,0.25010283833813246,0.17317976141505553,0.07692307692307693,1
