,GEOGRAPHY_CODE,All categories: English as a household language,All people aged 16 and over in household have English as a main language (English or Welsh in Wales),At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales),No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales),No people in household have English as a main language (English or Welsh in Wales)
0,E02000001,4385.0,0.8086659064994298,0.06362599771949828,0.008437856328392246,0.11927023945267959
1,E02000002,2713.0,0.8510873571691854,0.055289347585698485,0.035753778105418355,0.05786951713969775
2,E02000003,3834.0,0.8072509128847157,0.08763693270735524,0.023995826812728223,0.08111632759520084
3,E02000004,2318.0,0.9150129421915444,0.040120793787748056,0.014236410698878344,0.030629853321829163
4,E02000005,3183.0,0.8366321080741439,0.06440464970153943,0.03110273327049953,0.06786050895381715
5,E02000007,3441.0,0.8625399593141528,0.04330136588201104,0.03400174367916303,0.06015693112467306
6,E02000008,4591.0,0.8523197560444348,0.05292964495752559,0.027009366151165323,0.06774123284687432
7,E02000009,3212.0,0.787359900373599,0.08156911581569116,0.029265255292652552,0.10180572851805729
8,E02000010,3292.0,0.850546780072904,0.04951397326852977,0.027339003645200487,0.07260024301336573
9,E02000011,2289.0,0.8383573612931411,0.061598951507208385,0.024027959807776323,0.07601572739187418
10,E02000012,3258.0,0.7170042971147943,0.14518109269490484,0.028238182934315532,0.10957642725598526
11,E02000013,3125.0,0.84192,0.05056,0.02784,0.07968
12,E02000014,3531.0,0.8453695836873407,0.04956103086944209,0.025488530161427356,0.07958085528178986
13,E02000015,3170.0,0.8555205047318613,0.04668769716088328,0.02365930599369085,0.07413249211356467
14,E02000016,2934.0,0.5412406271301977,0.14246762099522836,0.05725971370143149,0.25903203817314246
15,E02000017,2729.0,0.5313301575668743,0.20483693660681568,0.03810919750824478,0.22572370831806524
16,E02000018,3326.0,0.8069753457606735,0.05592303066746843,0.03848466626578473,0.09861695730607337
17,E02000019,3010.0,0.8225913621262458,0.06079734219269103,0.03421926910299003,0.0823920265780731
18,E02000020,3460.0,0.7014450867052023,0.10086705202312139,0.048554913294797684,0.14913294797687862
19,E02000021,2949.0,0.8077314343845371,0.06002034587995931,0.02814513394370973,0.10410308579179382
20,E02000022,3261.0,0.5998160073597056,0.11284881938055812,0.09935602575896964,0.18797914750076664
21,E02000023,2431.0,0.7519539284245167,0.09173179761415055,0.05265322912381736,0.10366104483751543
22,E02000024,4110.0,0.8644768856447689,0.06642335766423357,0.013868613138686132,0.055231143552311436
23,E02000025,3622.0,0.8531198233020431,0.060739922694643844,0.01435670900055218,0.0717835450027609
24,E02000026,2496.0,0.8337339743589743,0.07532051282051282,0.016426282051282052,0.07451923076923077
25,E02000027,3705.0,0.8064777327935223,0.08394062078272604,0.03292847503373819,0.0766531713900135
26,E02000028,2473.0,0.829357056207036,0.07521229276182774,0.022644561261625555,0.07278608976951072
27,E02000029,3513.0,0.8380301736407629,0.06888699117563336,0.018502704241389126,0.07458013094221463
28,E02000030,3410.0,0.8463343108504399,0.08387096774193549,0.015835777126099706,0.05395894428152493
29,E02000031,2817.0,0.7767128150514732,0.10081647142350018,0.02023429179978701,0.10223642172523961
30,E02000032,2742.0,0.7414296134208607,0.13858497447118892,0.02261123267687819,0.09737417943107221
31,E02000033,3317.0,0.7747965028640338,0.10009044317154055,0.018993066023515224,0.10611998794091046
32,E02000034,3403.0,0.7458125183661475,0.10549515133705555,0.030561269468116367,0.11813106082868058
33,E02000035,3381.0,0.6953564034309376,0.10973084886128365,0.026915113871635612,0.16799763383614316
34,E02000036,3942.0,0.7440385591070523,0.10527650938609842,0.029426686960933535,0.12125824454591577
35,E02000037,3397.0,0.7798057109214013,0.09596702973211657,0.029143361789814543,0.09508389755666764
36,E02000038,4049.0,0.7241294146702889,0.12422820449493702,0.021733761422573473,0.12990861941220055
37,E02000039,2485.0,0.7899396378269617,0.10020120724346077,0.022937625754527163,0.0869215291750503
38,E02000040,2649.0,0.7478293695734239,0.11513778784446961,0.035107587768969425,0.10192525481313704
39,E02000041,3120.0,0.6951923076923077,0.125,0.032692307692307694,0.14711538461538462
40,E02000042,4421.0,0.6383171228228908,0.13390635602804796,0.02126215788283194,0.20651436326622935
41,E02000043,2693.0,0.675454883030078,0.14593390271073153,0.02116598588934274,0.15744522836984776
42,E02000044,2862.0,0.6911250873515025,0.12578616352201258,0.041928721174004195,0.14116002795248078
43,E02000045,4168.0,0.7075335892514395,0.12140115163147792,0.03238963531669865,0.13867562380038387
44,E02000046,2860.0,0.6304195804195805,0.1527972027972028,0.024125874125874126,0.19265734265734266
45,E02000047,4036.0,0.6117443012884044,0.1273538156590684,0.05376610505450941,0.20713577799801783
46,E02000048,3784.0,0.7349365750528541,0.11760042283298097,0.028276955602537,0.11918604651162791
47,E02000049,3028.0,0.582892998678996,0.14002642007926025,0.07992073976221929,0.19715984147952445
48,E02000050,3853.0,0.709576953023618,0.13651699974046197,0.02880872047754996,0.1250973267583701
49,E02000051,3537.0,0.6963528413910093,0.12694373763076053,0.020921685043822448,0.1557817359344077
50,E02000052,4163.0,0.7542637521018496,0.11890463607975019,0.01633437424933942,0.11049723756906077
51,E02000053,3244.0,0.5548705302096177,0.14796547472256474,0.04192355117139334,0.25524044389642414
52,E02000054,2774.0,0.5994953136265321,0.14744051910598413,0.025594808940158614,0.22746935832732515
53,E02000055,4179.0,0.6223977027997128,0.1474036850921273,0.021775544388609715,0.20842306771955013
54,E02000056,3390.0,0.7899705014749262,0.11179941002949853,0.016519174041297935,0.08171091445427729
55,E02000057,2460.0,0.6463414634146342,0.14227642276422764,0.01951219512195122,0.191869918699187
56,E02000058,3961.0,0.7318858874021712,0.11815198182277203,0.018682150971976775,0.13127997980308004
57,E02000059,3990.0,0.5453634085213033,0.15338345864661654,0.037844611528822056,0.26340852130325815
58,E02000060,3400.0,0.6647058823529411,0.15823529411764706,0.01911764705882353,0.15794117647058822
59,E02000061,3172.0,0.6235813366960908,0.1453341740226986,0.019230769230769232,0.21185372005044137
60,E02000062,2357.0,0.5795502757742893,0.14509970301230377,0.051336444633008065,0.2240135765803988
61,E02000063,2503.0,0.5345585297642829,0.16540151817818619,0.04874151018777467,0.2512984418697563
62,E02000064,2450.0,0.6077551020408163,0.1404081632653061,0.036326530612244896,0.21551020408163266
