,GEOGRAPHY_CODE,All categories: Type of central heating in household,Average household size,Average number of bedrooms per household,Average number of rooms per household,Does have central heating,Does not have central heating,Occupancy rating (bedrooms) of -1 or less,Occupancy rating (rooms) of -1 or less
0,E02000001,1,0.00036488027366020527,0.00036488027366020527,0.0007753705815279361,0.9568985176738882,0.043101482326111745,0.058836944127708096,0.3459521094640821
1,E02000002,1,0.0009214891264283082,0.0008846295613711758,0.001695539992628087,0.97493549576115,0.025064504238849983,0.09399189089568744,0.1474382602285293
2,E02000003,1,0.0006781429316640585,0.0006781429316640585,0.001278038601982264,0.96452790818988,0.03547209181011998,0.08972352634324465,0.14058424621804905
3,E02000004,1,0.0011216566005176876,0.0012079378774805865,0.0022433132010353752,0.9849007765314927,0.015099223468507334,0.056082830025884385,0.0811044003451251
4,E02000005,1,0.0008482563619227145,0.0007854225573358467,0.001476594407791392,0.9626138862708137,0.0373861137291863,0.1193842287150487,0.15142946905435123
5,E02000007,1,0.0007265329845975008,0.0006974716652136006,0.0013077593722755014,0.981400755594304,0.01859924440569602,0.10985178727114212,0.17785527462946818
6,E02000008,1,0.0005445436724025267,0.0005009801786103245,0.000958396863428447,0.9721193639729906,0.027880636027009367,0.12067087780439992,0.16989762578958834
7,E02000009,1,0.0008094645080946451,0.0007471980074719801,0.0014009962640099626,0.9635740971357409,0.03642590286425903,0.13044831880448318,0.20112079701120797
8,E02000010,1,0.0007897934386391251,0.0007290400972053462,0.0013669501822600244,0.977217496962333,0.022782503037667073,0.12940461725394897,0.19592952612393683
9,E02000011,1,0.001179554390563565,0.001179554390563565,0.00218435998252512,0.9580602883355177,0.04193971166448231,0.08955875928352992,0.1328090869375273
10,E02000012,1,0.0009208103130755065,0.0008901166359729896,0.0016574585635359116,0.981890730509515,0.01810926949048496,0.11080417434008594,0.14211172498465316
11,E02000013,1,0.0008640000000000001,0.000768,0.0014719999999999998,0.97504,0.02496,0.1312,0.17376
12,E02000014,1,0.0007363353157745681,0.0006796941376380628,0.0013027470971396205,0.968280940243557,0.03171905975644294,0.1254602095723591,0.178136505239309
13,E02000015,1,0.0007570977917981072,0.0006940063091482651,0.0013564668769716088,0.965615141955836,0.03438485804416404,0.1365930599369085,0.21451104100946372
14,E02000016,1,0.0008861622358554874,0.0006475800954328561,0.001226993865030675,0.956373551465576,0.043626448534423996,0.24676209952283573,0.4621676891615542
15,E02000017,1,0.0011359472334188348,0.0009893733968486626,0.001832172957127153,0.9637229754488824,0.03627702455111763,0.20190545987541225,0.24990839135214366
16,E02000018,1,0.0008117859290438966,0.0006915213469633192,0.00132291040288635,0.9717378232110644,0.02826217678893566,0.14221286831028263,0.20505111244738425
17,E02000019,1,0.0008970099667774087,0.0007973421926910298,0.0015282392026578072,0.9747508305647841,0.02524916943521595,0.13122923588039867,0.1840531561461794
18,E02000020,1,0.0007803468208092486,0.0006936416184971098,0.0013294797687861272,0.9705202312138729,0.029479768786127167,0.15289017341040462,0.21820809248554912
19,E02000021,1,0.0008816547982366905,0.00084774499830451,0.0015937605968124788,0.9589691420820617,0.041030857917938285,0.12139708375720583,0.1858257036283486
20,E02000022,1,0.0008279668813247471,0.0006133088009812941,0.0011652867218644588,0.9763876111622202,0.023612388837779823,0.23581723397730758,0.3876111622201779
21,E02000023,1,0.0011106540518305225,0.0009049773755656109,0.0017688194158782394,0.9728506787330317,0.027149321266968326,0.18222953517071164,0.27519539284245165
22,E02000024,1,0.000583941605839416,0.000681265206812652,0.001338199513381995,0.9832116788321168,0.016788321167883213,0.04476885644768856,0.09683698296836983
23,E02000025,1,0.0006073992269464385,0.0006626173384870237,0.0012976256212037548,0.9801214798453893,0.019878520154610713,0.06212037548315848,0.14467145223633351
24,E02000026,1,0.001001602564102564,0.0011618589743589744,0.002203525641025641,0.9799679487179487,0.020032051282051284,0.042067307692307696,0.07371794871794872
25,E02000027,1,0.0007017543859649123,0.0007017543859649123,0.0013225371120107964,0.9781376518218623,0.02186234817813765,0.09392712550607288,0.14790823211875845
26,E02000028,1,0.0010109179134654266,0.0011322280630812777,0.0021835826930853217,0.9769510715729883,0.023048928427011728,0.0606550748079256,0.11039223615042458
27,E02000029,1,0.0006831767719897524,0.0007116424708226587,0.001394819242812411,0.9681184173071449,0.03188158269285511,0.06974096214062055,0.14289780814118985
28,E02000030,1,0.0007624633431085044,0.000967741935483871,0.001935483870967742,0.9879765395894429,0.012023460410557185,0.04897360703812317,0.06744868035190615
29,E02000031,1,0.0008874689385871495,0.0011004614838480654,0.0020589279375221865,0.9865104721334753,0.013489527866524671,0.046858359957401494,0.09371671991480299
30,E02000032,1,0.0010576221735959155,0.0011670313639679066,0.002151714077315828,0.986870897155361,0.01312910284463895,0.040846097738876735,0.06345733041575492
31,E02000033,1,0.0007536930961712391,0.0007838408200180886,0.0015073861923424782,0.9837202291227012,0.016279770877298764,0.07898703647874586,0.1311425987337956
32,E02000034,1,0.0007346459006758742,0.0007934175727299442,0.0015280634734058185,0.9700264472524244,0.02997355274757567,0.08169262415515721,0.13076697032030563
33,E02000035,1,0.0006802721088435374,0.0007394262052647146,0.0013901212658976635,0.9781129843241645,0.02188701567583555,0.0730553090801538,0.18308192842354334
34,E02000036,1,0.0006849315068493151,0.0006849315068493151,0.0013191273465246068,0.9850329781836631,0.014967021816336884,0.09386098427194317,0.1489091831557585
35,E02000037,1,0.0008536944362672946,0.0009125699146305564,0.0017368266117162203,0.9882249043273477,0.011775095672652341,0.07359434795407713,0.11892846629378864
36,E02000038,1,0.0006174364040503828,0.0006421338602123982,0.0012348728081007657,0.979007162262287,0.020992837737713016,0.09187453692269697,0.16053346505309954
37,E02000039,1,0.0010865191146881288,0.0012474849094567405,0.002414486921529175,0.9814889336016096,0.01851106639839034,0.060764587525150904,0.11106639839034205
38,E02000040,1,0.0010192525481313704,0.0010192525481313704,0.001963004907512269,0.9867874669686674,0.01321253303133258,0.09588523971309929,0.1423178557946395
39,E02000041,1,0.0008974358974358973,0.0008974358974358973,0.0016987179487179486,0.9740384615384615,0.025961538461538463,0.11057692307692307,0.17083333333333334
40,E02000042,1,0.0005428636055191133,0.0005428636055191133,0.0010178692603483375,0.9724044333861117,0.02759556661388826,0.10201311920380005,0.20651436326622935
41,E02000043,1,0.0010397326401782399,0.001188265874489417,0.002190865206089863,0.9862606758262161,0.013739324173783884,0.05532862978091348,0.08577794281470479
42,E02000044,1,0.0009783368273934311,0.0009084556254367576,0.0017120894479385046,0.9793850454227813,0.02061495457721873,0.14465408805031446,0.20859538784067086
43,E02000045,1,0.0005998080614203454,0.0005758157389635317,0.001079654510556622,0.9812859884836852,0.01871401151631478,0.12476007677543186,0.20273512476007677
44,E02000046,1,0.0008391608391608392,0.0008741258741258741,0.0016783216783216783,0.9597902097902098,0.04020979020979021,0.11713286713286714,0.22377622377622378
45,E02000047,1,0.0006937561942517344,0.0005698711595639247,0.0010654112983151634,0.9799306243805749,0.020069375619425175,0.16972249752229931,0.2898909811694747
46,E02000048,1,0.0006871035940803383,0.0007663847780126849,0.0014270613107822412,0.9881078224101479,0.011892177589852008,0.0636892177589852,0.12447145877378435
47,E02000049,1,0.0009247027741083223,0.000726552179656539,0.0013540290620871862,0.9739101717305152,0.02608982826948481,0.21565389696169088,0.34346103038309117
48,E02000050,1,0.0006747988580327019,0.0006747988580327019,0.0012457825071372957,0.9820918764599014,0.017908123540098624,0.12224240851284714,0.20633272774461459
49,E02000051,1,0.0006785411365564037,0.0008199038733389878,0.0014984450098953915,0.9785128640090472,0.021487135990952786,0.08934124964659315,0.16030534351145037
