,GEOGRAPHY_CODE,Usual residents per square kilometre
0,E02000001,2975.0
1,E02000002,3831.0
2,E02000003,5389.7
3,E02000004,2663.6
4,E02000005,9327.5
5,E02000007,5854.4
6,E02000008,9331.6
7,E02000009,13380.5
8,E02000010,8458.9
9,E02000011,4410.6
10,E02000012,8852.6
11,E02000013,7203.7
12,E02000014,8269.8
13,E02000015,6042.0
14,E02000016,11925.1
15,E02000017,10419.9
16,E02000018,7034.9
17,E02000019,3187.3
18,E02000020,4116.3
19,E02000021,3043.2
20,E02000022,10270.7
21,E02000023,4594.6
22,E02000024,2888.2
23,E02000025,3573.0
24,E02000026,4404.8
25,E02000027,5761.1
26,E02000028,6189.5
27,E02000029,5745.1
28,E02000030,648.7
29,E02000031,4296.5
30,E02000032,5679.6
31,E02000033,5007.0
32,E02000034,5831.7
33,E02000035,6573.2
34,E02000036,6265.1
35,E02000037,2505.6
36,E02000038,6082.0
37,E02000039,3362.3
38,E02000040,1772.8
39,E02000041,7008.4
40,E02000042,9531.6
41,E02000043,5157.7
42,E02000044,7986.3
43,E02000045,6065.4
44,E02000046,7170.7
45,E02000047,8715.6
46,E02000048,3334.0
47,E02000049,13360.4
48,E02000050,4893.4
49,E02000051,6322.0
50,E02000052,10163.0
51,E02000054,5086.0
52,E02000055,8140.7
53,E02000056,2829.1
54,E02000057,7322.5
55,E02000058,5639.7
56,E02000059,5298.8
57,E02000060,9376.2
58,E02000061,5257.7
59,E02000062,3785.4
60,E02000063,7309.9
61,E02000064,8402.4
62,E02000065,2519.8
63,E02000066,5995.7
64,E02000067,4431.3
65,E02000068,3607.0
66,E02000069,4969.3
67,E02000070,4370.2
68,E02000071,6509.4
69,E02000072,2952.4
70,E02000073,6704.2
71,E02000074,7851.3
72,E02000075,5201.3
73,E02000077,7283.6
74,E02000078,5331.7
75,E02000079,5321.9
76,E02000080,5949.3
77,E02000081,3765.9
78,E02000082,6234.0
79,E02000083,3013.2
80,E02000084,4285.5
81,E02000085,4903.3
82,E02000086,4822.0
83,E02000087,2209.0
84,E02000088,3877.3
85,E02000089,5753.5
86,E02000090,5326.6
87,E02000091,3718.2
88,E02000092,1127.0
89,E02000093,8624.0
90,E02000094,8989.3
91,E02000095,6754.3
92,E02000096,4666.5
93,E02000097,5094.1
94,E02000098,4755.0
95,E02000099,7426.4
96,E02000100,4003.6
97,E02000101,7078.6
98,E02000102,6126.2
99,E02000103,5628.1
100,E02000104,6774.7
101,E02000105,7185.9
102,E02000106,7719.2
103,E02000107,11458.0
104,E02000108,8929.8
105,E02000110,10230.3
106,E02000111,10002.7
107,E02000112,9259.9
108,E02000113,6491.0
109,E02000114,14668.2
110,E02000115,10160.3
111,E02000116,7798.0
112,E02000117,14306.7
113,E02000118,9150.8
114,E02000119,4131.8
