,GEOGRAPHY_CODE,Arrived in the UK,Arrived in the UK: Aged 0 to 4 years,Arrived in the UK: Aged 10 to 14 years,Arrived in the UK: Aged 15 years,Arrived in the UK: Aged 16 to 17 years,Arrived in the UK: Aged 18 to 19 years,Arrived in the UK: Aged 20 to 24 years,Arrived in the UK: Aged 25 to 29 years,Arrived in the UK: Aged 30 to 44 years,Arrived in the UK: Aged 45 to 59 years,Arrived in the UK: Aged 5 to 7 years,Arrived in the UK: Aged 60 to 64 years,Arrived in the UK: Aged 65 to 74 years,Arrived in the UK: Aged 75 to 84 years,Arrived in the UK: Aged 8 to 9 years,Arrived in the UK: Aged 85 to 89 years,Arrived in the UK: Aged 90 years and over,Born in the UK,Total: All usual residents
0,E02000001,0.495805173619203,0.021323700769051504,0.016779305523188067,0.006292239571195526,0.02493591237473782,0.04369610813330226,0.11896993707760428,0.1139594500116523,0.10405499883477044,0.028781169890468424,0.0074574691214169195,0.0024469820554649264,0.0026800279655092053,0.00023304591004427873,0.003961780470752739,0.00011652295502213937,0.00011652295502213937,0.504194826380797,1
1,E02000002,0.3523798018845132,0.033945397438994926,0.024281227349601354,0.005556897801401305,0.014013046629620681,0.017274704034791012,0.06921961826528147,0.07211886929209954,0.07284368204880406,0.012684223242329064,0.01425465088185552,0.002295240396230974,0.002295240396230974,0.000362406378352259,0.01111379560280261,0.00012080212611741966,0.0,0.6476201981154869,1
2,E02000003,0.4202044706290071,0.03223011609773003,0.031450355224397854,0.005544966210362156,0.016894818922197193,0.03179691561254549,0.08802633858949922,0.07624328539247964,0.07892912840062381,0.02382602668514989,0.017587939698492462,0.002166002425922717,0.0015595217466643563,0.00017328019407381737,0.013775775428868481,0.0,0.0,0.5797955293709929,1
3,E02000004,0.28433734939759037,0.025150602409638553,0.017921686746987953,0.004819277108433735,0.010843373493975903,0.022590361445783132,0.05677710843373494,0.049849397590361444,0.05753012048192771,0.014006024096385543,0.011746987951807229,0.001957831325301205,0.001957831325301205,0.00045180722891566266,0.00858433734939759,0.0,0.00015060240963855423,0.7156626506024096,1
4,E02000005,0.39857426457318174,0.03447031221801119,0.024093123984840283,0.006136076520483667,0.014528063526439271,0.02192744991878722,0.08247608734885399,0.07453528243999279,0.08689767190037899,0.019852012272153042,0.018859411658545388,0.0015340191301209168,0.001985201227215304,0.00018047283883775492,0.011099079588521927,0.0,0.0,0.6014257354268182,1
5,E02000007,0.34934068096831333,0.029029718559338714,0.023814209801220232,0.005510726234993111,0.013776815587482779,0.019484353473725645,0.06534146821491832,0.06357016335367054,0.08098799448927377,0.017221019484353475,0.016138555402479826,0.0014760873843731549,0.0014760873843731549,0.000295217476874631,0.0111198582956111,9.8405825624877e-05,0.0,0.6506593190316867,1
6,E02000008,0.3697472651829498,0.033874009807619766,0.025726141078838173,0.005205582798943795,0.013428894756695587,0.02052055827989438,0.06699358732553753,0.06080724254998114,0.09045643153526971,0.01961523953225198,0.016446623915503583,0.0024141833270463976,0.0023387400980761975,0.0005281026027913995,0.011241041116559788,0.00015088645794039985,0.0,0.6302527348170501,1
7,E02000009,0.4354148845166809,0.045571195271794075,0.02986235321564663,0.0062213235865930475,0.013531378800839879,0.024029862353215647,0.07582238121160277,0.07590014775643518,0.10405163698576872,0.02161909946341084,0.021152500194416363,0.0027218290691344584,0.00225522980013998,0.00038883272416206547,0.012131580993856443,0.0001555330896648262,0.0,0.564585115483319,1
8,E02000010,0.3805860033726813,0.030670320404721754,0.025822091062394605,0.00463743676222597,0.013596121416526137,0.021922428330522766,0.06650505902192243,0.06882377740303541,0.09643760539629005,0.018444350758853287,0.018022765598650927,0.0026349072512647557,0.0021079258010118043,0.0006323777403035413,0.01032883642495784,0.0,0.0,0.6194139966273187,1
9,E02000011,0.39490536502063467,0.029600113846591718,0.028034723210473886,0.003984630710118116,0.01380389924576633,0.025900099615767752,0.07741568236800911,0.06944642094777288,0.0949195958445994,0.019638537071296428,0.01736160523694322,0.0021346235947061333,0.0015653906361178312,0.0004269247189412267,0.010530809733883591,0.00014230823964707557,0.0,0.6050946349793653,1
