,GEOGRAPHY_CODE,"All adults in household have English in England, or English or Welsh in Wales as a main language","At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","No people in household have English in England, or English or Welsh in Wales as a main language",Total: All households
0,E02000001,0.7468457468457469,0.07875457875457875,0.008547008547008548,0.16585266585266586,4914.0
1,E02000002,0.7609756097560976,0.10278745644599303,0.04912891986062718,0.08710801393728224,2870.0
2,E02000003,0.6932078351564488,0.13482574408547443,0.05189519206308827,0.12007122869498855,3931.0
3,E02000004,0.8215677782589865,0.07665656128194023,0.03161541792983976,0.07016024252923343,2309.0
4,E02000005,0.7075523704520397,0.11934950385887541,0.05705622932745314,0.11604189636163176,3628.0
5,E02000007,0.7821001088139282,0.07290533188248095,0.046789989118607184,0.09820457018498367,3676.0
6,E02000008,0.745187107938568,0.08760545100584036,0.05991780229288341,0.1072896387627082,4623.0
7,E02000009,0.6650211565585331,0.12740949694405265,0.06064880112834979,0.1469205453690644,4254.0
8,E02000010,0.7391042981665163,0.0880673279230538,0.06251878569281635,0.11030958821761347,3327.0
9,E02000011,0.7141036533559898,0.10492778249787596,0.05055225148683093,0.1304163126593033,2354.0
10,E02000012,0.6282674772036474,0.225531914893617,0.044072948328267476,0.10212765957446808,3290.0
11,E02000013,0.7304027051952044,0.10236704580387335,0.05348908699661851,0.11374116200430372,3253.0
12,E02000014,0.7399645808736718,0.08736717827626919,0.06050767414403778,0.11216056670602124,3388.0
13,E02000015,0.7698648203099242,0.0791295746785361,0.05440158259149357,0.09660402242004616,3033.0
14,E02000016,0.5696667541327736,0.1327735502492784,0.06953555497244818,0.22802414064549986,3811.0
15,E02000017,0.5236889692585895,0.2065099457504521,0.06256781193490055,0.20723327305605788,2765.0
16,E02000018,0.7216207856480049,0.11135168574079803,0.056294463346736774,0.11073306526446025,3233.0
17,E02000019,0.7295695570804741,0.10262008733624454,0.0651902682470368,0.10262008733624454,3206.0
18,E02000020,0.6346318493150684,0.14554794520547945,0.0644263698630137,0.15539383561643835,4672.0
19,E02000021,0.6978171896316507,0.1169849931787176,0.06582537517053207,0.11937244201909959,2932.0
20,E02000022,0.6244635193133047,0.12696709585121602,0.06723891273247497,0.1813304721030043,2796.0
